# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      4363.0706      8.1457811      3486.7178      6.4438382      5568.1339      11.159491
     0.31415927      4672.1652      8.3303104      3736.5324      6.7007077      5958.7483      11.600294
     0.62831853      4870.5366      8.5023107      3888.0608      6.7399041      6222.5447      11.467924
      0.9424778      5177.3062      8.7354471      4127.3302      6.9136356      6629.3592      11.736982
      1.2566371      5692.0101      9.1668494      4535.6367      7.2809873       7294.417      12.463792
      1.5707963      6553.5967      9.9102902      5222.5269      7.8312234      8398.9798      13.434679
      1.8849556      7772.0653      10.648782      6197.3286      8.4699003      9953.6376      14.485902
      2.1991149      9425.1086      11.718666      7526.5179      9.2652004      12052.767      16.076443
      2.5132741      11350.101       12.69467      9088.7664      10.141887      14467.694      17.369246
      2.8274334      12969.022      13.551671      10413.517      10.797235      16472.002      18.388325
      3.1415927      12969.022      13.551671      10413.517      10.797235      16472.002      18.388325
