#          y_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      302.08881      4.5609843      234.31547      3.3633371      455.53593      24.558457
           -4.9      368.27798      5.0186622      285.86287      3.6875517      575.42551      30.171492
           -4.8      443.67849      5.5498906      345.11739      4.1167921      715.35837      30.192671
           -4.7       544.3375      6.1322951      423.29242      4.5176751      891.68431      32.067248
           -4.6      634.32613      6.6484204      493.64642       4.900519      978.73386      40.832914
           -4.5      746.50579      7.2391785      582.61828      5.3572699      1171.9428      38.990728
           -4.4      858.23998      7.6695273      670.60941      5.6862162      1375.5566      40.616998
           -4.3      995.99514      8.2509097      777.18203      6.1229588      1586.6061      45.826875
           -4.2      1131.2377      8.9733185      885.67111      6.5442506      1739.1794      48.461595
           -4.1      1290.7049      9.8929043      1010.1674      7.3131575      1980.2443      50.103947
             -4       1444.664        10.0683       1132.256      7.5061942      2245.8384      51.849729
           -3.9      1619.9985      10.441974      1269.6022      7.7564506      2561.2784      57.169188
           -3.8      1793.1708      11.059749      1409.6813       8.287796      2647.6534      56.205498
           -3.7      1970.4923      11.616087      1549.4911      8.7127764      2975.8117      58.714714
           -3.6      2177.9745      12.062359      1713.5197      9.0808169      3402.4785      65.281013
           -3.5      2382.4959       12.64909      1875.4459      9.4544478      3674.7997      67.046391
           -3.4      2590.0192      13.127229       2040.499        9.83268       3863.006        70.5381
           -3.3      2781.6948      13.503079      2193.1279      10.129379      4145.5175      67.091632
           -3.2      2991.4413      13.968741      2358.9002      10.540084      4427.3485      68.535582
           -3.1      3197.1157       14.40914      2523.4277      10.833339       4708.071      69.291913
             -3      3400.1519      15.012474      2691.7876      11.397206      4972.3791         75.571
           -2.9      3598.1477      15.162359      2845.5747      11.639262      5152.5141      71.631495
           -2.8      3840.1729      15.643178      3037.0542      11.921668      5611.1729      69.442869
           -2.7      4027.6331      16.104838      3187.4055      12.242082      5880.1517      77.697501
           -2.6      4266.6695       16.44464      3375.1894      12.519799      6204.3788      83.054465
           -2.5      4476.2331      16.951268      3542.6187      12.890368      6442.1602      82.528801
           -2.4      4656.4246      17.060275      3689.4684      13.243622      6912.7061      82.156635
           -2.3      4855.9532      17.398815      3848.8197      13.253206      7060.2091      81.384749
           -2.2       5076.788      17.657008      4022.2473      13.422715      7317.2864      82.143693
           -2.1      5280.9017      18.733607      4187.7741      14.266827      7620.3698      84.161422
             -2      5416.0937      18.211967      4297.0459      13.918718      7737.3943      85.372861
           -1.9      5595.4077       18.45934      4440.4879      14.120533      8003.2958      87.808447
           -1.8       5809.948      18.726682       4612.523      14.351994      8153.6668       84.94825
