# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      3126.5794      6.8436783      2499.7387      5.4227285      3980.4843        9.29628
     0.31415927      3357.9512      6.9893288      2686.4248      5.6593399       4274.625      9.6224534
     0.62831853      3505.3877      7.1514933      2799.1926      5.6842082      4470.7779       9.608671
      0.9424778      3743.6237      7.3528004      2984.6896       5.813061      4786.2594      9.8454224
      1.2566371      4157.9301      7.7810815      3312.7079      6.1850217      5322.3812      10.426951
      1.5707963      4849.3401      8.3635112      3862.8294      6.6140264      6208.7048      11.227435
      1.8849556        5856.58      9.2043857      4667.8604      7.3314172      7493.0518      12.469963
      2.1991149      7258.1043      10.267585      5795.6346      8.1241007      9268.8394      13.835084
      2.5132741      8995.1289      11.266519      7204.1057      9.0125239       11445.34       15.40803
      2.8274334      10496.618      12.197341      8435.4365       9.731342      13298.932      16.475595
      3.1415927      10496.618      12.197341      8435.4365       9.731342      13298.932      16.475595
