#        eta_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      670.60602      6.7248161      526.14889      5.0117797       1008.741      36.060511
           -4.9      768.32778      7.2617757      602.27178      5.4387926      1211.1348      43.589423
           -4.8      854.83986      7.5810412       669.5122      5.6647431       1249.998      37.844184
           -4.7      958.66518      8.0990899      751.49097      6.0326246      1511.8882      38.747254
           -4.6      1078.9932      8.5964041      846.15293      6.3451606       1619.717      46.406759
           -4.5      1208.1179       9.016967      946.98467      6.7185236       1852.729      47.963879
           -4.4      1337.8944       9.440324      1050.3688      7.0389732      2032.1796      52.584995
           -4.3      1471.0297       10.09072        1156.73      7.5815272       2245.761      51.925097
           -4.2      1613.5848      10.843107      1269.1105      8.2973947      2495.4381      49.813838
           -4.1      1761.4731       10.79905      1384.4281      8.0619128      2690.3147        55.9946
             -4      1951.2985        11.4199      1533.4181      8.5663731       2983.458      58.879312
           -3.9      2141.0979      11.854951      1683.7289      8.8962726      3233.3931      62.839161
           -3.8      2274.7107      12.282614      1792.0222      9.1949818      3450.1357      65.543435
           -3.7      2468.8715      12.732556      1943.1478      9.5513129      3743.3599       65.65374
           -3.6      2632.2508      13.112876      2074.6084      9.9128228      3919.0924      64.080508
           -3.5      2810.8636       13.52371      2218.0238      10.216458      4243.1001      66.466806
           -3.4       3036.733       14.03228      2397.4614      10.608009       4540.501       74.56735
           -3.3      3195.5596      14.368783      2523.4874      10.867849       4785.112      70.135593
           -3.2      3397.4641      14.741555      2679.3413      11.151005      5025.7802      72.840691
           -3.1      3576.4113      15.271819      2827.1053      11.599097      5181.7638      76.220066
             -3      3753.1125      15.529749      2968.2747      11.739451      5425.0108      74.552623
           -2.9      3958.2598      15.832438      3128.0398      12.018341      5897.4708      79.251183
           -2.8      4140.0298      16.195552      3279.1716      12.550551      5862.0882       79.20991
           -2.7      4321.2829      16.397072      3419.6779      12.482791      6182.4045      76.823366
           -2.6        4506.65      16.751209      3568.4029       12.74774      6462.7443      78.442295
           -2.5       4650.493      16.985333      3684.8526      12.976477      6767.1671      73.989268
           -2.4      4853.2506      17.267506       3841.681      13.278373      7076.2235      81.747713
           -2.3      4979.5781      17.481307      3947.6135      13.393814      7237.1073      81.678811
           -2.2      5132.0244       17.69036      4068.0455      13.483563      7427.2041      84.314157
           -2.1      5307.0847      18.127345      4207.0038      13.874353      7551.8774      85.420308
             -2      5403.8648      18.364429      4286.8232      14.845152       7880.351      82.775241
           -1.9      5520.2551      18.179766      4378.7197      13.929709      7873.0539      83.640648
           -1.8      5657.7405      18.441241      4491.4923      14.114523      8128.7077      80.506964
           -1.7      5782.4781      18.616777       4593.804      14.667678      8177.8032       85.33887
           -1.6      5841.0751      18.826311      4641.9067      14.391135      8163.7888      83.375149
           -1.5      5887.6368      18.704653      4675.8904      14.300163      8261.3611      77.416796
           -1.4      5972.6148      18.817079      4748.3135      14.477386      8417.2162      79.960051
           -1.3      6051.6941      18.856865      4810.7149      14.497286      8467.9324      82.376596
           -1.2       6090.598      18.953554      4844.2675      14.591024      8629.4716      79.267458
           -1.1      6115.8185      19.059908      4866.7266      14.768846      8424.5078      81.798577
             -1        6154.53      19.045073      4894.0095      14.629726      8675.4301      83.517395
           -0.9      6134.9404      19.083987       4887.128      14.770511      8559.7889      81.716022
           -0.8      6178.4932      19.019613      4918.7562      14.674387      8647.7776      78.605668
           -0.7      6188.2353      19.031996      4927.1688      14.641067      8645.6514       80.85176
           -0.6      6138.0074      19.035025      4888.9869      14.825542       8442.686      80.754617
           -0.5      6132.3078      18.872077      4884.5704      14.640109      8407.7739      76.135496
           -0.4      6143.4489      18.877492       4893.017      14.584897      8588.6379       76.25124
           -0.3      6122.2719      18.913593      4880.2343      14.638479      8381.4816      79.760615
           -0.2       6168.187      18.951848      4917.7198      14.722941      8563.6563      75.507613
           -0.1      6147.7491      19.009272      4893.8513      14.588731      8557.6888      80.645824
              0      6106.9935       18.95885       4867.334      14.674216      8375.3898       84.72708
            0.1      6096.7147      18.851718      4854.2147      14.496562      8458.9958      79.703449
            0.2      6128.7708      18.953543      4877.4271      14.567369      8504.8938      79.900279
            0.3      6169.8088      19.048302      4915.8377      14.772509      8610.0741      80.811633
            0.4      6185.7511      19.076037      4926.8564      14.718685       8631.511      78.881713
