#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      58.268956     0.68508257      44.596489     0.48722865      114.93823      5.4983376
              1      174.94692      1.1855714      134.15794     0.84248591      332.55563       8.939945
              2      284.92919      1.5092468      218.66992      1.0836333      546.96588      11.391731
              3       388.0713       1.755211      298.04613       1.252112      735.18135      13.910122
              4      483.09418      1.9536999      371.63167      1.4055247      913.71196      14.865041
              5      569.02943      2.1003104      438.10694      1.5093354      1066.4105      15.606876
              6      638.60022      2.2080515      493.17647      1.5958595      1166.7984       15.84381
              7      699.08657       2.294157      540.02602      1.6693365      1227.8805      16.041241
              8      747.28439      2.3715671      578.76626      1.7282195      1304.9773      16.225039
              9       783.3959      2.4056809      608.10359      1.7517848      1314.7438      15.954685
             10      818.73262      2.4422968      636.22761      1.7865368      1361.9826      15.340987
             11      842.21979      2.4566622      655.32838      1.7996853      1399.0448      15.350724
             12      850.71435      2.4684697      663.62233      1.8392719      1363.8813      15.007015
             13      858.33049      2.4498379      670.05807      1.8137486      1374.3121      14.374437
             14      863.00347      2.4369953      675.14477      1.8094933      1367.4701      13.925082
             15      864.04606      2.4326252      676.40173      1.8077439       1354.662      13.281232
             16      856.15383      2.4152474      671.31632      1.7967818      1294.9534      13.005933
             17      850.03833      2.3841175      667.50489      1.7940979      1304.5585      12.428565
             18      840.93697      2.3611642      660.77024      1.7782323      1270.4984      11.768838
             19      825.28792      2.3184453      648.96491      1.7451381      1236.0347      10.804448
             20      809.20654      2.2930698      637.53268      1.7336612      1178.4106      11.275252
             21      793.18204      2.2620141      625.99109      1.7093402      1155.5683      11.247295
             22      771.87031      2.2285573      610.09754      1.6885087      1107.5276      9.8222045
             23      760.57164      2.1954776      601.07427      1.6847288      1080.6357      9.6701895
             24      740.60427      2.1483264      585.23764      1.6297033      1040.5774      9.2580496
             25      719.99597       2.131397      569.57151      1.6140902      1022.6917      8.9616001
             26      704.42555      2.0977408      558.48898      1.5966141      1001.1839      8.5173503
             27      685.18334      2.0510725      543.33761       1.577056      962.98956      8.3868285
             28      664.85585       2.024909      527.40896       1.543694       927.3297      8.3500904
             29      648.18146      1.9815876      515.05186      1.5239349      885.32492      7.3687543
             30      625.65669      1.9404071      497.33019      1.4897482      850.76093      7.4767857
             31       612.2325      1.9153813      486.69891       1.477211      837.49149      7.0478372
             32      591.12772      1.8872295      470.85982      1.4936296      805.14318       7.124498
             33      572.90391      1.8522208      455.95886      1.4222006      781.86383      6.2616818
             34      557.09741      1.8190379      444.38213       1.420428      747.56936      6.0347391
             35      545.86002      1.8522188      434.75827      1.4307601      738.59899      6.3125644
             36      522.38568      1.7456094      416.57459      1.3561214      688.47043      6.0003485
             37      507.35659      1.7325587      404.77769      1.3454738      672.78235      5.5739475
             38      490.96313      1.7315724      391.72331      1.3435068      647.37203      5.5433093
             39      475.81163      1.6448239      379.79623      1.2776353      631.34916      5.3146126
             40      461.31824      1.6210259      368.69951      1.2636099      607.98836      4.9777527
             41      444.77252      1.5923418      355.59146      1.2350069      587.58299      5.0060672
             42      430.76403      1.5644632      344.43981      1.2198931      562.67479       4.605574
             43      417.89985       1.535902      334.35523      1.1997875      547.63053       4.928782
             44      406.37795      1.5098941      325.10741      1.1829322      529.87102      4.0424453
             45      395.42003       1.493241      316.28783      1.1651073      521.80718      3.8609459
             46      381.22935       1.459678       305.4709      1.1568857      499.03981      4.2073778
             47       367.1213      1.4288703      293.83095      1.1207212      477.40707      3.6718439
             48      357.14182      1.4045201      285.79039      1.0983321      465.77824      4.0525979
             49      345.67506      1.3784374      277.21534      1.0779175      448.80461       3.405989
             50      345.67506      1.3784374      277.21534      1.0779175      448.80461       3.405989
