#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      24.100752     0.12365465      18.920474    0.092289158        35.3541     0.52896819
             60      68.857356     0.20691534      54.322875     0.15708384       98.87532     0.96795826
             70      1508.9957     0.84738572      1195.4798     0.63900063      2173.0065      4.4654692
             80      2427.2994     0.96650512      1925.6711     0.72216841      3469.8456      5.5417991
             90       69.07331     0.20643131      55.018979     0.15760373      98.517312     0.87373595
            100      21.144135     0.11431045      16.884944    0.087873933      29.413711     0.50744769
            110      10.041203    0.078405091      8.0484617    0.061859072      14.151795      0.3558815
            120      5.6111091    0.059126054      4.5023657    0.046226566      7.9891995     0.25425307
            130      3.5410007     0.04626511      2.8453838    0.035932765      4.6607923     0.17028089
            140      2.3557954    0.038113793       1.898437    0.029664428      3.0003682     0.16448971
            150      2.3557954    0.038113793       1.898437    0.029664428      3.0003682     0.16448971
