#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      174.62642       3.256814      137.71989      2.4656415      274.09068      18.313105
           -4.9      219.02394      3.6327447      172.76799      2.7591714      295.13733      17.123231
           -4.8      271.47471      4.0641303      214.34875      3.0828657      365.65087      17.897776
           -4.7      320.99956       4.447678      252.97503      3.3608995       505.4372      19.445841
           -4.6      402.44645      4.9735819      318.42522      3.7790104      544.26812      18.845892
           -4.5      492.90957      5.4841396      388.35192      4.1752306      724.28649      24.252459
           -4.4      594.67313      6.0730755      468.02655      4.5852136      844.03176      32.503619
           -4.3      718.68717      6.6544926      567.26252      5.0484116      1009.4491      32.941063
           -4.2      881.51804      7.5198509      692.31274      5.6854286        1287.42      41.141709
           -4.1      1037.2717      8.0484227      818.01732      6.1122711      1512.3096      38.930944
             -4      1218.2846      8.7311443      962.13097      6.6623037      1745.8144      39.993355
           -3.9      1435.9113      9.5083597       1129.392      7.1902545      2183.9676      46.234186
           -3.8      1657.3011      10.125986      1306.8532      7.6836988      2462.5131      45.620884
           -3.7      1906.8565      11.012503      1503.7261      8.4145571      2788.8665      53.506909
           -3.6      2175.2292      11.610353       1716.524      8.8153574      3104.1685      59.603729
           -3.5      2479.5813      12.395969      1955.4567      9.4175036      3718.9365      57.059001
           -3.4      2765.2105      13.127273      2183.9359      9.9996657       4091.713      61.789301
           -3.3      3079.5898      13.959488      2432.4114      10.568286      4420.4476      63.534126
           -3.2      3375.0065      14.486289      2667.6797      11.171618      4897.4102      63.015232
           -3.1       3685.263      15.096881      2910.6474      11.459829      5363.7757      75.495504
             -3      3986.1268      15.734064      3151.0925      12.115534      5883.2869      67.172565
           -2.9      4287.3878      16.247407       3386.657      12.344629      6291.6539      76.572795
           -2.8      4564.2143      16.783234      3608.7461      12.787187      6586.8263      79.684144
           -2.7      4823.3785      17.289706      3813.3511      13.147679      7029.2367      81.437052
           -2.6      5082.4985      17.748327       4023.963      13.514001      7290.0046      81.312774
           -2.5      5299.7931      18.011817      4194.3116      13.691164      7563.6801      80.152093
           -2.4      5457.0358      18.323446       4324.598      14.003378       7700.376      89.209229
           -2.3      5696.6617      18.792121      4511.8209      14.433285      8313.7069      85.208834
           -2.2      5805.7957      19.106444      4602.3977      14.537598      8164.4699      82.792464
           -2.1      5963.9118      19.170962      4731.6559      14.632332      8437.5307      89.748779
             -2      6064.5816      19.343562      4810.6812      14.792173      8641.4461      88.358533
           -1.9       6179.844      19.567372      4899.2813      14.933312      8859.6877      91.183237
           -1.8      6237.3846      19.480435      4945.1269      14.869215      8956.1377      88.516455
           -1.7      6327.4614      19.751509      5025.4967      15.132515      9002.0495      89.057062
           -1.6      6376.9234      19.657888       5060.896      15.059241      9287.9145       87.10683
           -1.5      6404.1158      19.792724      5088.4229      15.090226      9084.0073      87.787417
           -1.4      6430.1593      19.716986       5107.517      15.156048      9026.5528      94.510683
           -1.3      6431.2192      19.767556      5109.0646      15.124161      9089.2858      93.736582
           -1.2       6478.892      19.794056      5147.6124       15.23805      9123.0612      84.678482
           -1.1      6510.4136      19.801653      5171.2804      15.169269      9380.4739      87.596408
             -1      6470.6777      19.741571      5136.3734      15.247763      9288.4308      90.964563
           -0.9      6498.9087      19.804482       5161.646      15.158008      9149.8026      88.964346
           -0.8      6481.0421      19.782393      5149.8723      15.194892      9220.3392       87.61208
           -0.7      6430.8878      19.744545      5107.2875      15.074503      9174.9881      92.893757
           -0.6      6459.0644      19.686495       5127.745      15.087776      9327.3267      83.489993
           -0.5      6466.0572      19.815548      5137.7235      15.157263      9128.3022      88.024091
           -0.4       6432.921      19.725315      5115.0128      15.127146       9090.327      87.788454
           -0.3      6441.9489      19.655723      5120.7898       15.03073       9146.862      81.863182
           -0.2      6447.9421      19.732192       5125.259      15.480206      9258.5156      92.639421
           -0.1      6445.2333      19.908271      5123.6411      15.272181      9209.4517      92.142372
              0      6425.4093      19.731913      5103.2593      15.049392      9025.4406      89.002692
            0.1      6406.8685      19.721056      5090.5671      15.034802      9043.2452      91.788357
            0.2      6438.7545      19.677185       5117.398      15.073705      9110.7704      94.760829
            0.3      6470.1354      20.047596      5144.2077      15.195126      9249.0081      95.963881
            0.4      6461.4668      19.985546      5137.0913      15.348973      9079.7001      95.623952
            0.5      6455.8082      19.894324      5133.8696      15.147168      9152.7079      95.404158
            0.6      6471.9172       19.90514      5143.0463      15.169843      9271.4693      97.825761
            0.7      6470.8066      19.934787      5142.0665      15.254954      9238.0554      91.095194
            0.8      6467.9936      19.807599      5139.7575      15.140399      9162.7074      87.014581
            0.9      6464.7049      20.172534      5141.5727      16.227277      9196.8928      93.736139
              1      6465.7693      19.940638      5139.2628      15.196469      9237.3551      92.588601
            1.1       6479.533      20.383567      5144.2045      15.443999      9511.8978       94.70453
            1.2      6453.2846      19.939336      5129.3003      15.292374      9114.7968      91.620427
            1.3      6431.0216      19.790236      5101.5495      15.098539       9278.642      92.092819
            1.4      6408.3214      19.854289      5087.5939      15.264411      9261.6409      90.978657
            1.5      6380.5808      19.840885      5063.6762      15.239965      9135.3375       87.82147
            1.6      6352.4394      19.745025      5034.3296      15.030915      9169.2499      89.590773
            1.7      6263.6758      19.707707      4970.0384      14.993108       8870.099      94.271682
            1.8        6170.11      19.837615      4890.6599      15.037432      8761.6402      91.751318
            1.9      6064.8395      19.400225         4812.2      14.923637      8551.3379      89.039465
              2      5981.1887      19.288266      4744.2659      14.715004      8462.8821      89.372878
            2.1      5806.7407      18.970388      4601.9687      14.432572      8357.8866      89.780971
            2.2      5655.2402      19.482552      4481.0673       14.74203      8226.5686       88.44865
            2.3      5476.5548      18.560098      4338.6819      14.083994      7807.5511      88.686026
            2.4      5250.2206      18.433008      4155.3288      13.960522      7590.2133       83.57277
            2.5      5063.4908      17.802772      4004.9624      13.473129      7462.2174       82.73339
            2.6        4816.26      17.467197      3811.9458      13.315903      6925.0343      83.071248
            2.7      4579.0139      17.040552      3619.6877      12.940857      6635.0718       82.28577
            2.8      4273.2241      16.493014       3380.212      12.537934      6273.7217      77.818358
            2.9      4011.0635      16.045943      3172.7711      12.168746      5741.0828      75.466573
              3      3678.8872      15.637716      2908.8487      11.818643      5279.8042      71.201571
            3.1      3422.2366      14.683599      2701.6152      11.132661      5045.8255      73.816664
            3.2      3096.5543       14.23982      2446.0654      10.854674      4520.6958      69.429865
            3.3      2775.1929       13.28406      2188.2449      10.004508      3965.9204      65.424354
            3.4      2497.9764      12.706073      1971.4817      9.6405108      3704.7136      58.983921
            3.5      2191.3234      11.834012      1728.8604      8.9475821      3175.0849      57.366671
            3.6      1930.5193      11.139367      1522.7538      8.7726664      2790.4133      54.196685
            3.7      1670.8949      10.367766      1316.9211      7.8085006      2438.8641      50.197441
            3.8      1439.4453      9.5195628      1133.8041       7.177366      2061.2416      45.914777
            3.9      1237.4664      8.9027086      974.66792       6.752867      1822.3904      46.589924
              4      1024.6988      8.0822772      809.90668      6.1610981       1483.041      39.183228
            4.1      874.21681      7.5143644      687.79516       5.689968      1264.9806      34.384286
            4.2      725.36203      6.7282314      571.88041      5.1010684      1053.5291      29.974977
            4.3      593.71894      6.1310554      467.66529      4.6146354      894.34473      24.301976
            4.4      494.98404      5.5697845      389.62571       4.192804      691.73555      29.280837
            4.5      395.52993      5.0187242        312.628       3.801682      575.05339      28.159448
            4.6      328.65734      4.5534165      258.50887      3.4296384      485.49175      20.347624
            4.7      274.88621      4.1727513      217.31012      3.1572112      373.38247      19.415088
            4.8      223.60196       3.763192      176.67015      2.8365224      308.50055      15.943412
            4.9      185.64904      3.4189548      146.25955      2.6062077      287.42257      14.204036
              5      185.64904      3.4189548      146.25955      2.6062077      287.42257      14.204036
