# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      96.612311      1.3319872      74.149231     0.98501127      128.85785      1.9172687
     0.31415927      101.31664      1.2289636      78.192295     0.93359982      134.13851      1.7410092
     0.62831853      105.06051      1.3536934      81.187513      1.0143847      138.83423       1.948266
      0.9424778      112.29622      1.2847533      86.426511     0.97376237       149.1756      1.8267586
      1.2566371      121.88642      1.4378667      93.107957      1.0651477      163.49017      2.0665285
      1.5707963      149.98283      1.5468412       114.2385      1.1554302      201.94071      2.2284416
      1.8849556        190.407      1.7705249      144.57878      1.3143512      257.27103      2.5592539
      2.1991149       265.4333      2.5621425      202.08937      1.8395964      357.38186      3.8289359
      2.5132741      392.93493      2.4115828      302.22311      1.8593936      521.92669      3.5546662
      2.8274334      622.86792      3.1690737      486.30247      2.4323234       810.4312      4.5760501
      3.1415927      622.86792      3.1690737      486.30247      2.4323234       810.4312      4.5760501
