#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      287.10512      2.3160395      207.21619      1.4724256      464.29511      15.347163
              1      1024.9047       4.205941      745.94233      2.7459824      4440.3308      49.088947
              2      1234.8718       3.915731      938.70625      2.7310677      2934.4067      24.057095
              3       1281.512      3.5833508      991.54745      2.5811993      2305.8735      12.693416
              4      1256.3695      3.3003615       981.7576      2.4338186      1983.4544      8.7334995
              5       1211.822      3.1005955      951.47304      2.3192397      1792.7915      6.8044239
              6      1156.9772      2.8908002      911.13664      2.1804606      1644.2069      5.7351969
              7      1112.0366        2.75566      877.55696      2.1026132      1542.3684      4.9757029
              8      1059.4281       2.632572       837.7287      2.0181315      1441.1272      4.6743958
              9      1006.8651      2.5236945      797.23237      1.9337921      1358.4715      4.1748261
             10      967.02312      2.4283183      766.56334      1.8662463      1296.0619      3.8891521
             11        928.694      2.3522682      737.17424      1.8341233      1234.0929      3.7117385
             12      888.94939      2.2748688      705.79981      1.7783599      1177.2394      3.6274869
             13      852.64402      2.2118418      677.52715      1.7149458      1118.2916       3.351049
             14       817.3059      2.1532235      650.17123      1.6863587        1070.62       3.214009
             15      792.08136      2.0937246      630.19504      1.6378325      1034.1151      3.0018324
             16      760.45864      2.0409125      605.11898      1.5993554      991.02777      3.0043777
             17       733.2964      1.9892919      583.98893      1.5553577      953.39325      2.9362821
             18      709.51326      1.9509863      565.46459      1.5445916      918.93598      2.7542834
             19      682.95626      1.9197757       544.6319      1.5154973      882.27593      2.7324738
             20      661.71217      1.8678786       527.6587      1.4723869      853.88643      2.6178915
             21      638.57382      1.8198757      509.06907      1.4319766      822.74807      2.6118361
             22      619.68117      1.7971295      494.47397      1.4218256      796.80248      2.4957596
             23      598.91819      1.7526581      477.66804      1.3825339      771.00066      2.4474741
             24      577.72103      1.7194509      460.91342      1.3567305      742.84709      2.3495616
             25      559.76749      1.7042406      447.30419      1.4344578      717.78015      2.3074897
             26      540.97438      1.6522539      431.66512      1.3048599      694.23782      2.2382104
             27      523.65419       1.629417      418.02142      1.2895272       671.3176      2.2328612
             28      507.08656      1.5914118      405.02321      1.2583953      649.33076      2.2206344
             29      492.90858      1.5655069      393.49846      1.2374799      630.63635       2.142127
             30      476.99593      1.6130391      381.14478      1.2756113      609.61856      2.2043714
             31      462.94905      1.5090996      369.95479      1.1973313      591.96829      2.0373439
             32      447.27068      1.4839187       357.4066      1.1789649      571.51116      1.9920619
             33      433.44675      1.4572678      346.35969      1.1577168      554.21366      2.0268323
             34      420.95445      1.4730074      336.59547       1.175902      537.18464      1.9747687
             35      408.64131      1.4100594      326.64033      1.1190059      521.83972      1.8976843
             36      394.85264      1.3808819      315.62119      1.0996282      503.98631      1.8539098
             37      383.79729       1.362596      306.65013      1.0813436      490.27835      1.8515591
             38      371.13087      1.3361796      297.04332      1.0638614      472.82789      1.7965897
             39      361.31338      1.3182013      288.83959      1.0441126      460.69425      1.7706943
             40      350.67693      1.2909613      280.30346      1.0246832      447.26389      1.7244164
             41      339.89376      1.2694686      271.69577      1.0089309      433.24748      1.7018671
             42      329.12872      1.2531742       263.2134     0.99320065      419.20123       1.673863
             43      319.02066      1.2259771      255.15428     0.97295421      406.22467      1.6434436
             44       310.1985      1.2175527      248.05557     0.97192053      395.13647      1.6239967
             45      302.21008      1.2009128      241.66504     0.97638509      384.97239      1.6036154
             46      291.18891      1.1781988      232.89698     0.93385623      370.75344      1.5721573
             47       281.6208      1.1497139      225.34752     0.91240151      358.27107      1.5327261
             48      273.07968      1.1360526      218.23963     0.90504745      348.21811      1.5164126
             49      267.44667      1.1165548      213.92334     0.88790495      340.40572      1.4811139
             50      267.44667      1.1165548      213.92334     0.88790495      340.40572      1.4811139
