#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      32.907213       1.386007      26.644102      1.1004646      41.427512       1.873157
           -4.9      40.665617      1.7239677      34.521669      2.8905153       47.63633      4.0286408
           -4.8      48.315263       1.650752      38.756433      1.3094955      61.346017       2.288574
           -4.7      51.883746      1.7630156      41.685495      1.3765995      66.972539       2.466747
           -4.6      65.084361      1.9144189      52.518826      1.5410212       89.32092      6.7848414
           -4.5       70.10353      2.0661755      56.580855      1.6236884      86.552855      3.4796713
           -4.4      88.165637      2.2038647       70.84168      1.7507135      112.88964      2.9732268
           -4.3      97.957783      2.3776286      79.018642      1.8791401      127.75581      9.5487148
           -4.2      114.67566      2.5406717      92.418721       2.010374      145.99897      4.3834054
           -4.1      134.56864      2.8132947      108.04318      2.2195823      173.62265      9.3276125
             -4      145.91236       2.942885      118.47705       2.414252      188.41472      4.2449005
           -3.9      165.28543        3.06685      134.65001      2.5012712       212.2135      4.7516572
           -3.8      195.66174      3.3490646       158.4025      2.7204089       260.2077      9.6351897
           -3.7      213.04661      3.5052268      172.29803      2.7923442      268.20456      6.5085627
           -3.6      244.56015      3.7589762      198.38725      3.0013078      314.48137      7.5677924
           -3.5       274.9372      4.3031597      222.01227      3.3854402      376.83123      13.365055
           -3.4      309.72917      4.3290817        250.996       3.423129      393.21009      7.4617806
           -3.3      347.14315      4.4983586      280.48989      3.5694452      473.41676       16.11625
           -3.2      392.60331      4.8747984      317.45757      3.8778224      514.43316      13.835207
           -3.1      447.53604      5.0690036      361.07808       4.010478      594.61293      19.256461
             -3      486.16408       5.372803      391.26171      4.2249805      667.87555      17.623319
           -2.9      550.55794      5.7805859      443.51982      4.5011909      731.11621      16.766429
           -2.8      623.67258      6.0193923       503.5708      4.8140425       802.7365      18.663137
           -2.7       706.5337      6.4378121      568.11869      5.0492921      953.80223      19.707763
           -2.6      796.16254      7.2169195      639.97364      5.6781251      1130.8518       31.30008
           -2.5      891.72786       7.284072      715.05653      5.6826079      1215.9246      28.496416
           -2.4      991.43007       7.764721      794.76182      6.1071848      1362.3683      31.025659
           -2.3      1149.3201        8.32065       920.1164       6.502911      1646.6714      31.182825
           -2.2      1305.2803      8.8968256      1041.9115      6.9676799      1848.2817       38.10301
           -2.1      1484.5073      9.4785348      1184.3373      7.3284602      2133.5417      44.339394
             -2      1694.8076      10.361402      1352.6236      7.8904117      2355.5598      49.594942
           -1.9      1976.6051      11.054282      1573.5207      8.5425527      2772.4862      51.830991
           -1.8      2261.9229      11.783332      1798.4952      9.1099914      3175.5265      58.411029
           -1.7      2657.1428      12.947632      2108.2412      9.8939736       3773.703      59.882091
           -1.6      3116.7162       13.98092      2465.4089      10.662149      4409.0007       67.80698
           -1.5      3627.8369      14.925446      2868.2733      11.422512      5306.3436      70.448647
           -1.4       4238.678      16.157354      3350.9977      12.320431      6106.8572      76.313555
           -1.3      5007.4087      17.589899      3953.3884      13.397939      7322.4979      82.075657
           -1.2      5865.0931      19.109425      4624.3532      14.503424      8590.5343      96.504252
           -1.1       6860.523      20.793324      5411.0623      15.610168      9907.9933      101.62486
             -1      7988.6164      22.232854      6298.2058      16.847438      11704.996      107.29619
           -0.9      9391.5474      23.930039      7392.4231      18.095297      13852.012      115.93436
           -0.8      10897.369      25.912984      8588.0719      19.603696      15776.374       128.0203
           -0.7      12555.354      27.779037      9895.9697      20.963852      18423.263      133.83383
           -0.6      14388.173      29.565822      11352.531       22.41041      20940.801      145.87412
           -0.5      16414.262      31.595543      12970.319      23.885745      23586.185      151.86823
           -0.4      18626.092       33.58662      14749.014      25.589989      26653.533      154.70029
           -0.3        20840.7      35.444482      16536.919      27.011825      29566.934      164.71675
