#          y_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      824.15997      7.4693503       645.5419      5.6073075      1301.3173      40.963962
           -4.9      986.33129      8.2458849      773.00891      6.1706103      1443.7717       46.20879
           -4.8      1133.4177      8.8176863      887.94616      6.5766732      1683.9046      45.796091
           -4.7      1293.6843      9.3310097      1013.2617      6.9723012      1942.1052      44.072205
           -4.6      1456.1685      9.8430115      1141.3023      7.4104706      2288.0872      47.893924
           -4.5      1682.6024      10.531686      1318.3665      7.9581721      2604.3377       51.41129
           -4.4      1850.0024      11.033882      1451.9862      8.3023524      2840.6731      52.886458
           -4.3      2053.8341      11.652822      1616.3931      8.7874719       3078.989      61.025813
           -4.2      2284.0047      12.217088      1795.0761      9.2399911      3420.5348      58.504835
           -4.1      2518.2585      12.868962      1981.3642       9.673981      3684.4489       65.51099
             -4       2711.982      13.262882      2135.2519      10.010398      3927.5861      61.635385
           -3.9      2916.6428      13.717262      2301.5601      10.404835      4250.9333      64.397128
           -3.8      3129.3021      14.220623      2466.1478      10.810141      4552.5656      70.667995
           -3.7      3304.6834      14.511252      2610.1514      11.010854      4804.3807      66.534263
           -3.6      3514.4718      14.925994      2777.6733      11.324941      5145.2309      70.422812
           -3.5      3697.1392      15.384713      2922.1779      11.633563      5358.5938      67.231294
           -3.4      3855.2966      15.520142      3052.3905       11.78403      5601.5414      69.116942
           -3.3      4021.3951      15.904358      3181.6013      12.115851      5852.9957      69.955201
           -3.2      4122.7439      16.060554       3268.135      12.250377      5838.9319      74.382042
           -3.1       4293.443      16.437259      3405.8114      12.613263      6071.7181      73.669146
             -3      4392.9529      16.422587      3480.3102      12.531298      6406.7875      74.140357
           -2.9      4494.5881      16.575111      3560.9818      12.639485      6510.1702      71.018526
           -2.8       4604.108       16.92707      3649.6117      12.881229      6506.1662      76.272499
           -2.7      4669.4522      16.816092      3703.4789      12.862281      6706.9422      76.352318
           -2.6      4732.0566       17.01352       3764.227      13.210393       6645.448      70.793413
           -2.5      4794.5318      17.088416      3808.0148      13.035492      6718.9878      75.078661
           -2.4      4844.3515      17.046912      3848.6975      13.105662      6918.7574      73.240979
           -2.3      4892.7352      17.234267       3892.946      13.166273      6866.0883       77.81864
           -2.2      4946.0453      17.586543       3930.167      13.437299      7045.0583      79.043313
           -2.1      4993.6682      17.326506      3970.9095      13.267187       7082.453      80.945571
             -2      5038.8386        17.3884       4004.574      13.295357       7143.851       78.50686
           -1.9      5079.2416      17.543862      4038.3527      13.433018      7118.4874      79.624349
           -1.8      5117.8732      17.506971      4071.0983      13.599932      7214.0178      80.719684
           -1.7      5127.9955      17.395318      4072.5552      13.330767      7274.8716      80.132391
           -1.6      5201.0681      17.562477      4131.9851      13.447618      7431.0567      77.774818
           -1.5      5195.3794      17.711048       4132.211      13.763956      7250.6036      83.810615
           -1.4      5230.9229      17.619279      4157.4283      13.480812       7389.548      82.098154
           -1.3       5241.622      17.643725      4170.2214        13.5538      7392.8106      76.861094
           -1.2      5313.8445      17.799997      4222.3901      13.807087      7594.6457      76.924646
           -1.1      5274.4432      17.753691      4193.5826      13.680757      7514.7439      79.045111
             -1      5294.8065      17.673838      4207.5453       13.51376      7470.7526      82.164706
           -0.9      5309.5002      17.760073      4219.1692      13.611958      7522.4271      80.709459
           -0.8       5331.079      17.842173      4240.9049      13.670179      7742.6902      84.767546
           -0.7      5352.6563      17.786093      4250.2075      13.634164      7623.2962      80.299702
           -0.6      5346.0229      17.960341      4250.4544      13.746853      7659.5909      84.489723
           -0.5      5356.3004      17.878257      4251.6961      13.677144      7654.1366       84.57472
