          bin (n_jets)   qTcut           order/list                                                                 dsigma +-            error

         1           2   independent     LO                                                                          1272.33464 +-          0.25553
---------------------------------------------------------------------------------------------------------------------------------------------------
         1           2   independent     LO.22                                                                       1272.33464 +-          0.25553

         2           3   independent     LO                                                                          14286.5158 +-           0.6784
---------------------------------------------------------------------------------------------------------------------------------------------------
         2           3   independent     LO.22                                                                       14286.5158 +-           0.6784

