            bin (pT_W)   qTcut           order/list                                                                 dsigma +-            error

         0           5   extrapolation   dNNLO.QCD                                                                   926.499895 +-        16.044599
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   extrapolation   NNLO.QT-CS.42                 woVT2                                        -419.062195 +-         5.612442
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           794.694282 +-        14.187584
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -54.573381 +-         0.404270

         0           5   0.01            dNNLO.QCD                                                              921.979273 +-        16.710240
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.01            NNLO.QT-CS.42                 woVT2                                        -423.582817 +-         7.300855
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           794.694282 +-        14.187584
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -54.573381 +-         0.404270

         0           5   0.05            dNNLO.QCD                                                              924.238396 +-        15.603180
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.05            NNLO.QT-CS.42                 woVT2                                        -421.323694 +-         4.186835
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           794.694282 +-        14.187584
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -54.573381 +-         0.404270

         0           5   0.1             dNNLO.QCD                                                              923.487786 +-        15.445048
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.1             NNLO.QT-CS.42                 woVT2                                        -422.074304 +-         3.552444
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           794.694282 +-        14.187584
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -54.573381 +-         0.404270

         0           5   0.15            dNNLO.QCD                                                              919.574169 +-        15.373669
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.15            NNLO.QT-CS.42                 woVT2                                        -425.987921 +-         3.228011
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           794.694282 +-        14.187584
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -54.573381 +-         0.404270

         0           5   0.2             dNNLO.QCD                                                              915.405804 +-        15.340592
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.2             NNLO.QT-CS.42                 woVT2                                        -430.156286 +-         3.066613
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           794.694282 +-        14.187584
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -54.573381 +-         0.404270

         0           5   0.25            dNNLO.QCD                                                              913.772207 +-        15.323408
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.25            NNLO.QT-CS.42                 woVT2                                        -431.789883 +-         2.979460
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           794.694282 +-        14.187584
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -54.573381 +-         0.404270

         0           5   0.5             dNNLO.QCD                                                              899.402304 +-        15.233877
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   0.5             NNLO.QT-CS.42                 woVT2                                        -446.159786 +-         2.478179
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                   54.289761 +-         0.134119
         0           5   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           551.151429 +-         4.945774
