      bin (total_rate)   qTcut           order/list                                                                 dsigma +-            error

         0           1   independent     dNLO.QCD                                                                    23911.5703 +-           2.0985
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     NLO.CS.32                                                                   23911.5703 +-           2.0985

