             bin (m_W)   qTcut           order/list                                                                 dsigma +-            error

        50          60   extrapolation   dNNLO.QCD                                                                   141.927094 +-         1.805009
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   extrapolation   NNLO.QT-CS.42                 woVT2                                          60.038386 +-         1.471868
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            55.734038 +-         0.992416
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -10.841390 +-         0.304894

        50          60   0.01            dNNLO.QCD                                                              142.318742 +-         2.221254
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   0.01            NNLO.QT-CS.42                 woVT2                                          60.430034 +-         1.960180
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            55.734038 +-         0.992416
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -10.841390 +-         0.304894

        50          60   0.05            dNNLO.QCD                                                              141.394181 +-         1.565158
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   0.05            NNLO.QT-CS.42                 woVT2                                          59.505473 +-         1.165357
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            55.734038 +-         0.992416
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -10.841390 +-         0.304894

        50          60   0.1             dNNLO.QCD                                                              141.619845 +-         1.398722
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   0.1             NNLO.QT-CS.42                 woVT2                                          59.731137 +-         0.929926
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            55.734038 +-         0.992416
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -10.841390 +-         0.304894

        50          60   0.15            dNNLO.QCD                                                              141.079003 +-         1.356470
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   0.15            NNLO.QT-CS.42                 woVT2                                          59.190295 +-         0.865071
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            55.734038 +-         0.992416
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -10.841390 +-         0.304894

        50          60   0.2             dNNLO.QCD                                                              140.672832 +-         1.425999
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   0.2             NNLO.QT-CS.42                 woVT2                                          58.784124 +-         0.970469
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            55.734038 +-         0.992416
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -10.841390 +-         0.304894

        50          60   0.25            dNNLO.QCD                                                              140.978691 +-         1.300907
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   0.25            NNLO.QT-CS.42                 woVT2                                          59.089983 +-         0.775047
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                            55.734038 +-         0.992416
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                           -10.841390 +-         0.304894

        50          60   0.5             dNNLO.QCD                                                              140.018290 +-         1.248790
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   0.5             NNLO.QT-CS.42                 woVT2                                          58.129582 +-         0.683969
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                    3.693584 +-         0.030422
        50          60   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                            33.302475 +-         0.113521
