             bin (y_W)   qTcut           order/list                                                                 dsigma +-            error

      -4.9        -4.8   extrapolation   NNLO.QT-CS.42                 woVT2                                         1.15064715 +-       0.08891243
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

      -4.9        -4.8   0.01            dNNLO.QCD                                                              1.76879573 +-       0.11515378
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   0.01            NNLO.QT-CS.42                 woVT2                                         1.15137413 +-       0.10187992
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.soft                          -0.03345720 +-       0.00613629

      -4.9        -4.8   0.05            dNNLO.QCD                                                              1.72332430 +-       0.08745431
---------------------------------------------------------------------------------------------------------------------------------------------------
      -4.9        -4.8   0.05            NNLO.QT-CS.42                 woVT2                                         1.10590270 +-       0.06904622
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.noH2                                  0.02674253 +-       0.00195378
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M1M1                           0.27145640 +-       0.00824150
      -4.9        -4.8   independent     NNLO.QT-CS.42                 onlyVT2.onlyH2.M2M0                           0.35267988 +-       0.05264487
