             bin (m_W)   qTcut           order/list                                                                 dsigma +-            error

        50          60   independent     dNLO.QCD                                                                    133.349771 +-         0.166721
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          60   independent     NLO.CS.32                                                                   133.349771 +-         0.166721

        60          70   independent     dNLO.QCD                                                                    387.648659 +-         0.309154
---------------------------------------------------------------------------------------------------------------------------------------------------
        60          70   independent     NLO.CS.32                                                                   387.648659 +-         0.309154

        70          80   independent     dNLO.QCD                                                                    8588.06954 +-          1.40848
---------------------------------------------------------------------------------------------------------------------------------------------------
        70          80   independent     NLO.CS.32                                                                   8588.06954 +-          1.40848

        80          90   independent     dNLO.QCD                                                                    13951.5711 +-           1.7340
---------------------------------------------------------------------------------------------------------------------------------------------------
        80          90   independent     NLO.CS.32                                                                   13951.5711 +-           1.7340

        90         100   independent     dNLO.QCD                                                                    404.273220 +-         0.321168
---------------------------------------------------------------------------------------------------------------------------------------------------
        90         100   independent     NLO.CS.32                                                                   404.273220 +-         0.321168

       100         110   independent     dNLO.QCD                                                                    126.347647 +-         0.170609
---------------------------------------------------------------------------------------------------------------------------------------------------
       100         110   independent     NLO.CS.32                                                                   126.347647 +-         0.170609

       110         120   independent     dNLO.QCD                                                                    60.0001998 +-        0.1228944
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         120   independent     NLO.CS.32                                                                   60.0001998 +-        0.1228944

       120         130   independent     dNLO.QCD                                                                    34.2002665 +-        0.0992983
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         130   independent     NLO.CS.32                                                                   34.2002665 +-        0.0992983

       130         140   independent     dNLO.QCD                                                                    21.6997061 +-        0.0836440
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         140   independent     NLO.CS.32                                                                   21.6997061 +-        0.0836440

       140         150   independent     dNLO.QCD                                                                    14.6854606 +-        0.0734717
---------------------------------------------------------------------------------------------------------------------------------------------------
       140         150   independent     NLO.CS.32                                                                   14.6854606 +-        0.0734717

