            bin (y_bx)   qTcut           order/list                                                                 dsigma +-            error

---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.4        -3.3   independent     LO.22                                                                       124.946599 +-         0.062661

      -3.3        -3.2   independent     LO                                                                          132.079845 +-         0.064338
---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.3        -3.2   independent     LO.22                                                                       132.079845 +-         0.064338

      -3.2        -3.1   independent     LO                                                                          139.198703 +-         0.066069
---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.2        -3.1   independent     LO.22                                                                       139.198703 +-         0.066069

      -3.1          -3   independent     LO                                                                          145.842268 +-         0.067471
---------------------------------------------------------------------------------------------------------------------------------------------------
      -3.1          -3   independent     LO.22                                                                       145.842268 +-         0.067471

        -3        -2.9   independent     LO                                                                          152.083837 +-         0.068848
---------------------------------------------------------------------------------------------------------------------------------------------------
        -3        -2.9   independent     LO.22                                                                       152.083837 +-         0.068848

      -2.9        -2.8   independent     LO                                                                          158.547635 +-         0.070237
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.9        -2.8   independent     LO.22                                                                       158.547635 +-         0.070237

      -2.8        -2.7   independent     LO                                                                          164.336661 +-         0.071429
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.8        -2.7   independent     LO.22                                                                       164.336661 +-         0.071429

      -2.7        -2.6   independent     LO                                                                          169.793590 +-         0.072497
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.7        -2.6   independent     LO.22                                                                       169.793590 +-         0.072497

      -2.6        -2.5   independent     LO                                                                          175.083413 +-         0.073556
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.6        -2.5   independent     LO.22                                                                       175.083413 +-         0.073556

      -2.5        -2.4   independent     LO                                                                          180.084768 +-         0.074551
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.5        -2.4   independent     LO.22                                                                       180.084768 +-         0.074551

      -2.4        -2.3   independent     LO                                                                          184.712824 +-         0.075456
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.4        -2.3   independent     LO.22                                                                       184.712824 +-         0.075456

      -2.3        -2.2   independent     LO                                                                          188.832235 +-         0.076226
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.3        -2.2   independent     LO.22                                                                       188.832235 +-         0.076226

      -2.2        -2.1   independent     LO                                                                          192.719440 +-         0.076958
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.2        -2.1   independent     LO.22                                                                       192.719440 +-         0.076958

      -2.1          -2   independent     LO                                                                          196.609927 +-         0.077768
---------------------------------------------------------------------------------------------------------------------------------------------------
      -2.1          -2   independent     LO.22                                                                       196.609927 +-         0.077768

        -2        -1.9   independent     LO                                                                          199.849746 +-         0.078300
---------------------------------------------------------------------------------------------------------------------------------------------------
        -2        -1.9   independent     LO.22                                                                       199.849746 +-         0.078300

      -1.9        -1.8   independent     LO                                                                          202.858484 +-         0.078919
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.9        -1.8   independent     LO.22                                                                       202.858484 +-         0.078919

      -1.8        -1.7   independent     LO                                                                          205.710946 +-         0.079440
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.8        -1.7   independent     LO.22                                                                       205.710946 +-         0.079440

      -1.7        -1.6   independent     LO                                                                          208.366763 +-         0.079948
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.7        -1.6   independent     LO.22                                                                       208.366763 +-         0.079948

      -1.6        -1.5   independent     LO                                                                          210.621503 +-         0.080337
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.6        -1.5   independent     LO.22                                                                       210.621503 +-         0.080337

      -1.5        -1.4   independent     LO                                                                          212.614035 +-         0.080741
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.5        -1.4   independent     LO.22                                                                       212.614035 +-         0.080741

      -1.4        -1.3   independent     LO                                                                          214.621373 +-         0.081201
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.4        -1.3   independent     LO.22                                                                       214.621373 +-         0.081201

      -1.3        -1.2   independent     LO                                                                          216.291123 +-         0.081521
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.3        -1.2   independent     LO.22                                                                       216.291123 +-         0.081521

      -1.2        -1.1   independent     LO                                                                          217.911268 +-         0.081799
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.2        -1.1   independent     LO.22                                                                       217.911268 +-         0.081799

      -1.1          -1   independent     LO                                                                          219.270021 +-         0.081991
---------------------------------------------------------------------------------------------------------------------------------------------------
      -1.1          -1   independent     LO.22                                                                       219.270021 +-         0.081991

        -1        -0.9   independent     LO                                                                          220.490231 +-         0.082267
---------------------------------------------------------------------------------------------------------------------------------------------------
        -1        -0.9   independent     LO.22                                                                       220.490231 +-         0.082267

      -0.9        -0.8   independent     LO                                                                          221.509233 +-         0.082395
---------------------------------------------------------------------------------------------------------------------------------------------------
      -0.9        -0.8   independent     LO.22                                                                       221.509233 +-         0.082395

      -0.8        -0.7   independent     LO                                                                          222.539777 +-         0.082649
---------------------------------------------------------------------------------------------------------------------------------------------------
      -0.8        -0.7   independent     LO.22                                                                       222.539777 +-         0.082649

      -0.7        -0.6   independent     LO                                                                          223.307532 +-         0.082807
