          bin (pT_Wbb)   qTcut           order/list                                                                 dsigma +-            error

         0           5   independent     NLO.QCD                                                                     16129.7555 +-           2.6364
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           5   independent     LO.22                                                                       15558.8505 +-           0.6680
         0           5   independent     NLO.CS.32                                                                     570.9050 +-           2.5504

         5          10   independent     NLO.QCD                                                                     6360.15606 +-          1.83716
---------------------------------------------------------------------------------------------------------------------------------------------------
         5          10   independent     LO.22                                                                               0. +-               0.
         5          10   independent     NLO.CS.32                                                                   6360.15606 +-          1.83716

        10          15   independent     NLO.QCD                                                                     3434.14328 +-          1.03652
---------------------------------------------------------------------------------------------------------------------------------------------------
        10          15   independent     LO.22                                                                               0. +-               0.
        10          15   independent     NLO.CS.32                                                                   3434.14328 +-          1.03652

        15          20   independent     NLO.QCD                                                                     2351.35412 +-          0.74062
---------------------------------------------------------------------------------------------------------------------------------------------------
        15          20   independent     LO.22                                                                               0. +-               0.
        15          20   independent     NLO.CS.32                                                                   2351.35412 +-          0.74062

        20          25   independent     NLO.QCD                                                                     1769.55546 +-          0.58727
---------------------------------------------------------------------------------------------------------------------------------------------------
        20          25   independent     LO.22                                                                               0. +-               0.
        20          25   independent     NLO.CS.32                                                                   1769.55546 +-          0.58727

        25          30   independent     NLO.QCD                                                                     1396.78028 +-          0.49157
---------------------------------------------------------------------------------------------------------------------------------------------------
        25          30   independent     LO.22                                                                               0. +-               0.
        25          30   independent     NLO.CS.32                                                                   1396.78028 +-          0.49157

        30          35   independent     NLO.QCD                                                                     1136.05379 +-          0.42953
---------------------------------------------------------------------------------------------------------------------------------------------------
        30          35   independent     LO.22                                                                               0. +-               0.
        30          35   independent     NLO.CS.32                                                                   1136.05379 +-          0.42953

        35          40   independent     NLO.QCD                                                                     939.001132 +-         0.380581
---------------------------------------------------------------------------------------------------------------------------------------------------
        35          40   independent     LO.22                                                                               0. +-               0.
        35          40   independent     NLO.CS.32                                                                   939.001132 +-         0.380581

        40          45   independent     NLO.QCD                                                                     784.277820 +-         0.341494
---------------------------------------------------------------------------------------------------------------------------------------------------
        40          45   independent     LO.22                                                                               0. +-               0.
        40          45   independent     NLO.CS.32                                                                   784.277820 +-         0.341494

        45          50   independent     NLO.QCD                                                                     662.554543 +-         0.310640
---------------------------------------------------------------------------------------------------------------------------------------------------
        45          50   independent     LO.22                                                                               0. +-               0.
        45          50   independent     NLO.CS.32                                                                   662.554543 +-         0.310640

        50          55   independent     NLO.QCD                                                                     562.578477 +-         0.282185
---------------------------------------------------------------------------------------------------------------------------------------------------
        50          55   independent     LO.22                                                                               0. +-               0.
        50          55   independent     NLO.CS.32                                                                   562.578477 +-         0.282185

        55          60   independent     NLO.QCD                                                                     480.122923 +-         0.260119
---------------------------------------------------------------------------------------------------------------------------------------------------
        55          60   independent     LO.22                                                                               0. +-               0.
        55          60   independent     NLO.CS.32                                                                   480.122923 +-         0.260119

        60          65   independent     NLO.QCD                                                                     411.880533 +-         0.239132
---------------------------------------------------------------------------------------------------------------------------------------------------
        60          65   independent     LO.22                                                                               0. +-               0.
        60          65   independent     NLO.CS.32                                                                   411.880533 +-         0.239132

        65          70   independent     NLO.QCD                                                                     355.111428 +-         0.219812
---------------------------------------------------------------------------------------------------------------------------------------------------
        65          70   independent     LO.22                                                                               0. +-               0.
        65          70   independent     NLO.CS.32                                                                   355.111428 +-         0.219812

        70          75   independent     NLO.QCD                                                                     306.716713 +-         0.204179
---------------------------------------------------------------------------------------------------------------------------------------------------
        70          75   independent     LO.22                                                                               0. +-               0.
        70          75   independent     NLO.CS.32                                                                   306.716713 +-         0.204179

        75          80   independent     NLO.QCD                                                                     266.098929 +-         0.188350
---------------------------------------------------------------------------------------------------------------------------------------------------
        75          80   independent     LO.22                                                                               0. +-               0.
        75          80   independent     NLO.CS.32                                                                   266.098929 +-         0.188350

        80          85   independent     NLO.QCD                                                                     231.822899 +-         0.175050
---------------------------------------------------------------------------------------------------------------------------------------------------
        80          85   independent     LO.22                                                                               0. +-               0.
        80          85   independent     NLO.CS.32                                                                   231.822899 +-         0.175050

        85          90   independent     NLO.QCD                                                                     202.333283 +-         0.161609
---------------------------------------------------------------------------------------------------------------------------------------------------
        85          90   independent     LO.22                                                                               0. +-               0.
        85          90   independent     NLO.CS.32                                                                   202.333283 +-         0.161609

        90          95   independent     NLO.QCD                                                                     176.861440 +-         0.150227
---------------------------------------------------------------------------------------------------------------------------------------------------
        90          95   independent     LO.22                                                                               0. +-               0.
        90          95   independent     NLO.CS.32                                                                   176.861440 +-         0.150227

        95         100   independent     NLO.QCD                                                                     155.128360 +-         0.139743
---------------------------------------------------------------------------------------------------------------------------------------------------
        95         100   independent     LO.22                                                                               0. +-               0.
        95         100   independent     NLO.CS.32                                                                   155.128360 +-         0.139743

       100         105   independent     NLO.QCD                                                                     136.669195 +-         0.132105
---------------------------------------------------------------------------------------------------------------------------------------------------
       100         105   independent     LO.22                                                                               0. +-               0.
       100         105   independent     NLO.CS.32                                                                   136.669195 +-         0.132105

       105         110   independent     NLO.QCD                                                                     120.651705 +-         0.121709
---------------------------------------------------------------------------------------------------------------------------------------------------
       105         110   independent     LO.22                                                                               0. +-               0.
       105         110   independent     NLO.CS.32                                                                   120.651705 +-         0.121709

       110         115   independent     NLO.QCD                                                                     106.487399 +-         0.113967
---------------------------------------------------------------------------------------------------------------------------------------------------
       110         115   independent     LO.22                                                                               0. +-               0.
       110         115   independent     NLO.CS.32                                                                   106.487399 +-         0.113967

       115         120   independent     NLO.QCD                                                                     94.6324410 +-        0.1105960
---------------------------------------------------------------------------------------------------------------------------------------------------
       115         120   independent     LO.22                                                                               0. +-               0.
       115         120   independent     NLO.CS.32                                                                   94.6324410 +-        0.1105960

       120         125   independent     NLO.QCD                                                                     83.7354674 +-        0.1006186
---------------------------------------------------------------------------------------------------------------------------------------------------
       120         125   independent     LO.22                                                                               0. +-               0.
       120         125   independent     NLO.CS.32                                                                   83.7354674 +-        0.1006186

       125         130   independent     NLO.QCD                                                                     74.8089648 +-        0.0935431
---------------------------------------------------------------------------------------------------------------------------------------------------
       125         130   independent     LO.22                                                                               0. +-               0.
       125         130   independent     NLO.CS.32                                                                   74.8089648 +-        0.0935431

       130         135   independent     NLO.QCD                                                                     66.7633714 +-        0.0876662
---------------------------------------------------------------------------------------------------------------------------------------------------
       130         135   independent     LO.22                                                                               0. +-               0.
