qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

extrapolation  0.5            1                   NNLO.QT-CS.42            woVT2                                        7487.48174 +-        71.83761

extrapolation  1              1                   NNLO.QT-CS.42            woVT2                                        6367.84530 +-        46.04981

extrapolation  2              1                   NNLO.QT-CS.42            woVT2                                        5385.25094 +-        30.83644

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.01           0.5            1                   NNLO.QT-CS.42                                                           7436.305 +-          41.280
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           0.5            1                   CT2.QCD                                                               394415.535 +-          13.518
0.01           0.5            1                   RVA.QCD                                                                77412.354 +-          14.567
0.01           0.5            1                   RCA.QCD                                                                 6607.088 +-           5.149
0.01           0.5            1                   RRA                                                                        1.319 +-           0.002
0.01           0.5            1                   RRA.QCD                                                              -470999.991 +-          35.813

0.01           1              1                   NNLO.QT-CS.42                                                           6334.756 +-          26.785
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           1              1                   CT2.QCD                                                               220021.677 +-           7.660
0.01           1              1                   RVA.QCD                                                                87160.675 +-          10.502
0.01           1              1                   RCA.QCD                                                                 4617.336 +-           3.341
0.01           1              1                   RRA                                                                        0.867 +-           0.001
0.01           1              1                   RRA.QCD                                                              -305465.799 +-          23.180

0.01           2              1                   NNLO.QT-CS.42                                                           5362.901 +-          18.392
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.01           2              1                   CT2.QCD                                                               125038.152 +-           4.479
0.01           2              1                   RVA.QCD                                                                84243.364 +-           8.144
0.01           2              1                   RCA.QCD                                                                 3321.226 +-           2.270
0.01           2              1                   RRA                                                                        0.594 +-          0.0009
0.01           2              1                   RRA.QCD                                                              -207240.435 +-          15.708

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.02           0.5            1                   NNLO.QT-CS.42                                                           7449.357 +-          30.234
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           0.5            1                   CT2.QCD                                                               256722.169 +-           9.038
0.02           0.5            1                   RVA.QCD                                                                80249.221 +-          11.509
0.02           0.5            1                   RCA.QCD                                                                 9828.691 +-           4.361
0.02           0.5            1                   RRA                                                                        1.319 +-           0.002
0.02           0.5            1                   RRA.QCD                                                              -339352.042 +-          26.094

0.02           1              1                   NNLO.QT-CS.42                                                           6345.341 +-          19.871
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           1              1                   CT2.QCD                                                               135833.201 +-           4.959
0.02           1              1                   RVA.QCD                                                                83990.417 +-           8.804
0.02           1              1                   RCA.QCD                                                                 6659.551 +-           2.834
0.02           1              1                   RRA                                                                        0.867 +-           0.001
0.02           1              1                   RRA.QCD                                                              -220138.694 +-          16.874

0.02           2              1                   NNLO.QT-CS.42                                                           5371.559 +-          13.883
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.02           2              1                   CT2.QCD                                                                71377.546 +-           2.798
0.02           2              1                   RVA.QCD                                                                78694.153 +-           7.113
0.02           2              1                   RCA.QCD                                                                 4680.361 +-           1.928
0.02           2              1                   RRA                                                                        0.594 +-          0.0009
0.02           2              1                   RRA.QCD                                                              -149381.094 +-          11.428

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.03           0.5            1                   NNLO.QT-CS.42                                                           7436.837 +-          26.929
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           0.5            1                   CT2.QCD                                                               192846.911 +-           6.978
0.03           0.5            1                   RVA.QCD                                                                79453.779 +-          10.402
0.03           0.5            1                   RCA.QCD                                                                11261.177 +-           4.013
0.03           0.5            1                   RRA                                                                        1.319 +-           0.002
0.03           0.5            1                   RRA.QCD                                                              -276126.348 +-          23.498

0.03           1              1                   NNLO.QT-CS.42                                                           6339.207 +-          17.893
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           1              1                   CT2.QCD                                                                97207.613 +-           3.745
0.03           1              1                   RVA.QCD                                                                80722.284 +-           8.203
0.03           1              1                   RCA.QCD                                                                 7564.441 +-           2.610
0.03           1              1                   RRA                                                                        0.867 +-           0.001
0.03           1              1                   RRA.QCD                                                              -179155.998 +-          15.233

0.03           2              1                   NNLO.QT-CS.42                                                           5368.841 +-          12.639
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.03           2              1                   CT2.QCD                                                                47066.901 +-           2.073
0.03           2              1                   RVA.QCD                                                                74610.002 +-           6.742
0.03           2              1                   RCA.QCD                                                                 5280.759 +-           1.777
0.03           2              1                   RRA                                                                        0.594 +-          0.0009
0.03           2              1                   RRA.QCD                                                              -121589.416 +-          10.337

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.04           0.5            1                   NNLO.QT-CS.42                                                           7412.923 +-          24.649
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           0.5            1                   CT2.QCD                                                               154129.161 +-           5.740
0.04           0.5            1                   RVA.QCD                                                                77995.260 +-           9.641
0.04           0.5            1                   RCA.QCD                                                                12089.725 +-           3.797
0.04           0.5            1                   RRA                                                                        1.319 +-           0.002
0.04           0.5            1                   RRA.QCD                                                              -236802.541 +-          21.616

0.04           1              1                   NNLO.QT-CS.42                                                           6323.940 +-          16.465
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              1                   CT2.QCD                                                                74000.197 +-           3.033
0.04           1              1                   RVA.QCD                                                                77902.027 +-           7.780
0.04           1              1                   RCA.QCD                                                                 8086.134 +-           2.472
0.04           1              1                   RRA                                                                        0.867 +-           0.001
0.04           1              1                   RRA.QCD                                                              -153665.285 +-          13.974

0.04           2              1                   NNLO.QT-CS.42                                                           5358.741 +-          11.708
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           2              1                   CT2.QCD                                                                32609.748 +-           1.669
0.04           2              1                   RVA.QCD                                                                71425.200 +-           6.474
0.04           2              1                   RCA.QCD                                                                 5625.929 +-           1.684
0.04           2              1                   RRA                                                                        0.594 +-          0.0009
0.04           2              1                   RRA.QCD                                                              -104302.731 +-           9.463

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.05           0.5            1                   NNLO.QT-CS.42                                                           7386.913 +-          22.401
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           0.5            1                   CT2.QCD                                                               127562.794 +-           4.900
0.05           0.5            1                   RVA.QCD                                                                76426.111 +-           9.248
0.05           0.5            1                   RCA.QCD                                                                12631.756 +-           3.643
0.05           0.5            1                   RRA                                                                        1.319 +-           0.002
0.05           0.5            1                   RRA.QCD                                                              -209235.067 +-          19.467

0.05           1              1                   NNLO.QT-CS.42                                                           6308.650 +-          15.104
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           1              1                   CT2.QCD                                                                58198.847 +-           2.562
0.05           1              1                   RVA.QCD                                                                75476.806 +-           7.556
0.05           1              1                   RCA.QCD                                                                 8426.302 +-           2.373
0.05           1              1                   RRA                                                                        0.867 +-           0.001
0.05           1              1                   RRA.QCD                                                              -135794.171 +-          12.604

0.05           2              1                   NNLO.QT-CS.42                                                          5349.4418 +-         10.8467
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           2              1                   CT2.QCD                                                               22856.1706 +-          1.4185
0.05           2              1                   RVA.QCD                                                               68825.0146 +-          6.3245
0.05           2              1                   RCA.QCD                                                                5850.3476 +-          1.6176
0.05           2              1                   RRA                                                                       0.5943 +-          0.0009
0.05           2              1                   RRA.QCD                                                              -92182.6854 +-          8.5453

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.06           0.5            1                   NNLO.QT-CS.42                                                           7364.773 +-          20.908
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           0.5            1                   CT2.QCD                                                               107957.913 +-           4.288
0.06           0.5            1                   RVA.QCD                                                                74896.035 +-           8.952
0.06           0.5            1                   RCA.QCD                                                                13013.989 +-           3.525
0.06           0.5            1                   RRA                                                                        1.319 +-           0.002
0.06           0.5            1                   RRA.QCD                                                              -188504.483 +-          18.061

0.06           1              1                   NNLO.QT-CS.42                                                           6296.028 +-          14.196
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           1              1                   CT2.QCD                                                                46620.224 +-           2.229
0.06           1              1                   RVA.QCD                                                                73364.388 +-           7.382
0.06           1              1                   RCA.QCD                                                                 8665.418 +-           2.297
0.06           1              1                   RRA                                                                        0.867 +-           0.001
0.06           1              1                   RRA.QCD                                                              -122354.868 +-          11.696

0.06           2              1                   NNLO.QT-CS.42                                                          5342.0995 +-         10.2687
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           2              1                   CT2.QCD                                                               15769.8618 +-          1.2548
0.06           2              1                   RVA.QCD                                                               66632.0611 +-          6.2051
0.06           2              1                   RCA.QCD                                                                6007.6560 +-          1.5665
0.06           2              1                   RRA                                                                       0.5943 +-          0.0009
0.06           2              1                   RRA.QCD                                                              -83068.0736 +-          7.9319

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

0.07           0.5            1                   NNLO.QT-CS.42                                                           7370.336 +-          20.771
