#   y_j1-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4     0.28291061     0.28289646     0.23080446     0.23079292     0.35032961     0.35031209
           -4.3              0              0              0              0              0              0
           -4.2     0.69115084      0.3992605     0.51873744     0.30023997     0.94643574     0.54740571
           -4.1     0.53932401     0.49294611     0.47188827     0.34667957     0.59548045     0.77458148
             -4      3.2580838      2.0197265       2.871296      1.7485038      3.5827262       2.376257
           -3.9      4.5458882      1.1386863      3.6188827     0.86540103      5.7606759      1.5698047
           -3.8      10.604821      1.6890995      8.1406313      1.3335372      14.267771      2.2423707
           -3.7      9.9713687      1.6854534      8.1455626      1.3306012      12.142492      2.4113779
           -3.6      19.893989      2.3324572      15.642061      1.7921786      25.820229      3.2535855
           -3.5      22.202955      2.3660801      17.269018      1.7969009      29.176279      3.3171327
           -3.4      35.134882       2.952863      26.646419      2.2407667      47.537207      4.1401126
           -3.3      45.249542      4.4090546      36.337976      3.7134622      56.842256      5.5488003
           -3.2      63.597455      4.2318301      50.815875      3.3025834      80.278165      5.8072177
           -3.1      90.668491      6.6410712      71.019754      5.3667425      117.78596      8.4768427
             -3      103.00324      6.1961219      80.704754      5.1402439      134.17502      7.9172527
           -2.9      131.25394      7.3624647      103.70332      6.3187611      168.95323      9.1061624
           -2.8      141.72699      6.1672264      110.37405       4.704136      185.48409      8.5467397
           -2.7      176.33393      7.1772101      137.79769      5.4826191      229.81026      9.9126155
           -2.6      199.87024      9.4689316      157.19629      7.5603137      258.60649       12.38466
           -2.5      222.22326      7.7416006      175.16158      6.0776098      286.32417      10.595514
           -2.4      256.35313      8.6139725      200.25485      6.7931259      335.09055      11.592995
           -2.3      273.12403       8.743267       215.8104      7.1784912      351.37945      11.541644
           -2.2      302.74854      9.2179551      237.30974      7.2449883      393.67181      12.518102
           -2.1      321.84617      9.0846256      250.39161      7.0803549      422.42886      12.409789
             -2      326.00665      9.1515798      256.01635      7.0560181      422.47385      12.752114
           -1.9      374.58037      9.8533822      294.46614      7.6437652      485.06136      13.634309
           -1.8      399.62471      10.159179      311.72743      7.9097706      522.44202      13.928038
           -1.7      431.82518      14.023762      339.05372      10.226417      560.80118        20.7631
           -1.6      416.00875      10.321921      325.07154      7.9588971      542.15452      14.213192
           -1.5      454.78047      11.770545      354.94322       9.445177      594.37691      15.422725
           -1.4      461.91511      11.321871      363.02991      8.9743092      598.62539       15.16144
           -1.3       490.4226      13.527976      383.52439      10.859466      639.80222      17.633063
           -1.2       486.7567      11.490877      383.47824      8.9807484      628.53275       15.84707
           -1.1       514.2874      12.202534      404.08456      9.5365142        666.541       16.41442
             -1      530.68072      12.023771      417.52814      9.3507825       686.2696      18.489947
           -0.9       533.2033      11.833539      416.49427      9.1816092      696.53674      16.139829
           -0.8      525.75548      11.735449       411.4081      9.1009147      684.59802      16.070725
           -0.7      552.10584      13.552219      430.97982      10.843828      721.90801      17.890533
           -0.6      542.80182      12.139828      424.14271      9.4437069       707.9793      16.581837
           -0.5      549.23777      12.306265       429.9082      9.5563081      714.93987       16.97336
           -0.4      581.62828       12.25974      452.50565      9.4930062      762.72738      16.604834
           -0.3      571.96065      12.711624      449.74382      10.048888      740.45163      17.161925
           -0.2      533.82075      11.931113      420.16545      9.4584039      690.04104      17.943354
           -0.1      589.73038      13.288902      461.36942      10.640542       768.6521      17.525837
              0      568.86961      12.905934      447.81277      10.126169      734.18798      17.909057
            0.1       577.0328      12.368154      447.67174      9.4824201      759.43368      17.103928
            0.2      564.81105       12.58639      444.15355      10.030484      730.79181      17.126465
            0.3      563.15519      13.444897      444.21638      10.994408       725.4506      18.084614
            0.4      546.98181      12.407634      427.71393       9.672269      712.40807      17.057736
            0.5      552.43273      13.265966      433.86467       10.64225      716.44891      17.377335
            0.6      524.97603      11.590809      411.25552      9.0185607      682.32222      15.686193
            0.7      529.54875       12.31323      413.47309      9.4605065      691.58246      17.204467
            0.8      529.70904      12.144504      413.94143      9.5848549      691.21569      16.212041
            0.9      525.11471      12.330243      410.35297      9.6971019      685.38342      16.696741
