#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      863.55215      29.443395      706.39545      23.807432      1399.8361      96.866496
           -4.9      1007.7615      34.289438      828.29531      28.745943      1663.9057      109.44257
           -4.8      1217.4049      37.980235      1006.5294      31.654066      1972.5064      121.68548
           -4.7      1293.2767      40.178368      1072.7493      33.097937      1937.0945      142.47825
           -4.6      1483.7381      39.606246      1222.0212      32.184277      2568.4983      152.93296
           -4.5      1748.9106      55.755717       1451.898      49.143903      2779.6922      138.55602
           -4.4      1860.9738      40.618281      1546.9647      33.688055      2934.8798      156.61771
           -4.3      2128.0072      46.101918      1766.4688      37.652225      3351.7155      161.05188
           -4.2      2365.9232       57.55334      1967.3281      47.498585      3850.4474      171.89914
           -4.1      2608.1042       51.17528      2169.4593      42.514337      4087.6834      171.08248
             -4      2880.9536      51.542516      2399.3823      43.249096      4502.7524      188.12364
           -3.9      3214.2961      74.996241      2682.0444      64.547093      5048.2227        209.144
           -3.8      3356.0204      59.346252       2809.964       50.98497      5276.7201      208.88398
           -3.7      3813.3726      66.391933      3178.7931       55.90113      5939.5378      204.74247
           -3.6      4030.1647      73.487985      3369.9357      62.160492      6246.6706       241.8162
           -3.5      4199.1817      65.730752      3514.7504      55.215919      6250.1963      192.63678
           -3.4      4424.1044      64.900125      3707.6947      54.801354      6561.1972      207.01896
           -3.3      4763.7875      69.661891      4001.4745      59.589496      7054.1763      219.72841
           -3.2      5048.1582      78.695257       4232.948      69.313629      7423.3232      225.49284
           -3.1       5454.452      77.443717      4577.7721      66.054078      8073.7216      233.92357
             -3      5733.1091      86.562569      4820.2494      75.798177      8308.7127      227.65255
           -2.9      5929.4738      86.218996      4976.2421      73.560938      8995.5196      252.83694
           -2.8      6290.7894      83.384712      5285.9093       72.06876      8995.8744      231.12359
           -2.7      6382.7644      79.601531      5357.5184      69.813978      9086.4935      223.93269
           -2.6      6567.3118      80.756323      5522.4906      69.258056      9248.2293      231.81123
           -2.5      6813.4549      78.975581       5715.338      67.110849      9749.9134      254.07828
           -2.4      7137.7267      84.545564      5979.9255       73.28563      10191.563      230.25714
           -2.3      7436.5563      99.811143      6241.5002      85.507682      10454.843       245.5709
           -2.2      7460.7037      97.916153      6261.3088      86.162257      10611.993      244.31876
           -2.1      7796.8042       97.76199      6560.1895      89.688111      10973.609      237.25502
             -2      8157.2152      110.05977      6843.6151      97.941163      11528.066      252.71253
           -1.9      8408.9128      96.643195       7046.995      85.302713      11952.844      252.33225
           -1.8      8351.1498      83.291368      6981.5196      70.985474       11714.35      226.24727
           -1.7      8787.7751      104.65719      7355.3093      92.090253      12503.981      247.37339
           -1.6       8656.519       88.60284      7242.4204      76.954355      12261.933      256.49948
           -1.5      8762.1845      89.864745      7337.3142      79.217306      12306.372      240.92735
           -1.4      8939.3938      92.452961      7479.6526      79.929236      12535.582      265.20705
           -1.3      9052.9152       107.3334      7565.4775      95.419652      12440.891      227.64995
           -1.2      9452.6415      109.93284      7938.8943      99.096257      13077.677      258.04274
           -1.1      9343.4626      89.174012      7809.0427      76.991684      12819.795      235.80253
             -1      9548.2892      99.053996      7987.7122      86.680536       13003.07      223.66557
           -0.9       9625.712      112.33787      8055.4995      100.86729      13274.354      240.72329
           -0.8      9812.7848      98.066619      8210.7728      84.837545      13281.801      237.25714
           -0.7      9896.0295      103.22568      8284.1907       91.83368      13370.671      246.29965
           -0.6        9763.43      96.231532      8174.6329      84.486804      13189.741      261.17193
           -0.5      10327.231      122.48996      8644.8145       108.9595      14401.993      277.08865
           -0.4      10011.061      102.82789      8385.0625      91.181898      13600.323      232.97129
           -0.3      10030.192      97.564168      8391.6051      85.134579      13495.002      232.19531
           -0.2      10026.819      99.109174      8380.3941      86.399119      13917.085      240.95785
           -0.1      10037.566      104.26291      8386.3663      93.187787      13874.596      242.72324
              0      10073.548      105.55919      8410.5929       91.23487      13862.904      253.31832
            0.1      10142.357      95.612682      8475.3721      84.179805      13996.658      263.54118
            0.2      9948.1459      96.838458      8304.9249      83.434065      13800.165      231.68334
            0.3      10184.648      96.643323       8498.975      84.307968      14182.151      251.95599
            0.4       10065.66      101.40688      8424.8649      90.607631      13721.209      252.16724
            0.5      9795.8011       101.6163       8179.733      88.381658       13641.18      245.22816
            0.6      9949.0695      99.532645      8316.0144      86.906814      13675.362      259.52323
            0.7      9776.6405      114.14978      8166.9258      104.36813      13843.283      265.88093
            0.8      9767.6131      98.829411      8149.0563      84.988985       13775.17       259.7297
            0.9      9511.4501      96.038457      7929.3721      83.399084      13480.526      241.38739
              1      9356.5513       95.45154      7825.0963      83.114469      12708.858      243.70257
            1.1      9173.6973      94.163234      7678.9242        83.7221      12701.433      228.69508
            1.2      9316.5759      115.51797      7815.6107      102.95421       13128.07      265.24668
            1.3       9338.136      107.42946      7850.3026      97.712531       12816.33      247.36048
            1.4       8703.002      86.872632      7285.8547      75.147001       12201.68      233.03289
            1.5      8612.6308      97.014524      7205.5252      83.743799      11794.813      259.05718
            1.6      8539.9461       92.14287      7152.5834      80.696534      11505.928      220.35856
            1.7       8407.422       89.29961      7035.5791      78.645261      11880.248      230.14062
            1.8      8190.3571       100.6822      6868.1902       88.73796      11372.033      236.75245
            1.9      8139.3562      93.174734      6824.0272      80.100791      11259.192      248.66625
              2      7799.6666      80.939813      6534.4025      70.127151      11280.479      253.50397
            2.1       7459.659      83.925773      6248.2085      71.777627       10814.75      253.82904
            2.2      7375.6647      97.993546      6183.9626      85.483788      10436.453      243.99907
            2.3      7129.9544       86.09652      5982.4087      75.985267      9849.3909      208.45131
            2.4      7038.5003      99.694838      5899.2618      86.728415      10396.735       254.0848
            2.5      6551.0171      79.625957        5503.68      70.261159      9313.7537      232.77752
            2.6      6496.9485       85.56776      5459.1051      74.997492       9349.213       242.7308
            2.7      6147.1744       80.32385      5144.5423      69.063879       9058.482      225.61364
            2.8      5962.7058       91.35998      5005.6288      82.177078      8682.7869      227.15871
            2.9      5482.5662      72.072014      4597.8622      61.202253      7755.7362       203.0237
              3      5231.8235      71.865452      4374.8478       61.13704      7647.1642      208.89862
            3.1      5040.4347      69.779696       4216.285      58.866537      7410.3555      219.35863
            3.2      4805.5287      77.892215       4033.977      66.573157      6998.3341      190.50883
            3.3      4507.2778      72.462819      3778.6694      62.561121      6502.7938      195.41778
            3.4      4241.8396      66.885478       3558.118      56.887842      5868.5771      188.44582
            3.5      3970.6081      68.663889      3318.0565      57.499313      6089.4749      213.16448
            3.6      3612.9043      60.066313      3022.3415      50.216879      5595.2894       199.5354
            3.7      3520.5534      69.770771      2938.7794      58.349431      5243.6766      183.24609
            3.8       3262.431      66.227266      2711.8175      55.528491      5053.1741      185.98259
            3.9      2819.0057      49.452006       2354.371      41.195554      4476.3247      194.60064
              4      2553.3322      56.259467      2130.1554      47.993641       3805.083      138.79838
            4.1      2453.4179      54.786686      2038.8511      46.605525      3822.1357      141.88347
            4.2      2111.5598      48.952759      1752.8797      41.659012       3262.997      177.67614
            4.3      1891.4784      42.539488      1567.5191      35.440882      3088.6356      160.53999
            4.4      1704.3011      40.842029      1405.4554      33.434615      2746.1629      158.63176
            4.5      1450.2039      41.159302      1202.5804      34.019637      2307.5187      129.76942
            4.6      1320.0501      45.835078      1090.2117      38.815438      2040.1471      124.72642
            4.7      1180.0193      53.700127      971.47835      44.671328      1931.9221      128.88746
            4.8      941.92259      30.556237      779.27135       25.34884      1399.8482      100.72393
            4.9      827.72263      42.204302      683.91306      34.737597       1194.513      72.260507
              5      827.72263      42.204302      683.91306      34.737597       1194.513      72.260507
