#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      617.86789      11.792164      470.81272      8.9032762      2868.4552      104.17606
              1      2433.0449      24.056606      1861.8916       18.34063      9938.1214      149.58165
              2      2892.5737      24.200123      2337.2496      19.609914      6083.1324      76.295747
              3      2850.4924      23.335658       2368.707      19.635902        4470.67      45.460493
              4      2723.9747      21.997742      2295.3699      19.015446      3787.0808      34.839745
              5      2506.8619      21.857851      2135.9924      19.453405      3242.6231      29.005103
              6      2279.2015      16.602858      1945.0328      14.663597      2855.8955      22.230025
              7      2130.3577      18.366694      1828.5284      16.525917      2602.5729      21.538498
              8      1936.7606      14.768546      1663.3052      13.185961      2341.1018      17.659346
              9      1846.1985      15.262651      1591.4745      14.075216      2205.5493      17.127365
             10      1730.5362      14.494022      1491.5114      13.134236      2057.8728      16.598138
             11      1608.7655      13.246353      1388.6576       12.05496      1898.7022       14.84751
             12       1516.899      12.641508      1308.4449      11.556541      1785.2153       14.21868
             13      1444.5644      12.772543      1247.0427      11.841775      1696.6578      13.772835
             14      1369.0674      13.306012      1181.7523      12.469393      1606.6009      14.255188
             15      1322.0436      12.293153      1142.1138      11.452523      1545.0024      13.182654
             16      1235.4604      10.696448      1066.1467      9.7897763       1445.648      11.879132
             17      1137.4553      9.0381354      978.31207      8.1788644      1336.5333      10.197478
             18      1103.5347      9.6962473      949.34227      8.9224152      1294.3395      10.602158
             19      1052.9419      9.3884142      905.64305      8.5383492      1233.8948      10.446042
             20      1009.1507      9.0681596       867.1092      8.3497332      1184.0457      9.8928335
             21      958.89015      9.1521146      823.44487      8.6599596       1124.288      9.7438029
             22       915.7083      9.6342047      783.81569      8.8610124      1079.0965       10.54753
             23      862.54943      7.9074192      737.22648      7.1920178      1016.8615      8.8185409
             24      813.62982      7.0770981       691.1868      6.3019767      965.78829        8.21622
             25      767.19152      6.8638487       651.4252      6.1967228      912.44232      7.8368982
             26      749.19622      8.4899134      634.98741      7.8889127      892.88319      9.0789112
             27      705.50018      7.4315188      595.38021      6.9084767      844.81631      8.0368416
             28       679.4859      7.5882438      572.49618      6.9011749      815.66022      8.4411068
             29      642.19537       6.578789      539.07493       5.858447      773.68547      7.4927922
             30      606.84668      5.6902251      507.76501      5.0689969      734.15654      6.5612239
             31      583.65756      6.2206514      486.58937      5.4656715      709.09158      7.1982331
             32      557.63712      5.6599789      463.68835      4.9275737      679.64438      6.7261941
             33      544.11784      6.0399215      452.56081      5.3462364      662.59354      6.9439858
             34       528.4312      5.4973368      439.22212      4.8108981       644.1262      6.4595256
             35      490.48416      5.6148785      406.49493       5.121741      599.86575      6.2502958
             36      472.81925      4.9904186      389.78941      4.2800425      581.89447      5.9921789
             37      458.10011      4.5152057      378.29595      3.9137661      562.67779      5.4143525
             38      440.15504      4.7328717       362.2715      4.1799842      542.49394      5.5193579
             39      417.42562      4.1228817      344.54711      3.5611412      512.62541      5.0784821
             40      417.17582      4.8515725      342.41185      4.2653435      516.06814      5.6440362
             41      386.88251      4.6372592      316.57304      3.9240435      479.89897      5.6643434
             42      379.67839      4.7157378      312.55576      4.3609757       467.6418      5.2892517
             43      362.34746      4.2291996      297.92507      3.7211658       446.6963      4.9628827
             44      349.40019      3.9370606      286.10083      3.3643753      433.06173      4.7977117
             45      338.29579      3.5773796      276.83599      3.0202655      419.47511      4.4061209
             46      341.43526      5.5589041      280.18362      4.9662849      421.79538       6.287066
             47      323.09354      5.2687146      264.19133      4.6504324      401.13105      6.0991998
             48      309.54265      3.6104122      253.10351      3.0844964      383.93122      4.4535402
             49      300.08163      3.5189477      245.05749      2.9810126      372.76504      4.3118293
             50      300.08163      3.5189477      245.05749      2.9810126      372.76504      4.3118293
