# pt_bb-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
            405    0.045306199   0.0038729431    0.036519299    0.002948362    0.056162798   0.0054487888
            410    0.046152381   0.0039336999    0.036170143   0.0028979406    0.059416419   0.0057076325
            415    0.040685443   0.0035571621    0.031591265   0.0026372075      0.0530098   0.0051153207
            420     0.03989371   0.0034428129    0.031066455   0.0026312376    0.051884617   0.0048065757
            425     0.03648908   0.0035663126    0.028903929   0.0026244939     0.04635713   0.0051975856
            430    0.033284336   0.0033529012    0.027185562   0.0026637757    0.040481494   0.0046388092
            435    0.030701907   0.0031388461    0.024399485   0.0023971882    0.038820502   0.0043979636
            440    0.027243077   0.0028722418    0.021214079    0.002163153    0.035404992   0.0040206211
            445    0.028775389   0.0031826932     0.02280605   0.0023168991     0.03640166   0.0047158688
            450    0.022754715   0.0028224354     0.01922821   0.0021444351    0.026043466   0.0041672961
            455    0.019759211   0.0028132384     0.01729402   0.0020927672    0.021522716   0.0040639508
            460    0.021936654   0.0025333388    0.017010232   0.0019238839    0.028591949   0.0035491274
            465    0.019292038   0.0026592598    0.015411866   0.0019329914    0.024088814   0.0039335522
            470    0.015815968   0.0022570074    0.012379423   0.0016642308    0.020372635   0.0032933262
            475    0.019357799   0.0024264687    0.015201801   0.0018268901    0.024858919   0.0034134119
            480    0.016246187   0.0022488701    0.013315255   0.0017053189    0.019610109   0.0036063792
            485    0.014332966   0.0021169488    0.012230771   0.0017918826    0.016069914    0.003198538
            490    0.014064012   0.0021779666    0.011308789   0.0016587178    0.017422529    0.003060003
            495   0.0098588678   0.0019047914   0.0084854118   0.0014680142    0.010823954   0.0026626061
            500    0.016361246   0.0022018065    0.012611783   0.0016525372    0.021549997    0.003113493
            505    0.015524152   0.0023650856    0.011879027    0.001752765    0.020723892   0.0033760037
            510    0.013084006   0.0028706316   0.0098387599   0.0019919544    0.017748382   0.0043409696
            515    0.010005978   0.0020327995   0.0087653164   0.0015422118    0.010692789   0.0029773975
            520     0.01176075   0.0019465137   0.0099772076   0.0015650846    0.013375383   0.0027154505
            525   0.0084916944   0.0015395141   0.0064893291   0.0011291526    0.011256579   0.0022527989
            530    0.011747605   0.0017848164   0.0092121653   0.0013806808    0.014973786    0.002421199
            535   0.0090770236   0.0017446717   0.0072214435   0.0012878374    0.011388025   0.0025337533
            540   0.0072559045   0.0016052733   0.0054696725   0.0011511348   0.0097920254    0.002374422
            545   0.0080229186    0.001584576    0.006643633    0.001147319   0.0095405851   0.0028584754
            550   0.0085342001   0.0016634457   0.0073259465    0.001340079   0.0094491516   0.0025607593
            555   0.0065468552   0.0014658283   0.0058121208   0.0011877572   0.0067630144    0.001573048
            560   0.0058599553   0.0017104944   0.0045939523   0.0011953203   0.0075290494   0.0026176259
            565    0.006516693   0.0014170144   0.0050042098    0.001016852   0.0086057297   0.0021526716
            570   0.0045659712    0.001336602   0.0035163625  0.00093291112   0.0060071987   0.0020312568
            575   0.0037465945   0.0011977742   0.0030762098  0.00088309549   0.0044809793    0.001754093
            580   0.0063597901   0.0017489588   0.0053160509   0.0013672455   0.0074004516    0.002462526
            585   0.0063011254   0.0014013659   0.0052640255    0.001104129   0.0073219904    0.001956736
            590    0.003746321   0.0010297139   0.0028256344  0.00075863355   0.0050468299   0.0014577968
            595   0.0032469507   0.0010886337   0.0026200064  0.00075481991   0.0040025374   0.0017186761
            600   0.0037769283   0.0011994987    0.003000655  0.00088795504   0.0047764261   0.0017542365
            605   0.0026301748   0.0010400793   0.0020938379  0.00072813735   0.0032924515   0.0016069074
            610   0.0022478346   0.0011444647   0.0017123498   0.0020283942   0.0023016916   0.0010278618
            615   0.0022478092   0.0010297185   0.0019679873  0.00076059215   0.0024656534   0.0013898859
            620   0.0029462639   0.0010848153   0.0026086232  0.00084741465   0.0030614988   0.0015769803
            625   0.0029970683   0.0009344532   0.0024710779  0.00074305704   0.0034743847   0.0012129971
            630   0.0039960762   0.0011168818   0.0029327886  0.00079332962   0.0056050112     0.00168183
            635   0.0022528711  0.00075093473    0.001643682  0.00055049002   0.0031815072   0.0010675223
            640   0.0029980603   0.0011171068   0.0022414563  0.00074354856   0.0041279046   0.0017765269
            645   0.0022478219  0.00090046707     0.00194524  0.00070946444   0.0024355548   0.0012101641
            650  0.00099901427  0.00049948216  0.00077326549  0.00038809182   0.0013014817  0.00065589844
            655   0.0009990143  0.00078974964  0.00090321785   0.0005816631   0.0010182957   0.0010651412
            660   0.0012487758  0.00066075699  0.00099540221  0.00048914038   0.0015452019  0.00092895964
            665   0.0020492273   0.0009494125   0.0014935771  0.00063339321     0.00289876   0.0015015566
            670 -0.00052113829  0.00075546353  -0.0013197774   0.0011911252 -0.00012806998  0.00051328478
            675   0.0018179332  0.00077522822    0.001537876   0.0005916771   0.0020431924   0.0010915343
            680    0.001747027  0.00089976395   0.0014105946  0.00067790891    0.002184973   0.0012930293
            685   0.0027473131  0.00090046176   0.0021546327  0.00068015795    0.003507345   0.0012403864
            690  0.00074926547  0.00066075219  0.00056819078  0.00043854988  0.00098776471   0.0010481519
            695  0.00042286804  0.00065442525   -0.000113895   0.0010318548  0.00061587918  0.00050325681
            700   0.0014986391  0.00061178625    0.001062213  0.00043480984   0.0021797392   0.0008935564
            705  0.00049949125   0.0004994758   0.0003509062  0.00031990671  0.00073998725  0.00081629971
            710   0.0014985246  0.00061173951   0.0010457997  0.00042912631   0.0022175071  0.00091309849
            715  0.00049951669  0.00035319398  0.00043739905  0.00031826108  0.00053338633  0.00037714788
            720   0.0012580031   0.0005626285   0.0008615453  0.00038607106   0.0019064229  0.00085331266
            725   0.0011662321  0.00060079777  0.00080751668  0.00041101157    0.001754849  0.00093170543
            730   0.0012487822  0.00055844443  0.00090449602  0.00040898668   0.0017732909  0.00080643738
            735   0.0017482861  0.00066075699   0.0013159491  0.00049918544   0.0023504865  0.00089453984
            740  0.00074925912  0.00043256332  0.00050271543  0.00029049024   0.0011614118  0.00067122722
            745   0.0016415707  0.00068273671    0.001280725  0.00054286846    0.002121647  0.00090375353
            750  0.00024976154  0.00055844443  -8.328779e-05  0.00088483092  0.00036397459  0.00044047337
            755  0.00024976154  0.00043257067  8.0349787e-05  0.00059429081  0.00029239426  0.00033775274
            760  0.00049951669  0.00035319398  0.00044911288  0.00033111638  0.00053533863  0.00037909275
            765  0.00099902063   0.0006117421  0.00070124008  0.00040773653        0.00148  0.00096237103
            770  0.00024975516  0.00024974267  0.00017091256  0.00017090401  0.00037870906  0.00037869011
            775  0.00050216217  0.00035506947   0.0003923434  0.00027741953  0.00065243879  0.00046132986
            780              0  0.00035318947 -0.00013495072  0.00068055155  5.5364079e-05  0.00018987377
            785   0.0004994976  0.00035318048  0.00031549761  0.00022311704  0.00083065816  0.00058741532
            790  0.00024976151  0.00043256332  0.00016428617  0.00070567308  0.00026731954  0.00038564224
            795 -0.00024975516  0.00024974267 -0.00041925596  0.00041923501 -0.00015341812  0.00015341045
            800              0  0.00035318947 -6.7001558e-05  0.00058947077  2.7701107e-05  0.00022116952
