# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2984.0277       44.77541      2559.5949      39.957781      3558.9529      61.683979
            0.1      1350.6402      29.285885      1154.5592      26.063997      1649.2554       45.30896
            0.2      685.53003      27.634359      603.46588      27.800011        817.507      40.799547
            0.3       401.1849      16.951531      355.28158      15.945918      465.46569      20.996114
            0.4      236.55759      12.012202      207.84823       10.86896      276.03856      14.133006
            0.5      150.80132      9.7637661      132.08767      8.6765748       179.9308      16.305495
            0.6      92.094966      7.7746922      82.275475      7.1662139      104.42642      8.7551963
            0.7      45.709285      5.3941372      40.294307      4.7747213      52.769134      6.4475838
            0.8      18.173447      2.3645393      16.124318      2.1287544      21.068034       2.859237
              1      18.173447      2.3645393      16.124318      2.1287544      21.068034       2.859237
