#    pt_j2-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2756.2206      23.709152      2275.3548      19.735293       6222.375       102.7216
              1      4290.0157      28.186319      3557.4179      23.674132      8299.1391      93.000223
              2      4202.6095      26.338756      3570.9975      22.968814      5653.0222      39.262813
              3      3733.2846      22.756242      3195.0891      20.391714      4632.8095      28.774148
              4      3322.8389      20.579303       2847.711      18.711285      4018.5225      23.747804
              5      2885.0894       17.05345      2468.8614      15.330975      3454.8123      19.590376
              6      2522.2711      15.329718      2154.0717      13.897879      3010.1599      17.281162
              7       2267.654      14.525617      1933.8266      13.194645       2703.485      16.468512
              8         1986.5      13.606142      1688.1492      12.331425       2372.187      15.272178
              9      1761.7975       11.65337      1493.6613      10.525946      2106.4709      13.138852
             10      1568.4538      12.280242      1326.5261      11.138774      1878.6266      13.680698
             11      1418.1357      10.469118      1196.9262      9.5511128       1701.384      11.610095
             12      1257.0894      8.6235892       1055.646      7.6895344      1516.9843      9.8787311
             13      1150.7339      8.4877056      965.63479       7.615102      1388.8005      9.7038029
             14      1030.6059      8.3987202      861.97942      7.6181595       1248.447      9.4389848
             15      953.40211      9.0822518      795.80403      8.3482247      1157.2288      9.9148386
             16      856.44949      7.3453703      712.45412      6.4882764      1044.1582      8.4952998
             17      782.93952      6.6262577      650.00231      5.7707754      956.57316      7.9037009
             18      709.75644      6.0068545      587.43003      5.2324856      870.70203      7.0965476
             19      664.11061      7.4530204      550.01727      6.4656895      813.35778      8.7698783
             20      603.63667      5.6097876      499.52558      5.0475452      739.69873      6.4537629
             21      556.38065      5.3030409      459.07526      4.7031277      684.39835      6.1486765
             22      516.04859      6.1244048      426.10529      5.5604553      634.05081      6.8240724
             23      469.28543      4.4836355       384.9342      3.8570637      581.34099       5.404594
             24      443.76487      4.4676135      364.19213      3.8552741      549.35613      5.3648976
             25      419.63406      5.0135714      344.33475      4.3746671      519.48252      5.8997648
             26      389.64215      6.0107046      319.43195      5.1263749      482.84905      7.2334912
             27      362.19067      4.7833521      296.91362      4.2589366      448.71139      5.5074973
             28      333.69709      4.1146228      273.16976       3.561249      413.97988      4.9306771
             29      313.52384      3.4096084      256.57164      2.9152542        389.021      4.2243198
             30      291.38113      3.9391864      237.78546      3.5136542      362.93754      4.5104792
             31      274.06554      3.4705629      222.89047      2.9866198       342.9156      4.1652144
             32      253.20126      4.2166353      205.24953      3.4940566      317.93909      5.2160679
             33      239.27305      4.0072155      194.24502      3.4407427      299.93364       4.781027
             34        223.491      3.2521374      181.49297      2.8647902       279.9932      3.8173089
             35      212.95466      3.0380838      172.35293      2.5348921      267.84685      3.7815834
             36       198.2616      2.9210166      160.63545      2.4540375      248.94912      3.6165414
             37      184.96116      2.6817456       148.7901      2.2280546      234.46153      3.3457209
             38       174.1544      2.4323916      140.44937      2.0266849      220.03473      3.0661293
             39      171.91607      2.3997494      138.92951      1.9944632      216.45673      3.0244334
             40      159.44553      2.3141491      128.12658      1.9234046      202.38227      2.9095025
             41      148.36448      2.2045798      119.49184      1.8119708      187.67522      2.7907575
             42      139.62057      2.0963517      112.92664      1.8591653      175.36035      3.1114919
             43      137.94598      2.2354736       110.8823      1.9210913      174.93743      2.7662215
             44      129.60621      2.0971983      104.35338      1.7516885      164.04323      2.6370272
             45      121.72407      2.0036155      97.865915       1.642098      154.08679      2.5457365
             46      121.01466      2.6459405      97.095174      2.2839009      153.71308      3.1425104
             47      110.93048      2.2814677      89.303381         1.9959      140.38842      2.7072214
             48       108.2892      2.8359516      86.695249      2.5232318      137.91808      3.2410518
             49      105.51121      2.9014459      84.642114      2.4321384      133.95385      3.5673041
             50      105.51121      2.9014459      84.642114      2.4321384      133.95385      3.5673041
