#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      801.13585      4.2963999      665.97492      3.7021577       1265.284      14.893891
            105      829.01078       4.725014      691.65769      4.1253149      1295.6293      14.421294
            110      772.32812      4.3027838      646.63094      3.7632262      1160.7718      12.897418
            115      699.76248      3.7636938      586.34721      3.2919282      1053.3017      11.764189
            120      628.22148      3.5463233      527.35488      3.0578326      926.35916       10.44622
            125      571.06846      3.7636336      480.92633      3.3574906      820.63321       9.563168
            130       503.5621      3.2872538      424.59902      2.8891414      703.22844      8.5152518
            135      454.71413      3.3075274      382.85213      2.9006473      640.01748      8.1523608
            140      407.76168      2.8773126       343.7785      2.5232722       565.3768      7.1893618
            145      365.14098      2.8797367      307.26729      2.5430011      514.13276      6.9555958
            150      327.92043      2.5241897      275.90454      2.1924103      449.10662      6.1561607
            155       303.8295       2.488793      256.00147      2.2144021      415.40182      6.1499611
            160      275.83711      2.4101338      232.31155      2.1090066       382.0157      5.8901468
            165      251.11478      2.2901706      211.88779      2.0776313      342.17745      5.2331849
            170      228.82227      2.0307918       192.7097      1.7683272      308.86387      4.8050575
            175      213.85943      1.9168059      179.85706      1.6787345      285.19513      4.5103484
            180      194.43238      2.0389951      163.60122      1.7846476      259.63681      4.4401698
            185      185.54255      1.8413412      156.23749       1.615363       244.5681      3.9125739
            190      170.10012      1.8825375      142.93423      1.6608709      222.64755      4.0146156
            195      153.04911      1.7927115      128.64598      1.5485428      200.96355      4.0597522
            200      144.62928      1.5780496       121.3348      1.3795624      187.94486      2.9969171
            205      137.87732      1.7020155      115.93651      1.5250121       176.2355       2.851531
            210      129.44342      1.5797092      108.32406      1.3824491      169.56386      2.9322943
            215      124.44875      1.8668501      104.49628      1.6415837      166.57081      3.5499325
            220       109.2277      1.2710946      91.308979       1.095984      143.09714      2.8576383
            225      106.31155      1.2338885      89.005761      1.0639706      138.46435      2.3467601
            230      100.93861        1.13684      84.081926     0.95879248      130.37323      2.3164777
            235      95.678708      1.3834815      80.138627      1.1880231      122.21593      2.2031821
            240      91.067462      1.3612052      76.010528      1.1810228      116.64421      2.2170279
            245      86.015688       1.205252      72.102093      1.0774485      109.77382      2.2258073
            250      86.015688       1.205252      72.102093      1.0774485      109.77382      2.2258073
