#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      7.8625085      2.2059056      6.3193686      1.7574335      12.816631       4.570416
           -4.9       25.41711      5.8814421      20.480743      5.0250221      33.728134      7.3882056
           -4.8       66.49079         7.8708      52.977381      6.2933134      98.054307      13.124594
           -4.7      150.48941      12.289949      118.16532      9.4646378      333.82586      69.982616
           -4.6      265.66116      18.638656      213.91375      14.834123      486.35679      67.818107
           -4.5      475.49973      21.520013      380.88557      16.775885      955.31266      107.51914
           -4.4      739.48889      26.172798      597.15922      20.734722      1411.8122      133.26662
           -4.3      1098.2803      31.048133      899.12715      25.234483      1724.5157      111.79373
           -4.2      1565.6591      38.571937      1283.5885      31.934234      2452.4005      133.08331
           -4.1      2075.4986      41.382517      1706.7607      33.806086      3112.3981      144.16123
             -4       2609.369       53.19161      2141.7234      44.489421      4047.5499      181.54752
           -3.9         3278.5      58.533697      2693.8058      48.677729      5313.5733      201.87754
           -3.8      3790.9595      59.993472      3122.7354      49.464749      5845.5396      192.87627
           -3.7      4318.3566      62.276312      3557.0197      51.334185      6748.5428       209.9863
           -3.6      4859.3237      71.205994      4019.6729      60.890339      7275.7277      207.02184
           -3.5      5319.4072       71.57179      4399.4594      60.104797      7952.4911      224.33157
           -3.4       5955.447      71.469575      4937.6642      60.577926       9198.155      243.28701
           -3.3      6299.4747       77.58302      5214.3762      64.211729      9585.5984      262.71883
           -3.2      6841.9277      80.732698      5682.6235      67.516932      10195.634      257.11342
           -3.1      6943.2934      81.736702      5800.2666      70.079211      9771.6712      219.76331
             -3      7420.0447      87.444525      6175.4141      74.903583       11155.78      263.02758
           -2.9      7752.5092      93.763045      6454.6785      81.888585      11215.097      278.39268
           -2.8      7764.7536      86.455838      6478.6193      75.568356      11361.615      253.34265
           -2.7      8296.8197      89.065971      6929.5242      77.027754      12095.717      263.82248
           -2.6      8314.2453       100.4861      6931.6124      86.131744      12055.222      260.99187
           -2.5      8381.1496      83.488182      7008.6484      71.223944       11888.79      262.16399
           -2.4      8364.7976      95.424106      7003.0566      83.882127      11695.218      253.61093
           -2.3       8703.402      118.59145      7278.9177      101.92785      12406.174      267.72036
           -2.2      8707.0166      94.024286      7274.9933      80.202448      12319.878       265.3012
           -2.1      8721.3237      88.765582      7302.3205      76.127716      12387.469      260.28822
             -2       8743.282        91.7232      7340.1337      79.773637      12255.785       244.8207
           -1.9      8730.7198      93.121411       7290.577      79.603659      12440.098      261.65366
           -1.8      8877.5693      94.739976      7443.4074      83.008204      12895.897      265.94564
           -1.7      8762.3033      95.151323      7370.4091      84.376225      12205.841      241.93492
           -1.6      8585.8424      87.141985      7196.9665      76.843185        12049.9      225.96989
           -1.5      9005.8387      108.31617      7568.9895      96.518666      12244.827      259.67688
           -1.4      8892.4429      100.60353      7468.8054      88.499227      12491.258      258.01093
           -1.3      8887.5548      99.612852      7474.2079      88.552794      12431.747      246.57213
           -1.2       8963.984      98.145929      7542.7562      86.996849      12483.281      250.02581
           -1.1      8864.9525      108.77134      7450.8318      98.306823      12530.481      262.13784
             -1      8648.5501      89.979204      7283.4428      79.746833      11746.045      228.15131
           -0.9      8869.7624      96.181543      7449.7492      84.188946      12461.845      246.19166
           -0.8      9028.4473      119.75051      7612.5853       107.0914      12432.394      261.63478
           -0.7      8768.5305      98.450095      7400.8351      87.656252      11828.581      237.36876
           -0.6      8959.8539      108.61341      7554.8964      96.094608      12443.628      261.84833
           -0.5      9059.6857      110.27986       7626.932      97.004224      12865.008      291.56094
           -0.4      8678.6977      100.36428       7269.335      86.538191      12306.595      245.99163
           -0.3      8884.5974      99.748218       7478.971      87.083584      12381.289      255.92138
           -0.2      8865.4756      99.767908       7463.238      87.540824      12339.145      261.88851
           -0.1      8896.6476      114.53005       7499.996      102.89708      12135.768      239.91996
              0      8716.8943      92.128955      7329.2236      80.159606      12192.696      230.25112
            0.1      8868.3515      114.91085      7466.9087      101.44973       12271.62      228.45168
            0.2       8743.293      95.757302       7350.397      83.381535      12143.336      227.94296
            0.3      8638.5479      94.544815      7278.0073      84.461625      11659.776      241.84876
            0.4      8831.0695      109.38434       7443.155      96.266888      11852.612      233.50885
            0.5      8948.7913      110.17097      7525.7612      97.251237      12718.108      267.01209
            0.6      8872.3773      98.795522      7468.2942      87.246867      12007.035       231.4899
            0.7      8895.8996      110.85687      7491.6775      98.364453      12167.851      243.46911
            0.8      8919.9768      110.15177      7499.1579      96.766523      12286.219      237.32961
            0.9      8829.6457      99.560566      7434.2349      88.547777      12267.893      243.73277
              1      9079.2838      113.17199      7632.8726      100.17545      12775.295       239.2834
            1.1      8914.2773      110.40211      7481.8762      96.845865       12193.27      233.97164
            1.2      8672.6395      85.791807      7280.7929      74.450174      12007.374       242.8787
            1.3      8813.0595        101.246      7385.0465      90.822542      12546.228      276.88077
            1.4      8855.8471       109.5971      7434.0067      98.608361      12366.594      259.03917
            1.5      8945.0323      99.846952      7510.5592      87.727938      12423.337      249.79346
            1.6      8778.5046      101.39363      7384.8083       89.05844      12017.957       238.0545
            1.7      8827.0522      104.38717       7409.714      93.074566      12233.865      244.91418
            1.8      8801.2315      92.881128       7370.114      80.120892      12320.193      239.34282
            1.9      8755.9406      100.23256      7319.6659      88.451026      12692.777      266.13055
              2      8645.6216      91.032085      7228.6901      79.239299      12040.945      254.25025
            2.1       8642.029      89.646194      7231.6133      78.984149      12219.999      259.33412
            2.2      8549.2626       86.03458       7148.564      73.662026       12069.45      243.18668
            2.3      8491.3873      90.229283      7107.9365       78.11668      12132.575      247.84215
            2.4      8400.0726      95.679546      7009.0936      84.055546      12011.715      263.41227
            2.5      8250.3815      85.579528      6885.2463      74.439767      11667.803      243.49483
            2.6      8143.9076      94.843836       6799.148      81.674103       11673.98      249.25601
            2.7      7788.1819      85.394771      6480.7537      73.059007      11148.049      236.85944
            2.8      7650.0797      83.929127      6372.2357      70.452423      11054.776      241.96971
            2.9      7349.0144      84.018568      6121.8239      72.304889      10687.017      263.08726
              3        7238.53      87.423945      6010.2276      75.764284      10373.084      234.92624
            3.1      6880.8599      83.608569      5713.5961      70.564134      10255.585      247.14715
            3.2      6320.5744      78.475765      5237.0853      66.394686      9684.4683      235.41349
