# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ1000
              0      617.80015       11.79207      470.75578       8.903187      2868.3646      104.17604
              1      2431.4687      24.047792      1860.6052      18.333008       9934.929      149.57554
              2      2891.7362      24.199402      2336.5291      19.609289       6081.968      76.295227
              3      2849.5856      23.334576      2367.9312      19.634978      4469.3923      45.459284
              4      2723.1397      21.996857      2294.6399      19.014703      3785.9587      34.838645
              5      2504.9963      21.854569      2134.3832      19.450734      3240.4578      28.997014
              6      2277.4766      16.600087      1943.5287      14.661226       2855.231      22.178727
              7      2128.7764      18.357674      1827.1791         16.519      2600.5112      21.525244
              8      1934.6102       14.76483      1661.4451      13.183023      2338.3029      17.653458
              9      1844.3553      15.259139       1589.902      14.072466      2203.1424       17.12201
             10       1728.389      14.489684      1489.6678      13.130417      2055.1617      16.592466
             11      1606.0025         13.237      1386.2391      12.046902      1895.1831      14.832576
             12      1513.8036      12.633944       1305.835      11.550677      1781.2173      14.207467
             13      1441.5799      12.765355      1244.4624      11.836088      1692.9339      13.761908
             14      1366.6525      13.298953      1179.6403      12.463861       1603.676      14.244671
             15      1317.8046      12.209609      1138.4138      11.386084      1539.9412      13.067755
             16      1232.3591      10.686822      1063.5318      9.7825707      1441.7406       11.86472
             17      1134.1033        9.02922      975.42825      8.1716607      1332.3529      10.184468
             18      1099.9077      9.6877381      946.29052      8.9158562       1289.777      10.589567
             19      1048.7337      9.3646294      902.07936      8.5195558      1228.6151       10.41178
             20      1006.1601      9.0615325      864.59074       8.344781      1180.2917      9.8828219
             21      955.06536      9.1389285      820.18625      8.6491198      1119.5711      9.7260985
             22      912.33507      9.6237441      780.95326      8.8531222      1074.9242      10.531739
             23      860.03981      7.8975123      735.12015      7.1846404      1013.7168      8.8034187
             24      809.40966      7.0367876       687.6408      6.2708664      960.48592      8.1603674
             25      764.01036      6.8552239      648.73631      6.1898374      908.48168      7.8251307
             26      745.78825      8.4800221      632.13469      7.8817535      888.61438      9.0633869
             27       702.7539      7.4233693      593.06643      6.9024918      841.42052      8.0246043
             28      676.62524      7.5804366      570.08581      6.8953444      812.10204      8.4294972
             29      639.26661      6.5688063      536.60193      5.8505312      770.08047      7.4791595
             30      604.21144      5.6820076      505.56755      5.0626579      730.86596      6.5498375
             31      580.27021       6.198382      483.71123      5.4479076      704.95433      7.1682192
             32      554.84446      5.6486506      461.35447      4.9184707      676.16904      6.7113338
             33      541.45543      6.0289033      450.31544      5.3374271      659.30151      6.9290845
             34       525.5323      5.4835545      436.77513      4.8002151      640.56668      6.4404644
             35      487.99729      5.6066869      404.39829      5.1153583      596.79391      6.2387535
             36      470.03085      4.9792208      387.44391      4.2707335       578.4379      5.9778337
             37      455.45385      4.5033338      376.02357      3.9041168      559.49625      5.3987419
             38       437.3921      4.7179762      359.94908      4.1686982      539.08523      5.4984772
             39      415.22158       4.113195        342.675      3.5533469       509.9459      5.0661267
             40      413.23647      4.7691482      339.10296      4.2012282      511.23504      5.5352354
             41      384.53628      4.6223522      314.60486      3.9106483      477.00623      5.6472704
             42      376.71849      4.7038905      310.07604      4.3519368      463.98913      5.2730643
             43      359.71775       4.218468      295.71141      3.7125041      443.46844      4.9487911
             44      346.73274      3.9107121      283.84852      3.3406884      429.80664      4.7688385
             45      336.03586      3.5660398      274.94617      3.0111394      416.68111      4.3914055
             46      338.18372      5.5382911      277.49169       4.951496      417.73018      6.2558936
             47      321.03014      5.2594418      262.43442      4.6428601      398.63552      6.0871825
             48      306.75294      3.5964091      250.78786      3.0730915       380.4458      4.4358782
             49      297.65349      3.5062686      243.00305      2.9704003      369.80871      4.2960545
             50      297.65349      3.5062686      243.00305      2.9704003      369.80871      4.2960545
