#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      3703.3655      5.8400347      3087.5417      5.1077657      5446.6289      18.042994
             20      1237.7298      3.5768127      1034.9917       3.122625      1729.7437      9.1214717
             30      518.22278       2.361159      434.99222      2.0801414      704.07016      5.2112742
             40      266.25853      1.6042244      224.28104      1.4074473      351.67004       3.506178
             50      154.76152      1.1321586       130.7376     0.97693601      202.16214      2.3790165
             60      100.29217      1.0759058      85.082577     0.95234376      129.63058      1.9856822
             70      68.234193     0.91487403      57.955176     0.83829229      87.280105      1.5924888
             80      48.190304     0.63623906      41.052158     0.56446575      60.110996      1.1102678
             90      35.058002     0.52384519      29.776149     0.46020386      44.236303     0.86965054
            100      26.307358     0.44381882      22.473606     0.39212206      32.233636      0.6141529
            110       20.64576     0.39409111      17.623067     0.34419324       26.71173     0.93298308
            120       16.70655     0.39952341      14.313356     0.37746064      21.094348     0.66400175
            130      13.326274      0.5386675      11.464879     0.51473853      15.988448      0.6421183
            140      10.294459     0.28049485       8.768707     0.25051295      12.544781       0.438453
            150      8.8415737      0.3091555      7.6576825     0.27985185      10.467349     0.39220788
            160      7.2443195       0.244383      6.1873652     0.21871027      8.8177347      0.3085152
            170      5.9768224     0.20661947      5.0895411     0.18356654      7.2275129      0.2542611
            180      5.1668539     0.20807913       4.389822     0.18397647      6.3333834     0.29816683
            190      4.2953546     0.17814481      3.6306507     0.15560643      5.2410575     0.21957534
            200      3.4463032     0.16312733      2.9158439     0.14591849      4.2476954     0.21012423
            210      3.3139812     0.16601223      2.8317117     0.14800891      4.0328673     0.22294776
            220      2.6894191     0.13972803      2.3002718      0.1266545      3.3081253     0.19144872
            230      2.4583328     0.14853243      2.1075139     0.13247514      2.9528465     0.17965529
            240      2.1628735     0.11890439      1.8629104     0.11346567      2.5855116     0.13828812
            250      1.8050427     0.11356074      1.5566816     0.10149455      2.1506626     0.13668801
            260      1.4903966       0.108613       1.266551    0.095953784      1.8036079     0.12941651
            270      1.3090057    0.093683414      1.1164054     0.08477093      1.5628728     0.10705588
            280      1.1014893    0.083083715     0.92231772    0.072095958      1.3685366     0.10518957
            290      1.1471278    0.086458926      0.9834214    0.076163369      1.5697631     0.24190102
            300     0.96969652    0.085210406      0.8364618    0.075660335      1.1439292      0.1008018
            310     0.99211754    0.088130869     0.84827967    0.078715762      1.1890162     0.10318471
            320     0.80764855    0.075232054     0.67908788    0.065026258      0.9859785    0.091527635
            330      0.8353533     0.17128764     0.73155838     0.16146146     0.97844324     0.18115764
            340     0.61439939    0.058737339     0.51970279    0.052021543     0.74478363    0.069086497
            350     0.55387613    0.061107665     0.47293066    0.055394006     0.78806899     0.15558002
            360     0.57073631    0.069766739     0.49431935    0.063587335     0.67463682    0.079011355
            370     0.45856838    0.067016457     0.39452151     0.06220332      0.5493562    0.077819336
            380     0.37443977    0.045030833     0.31282623    0.039155598      0.4612976    0.054342117
            390     0.40071313     0.05482299     0.35536713    0.049082828      0.4507274    0.071548269
            400     0.34473681    0.051967222     0.29421497    0.047074216     0.41351849    0.059709234
            410     0.30406034    0.047549452     0.26944503    0.040333433      0.3552867    0.067922357
            420     0.26105251    0.038353045     0.22223079    0.034015674     0.31200821    0.044810217
            430     0.38026503    0.052200838     0.31712637    0.046064868       0.471371    0.061527846
            440     0.28167151    0.040451437      0.2421423    0.036480376     0.33374497    0.046477255
            450     0.16124448    0.026191231      0.1402781    0.022600052     0.18777151    0.033003213
            460     0.23961626    0.042614463     0.20257866    0.037374337     0.29068408     0.05020087
            470     0.19234363    0.034979414     0.16680028    0.031407895     0.22791905    0.040929781
            480     0.18895804    0.033595284      0.1598553    0.029360451     0.22803536    0.039754572
            490     0.27706374    0.094947428     0.23933195    0.083536246     0.32811816     0.10858292
            500     0.27706374    0.094947428     0.23933195    0.083536246     0.32811816     0.10858292
