# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -1bjet
              0      2297.8561      19.306905      1961.5761      17.493129      2842.2182      35.490808
            0.4      2218.4555      19.769789      1895.8933       18.05487      2743.1616      37.147211
            0.8      1999.2313      17.676103      1712.0859      15.606347      2446.0252        33.1518
            1.2      1747.2548      16.039542      1496.9786      14.486664      2124.2099      27.697251
            1.6      1488.0284       16.12292      1278.1227      14.240249      1829.5904      29.302912
              2       1169.685      13.976751      1001.0033      12.448701      1442.5032      26.906523
            2.4       1169.685      13.976751      1001.0033      12.448701      1442.5032      26.906523
