#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      35455.896      96.467211      30090.252      85.907469      46551.481        240.395
     0.31415927      28354.795      94.817301      23755.285      83.310458      38867.358      236.43439
     0.62831853      22913.559      86.195378      19085.582      74.945313      32600.786      230.66269
      0.9424778      19533.506      79.993848      16249.576       69.76407      28018.264      222.01052
      1.2566371      17511.515      79.098795      14573.539      68.716659      25499.037      216.27878
      1.5707963      16137.278      75.682413       13420.19      65.764958      24042.093      221.31868
      1.8849556      15520.435      78.652456      12920.203      68.729063      22831.631      205.02564
      2.1991149      15222.096      77.451045      12691.606      66.647888      22596.241      208.60864
      2.5132741      15157.483      75.343175      12650.943      64.709451      22604.926      219.03224
      2.8274334      15109.869      77.117889       12634.49      66.760269      22388.006      210.10997
      3.1415927      15109.869      77.117889       12634.49      66.760269      22388.006      210.10997
