#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      696.46016      2.0849852      576.67163      1.7970548      1094.7796      7.1907681
              1      1966.1741      3.4836419      1623.5949      2.9895246      3091.9121      12.027603
              2      2906.9221      4.2748992       2397.626      3.6595498      4577.6086      14.377304
              3      3471.8323      4.7826541      2863.1978      4.1205432      5445.3475      15.374012
              4      3700.0542      4.8584751      3051.6693      4.1624174      5748.1004      15.554802
              5      3697.1414      4.8931715      3052.8188      4.1997788      5685.0199      15.251522
              6      3556.2296      4.8448645      2941.2732      4.1573148      5416.4282      14.691933
              7      3338.3732      4.6645231      2765.9557       4.022782       5011.127      13.741797
              8       3097.374       4.561452       2570.127      3.9160309      4603.7607      13.019864
              9      2839.4415      4.3887337      2361.2209      3.8030853      4170.3789      12.179545
             10      2595.9916      4.1554665      2162.3575      3.6087749      3768.6806      11.303099
             11      2355.1896      3.9979098      1964.8632      3.4761945      3386.1184      10.586395
             12      2144.4438      3.8038101      1792.0415      3.3257181       3060.675        9.87439
             13      1943.4464      3.5952978      1626.2796      3.1407819      2757.3185      9.2533913
             14      1768.7844      3.3995051      1482.3614      2.9735815      2485.0377      8.6602417
             15      1606.2898       3.215898      1347.8482       2.820584      2246.9822      8.0959687
             16      1462.7481      2.9772888      1229.1515      2.6152899      2024.0644      7.5226581
             17      1338.2211      2.9731552      1125.7815       2.621276      1840.9295      7.1012873
             18      1218.0432      2.7560089      1025.4384      2.4194404      1668.3312      6.6522301
             19      1114.8184      2.6636769      940.06013      2.3481561      1517.7287       6.323373
             20      1027.0856      2.5348636      867.03976      2.2426169      1391.4561      5.9814409
             21      940.63255      2.4439519      794.85787      2.1739845      1259.7841      5.5725595
             22      865.76372      2.3265117      732.07667      2.0755209      1158.7945      5.3018746
             23      795.63148      2.1884153      673.87268      1.9522865      1058.6415      5.0262469
             24      731.59023      2.0837512      619.98993      1.8539582      974.57302      4.8596891
             25      676.71398      2.0301963      573.68891      1.8066819      893.27854      4.4036728
             26      630.45516       1.974773      535.14732      1.7711583      826.88989       4.217459
             27      583.35972      1.8383448       495.2802      1.6330328        762.926      4.0828216
             28      541.09075      1.7636656      459.98565      1.5833645      700.95898      3.7569102
             29      504.18185      1.7545218      428.56486      1.5693878      657.58792      3.7921015
             30      465.67195      1.6383444      396.31492      1.4645426      602.61116      3.4621701
             31      433.40352      1.5297216      368.61256      1.3669107      563.32497      3.3134672
             32      403.52181       1.455018      343.42927      1.3045127      521.36691        3.09101
             33      379.06152       1.447552      323.06039      1.2856477      486.43173      3.0350483
             34      353.72634      1.3411104      301.52522       1.193273      451.27692      2.7395637
             35      332.53428      1.3447141       283.6583      1.1928737      421.07623      2.6280938
             36      312.48166      1.3288578      266.57662      1.2024921      397.74249      2.5410085
             37      291.83366      1.2462677      249.03748      1.1254326      371.40839      2.6299211
             38      276.49382      1.2853931      236.31793      1.1682308      351.11804        2.51145
             39      256.85188      1.1755836      219.41785      1.0534105       326.3876      2.4676604
             40      243.58482      1.1033111      208.08824     0.99039934      307.01722      2.1735863
             41      228.90033      1.1003343      195.61441     0.98516001      288.00825      2.1334548
             42      213.52884      1.0269742      182.56752     0.91975843      268.32793      2.0734872
             43      204.34205      1.0821531       174.7375     0.97426931      258.83478      2.0883337
             44      191.15545     0.98547741      163.46405     0.89253303      238.10148      1.7111746
             45      181.58713     0.91883659      155.20702     0.82085843      227.41917      1.8420846
             46       171.4775     0.91282766      146.79691     0.83913803      214.20876      1.7744655
             47      163.51129     0.89316081      140.12757      0.8108874      201.71444      1.5614599
             48      154.42325     0.86900914      131.99758     0.78936342      193.91452      1.7639465
             49      147.32923     0.83641699      126.20099     0.76403746      183.12495      1.6571696
             50      147.32923     0.83641699      126.20099     0.76403746      183.12495      1.6571696
