#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      116.35872      1.9084774      97.492993      1.7507476      159.69574      3.6430694
              5      350.41977       3.178595      292.78974      2.8608217      496.75648        7.66187
             10       614.4799      4.4322352       513.8632      3.9700676      891.71136      10.623197
             15      893.58899      5.2834463      748.85489      4.7191959      1292.1155      12.555713
             20      1185.3131      5.5409415      993.47962      4.8517921      1695.4973      14.026874
             25      1478.2303      6.1078112      1238.1692      5.2916587      2159.1343      16.312458
             30      1705.5684      6.2037892      1426.8432      5.3047324      2547.9811      18.481997
             35      1679.7055      5.9124716      1401.9698      5.1098369      2542.3178      18.462997
             40      1324.1202      4.9789821      1106.3154      4.2230432       1959.346      15.586652
             45      869.32701      3.6811404      729.47732      3.1731806      1186.3895      9.9190308
             50      576.61115      2.8919011      484.15484      2.5186424      757.51395       6.754152
             55      397.98798      2.1588032      333.28787      1.8711129      507.83964      4.5357781
             60      291.60948      1.9940942      244.61515      1.7893321      362.97537      3.1949795
             65      216.47434      1.6661732       180.7893      1.4734634      269.59576       2.609674
             70      164.78372      1.3987918      137.27476       1.219526      205.67436      2.2009763
             75      128.28318      1.1479952      106.80769      1.0328738      158.87155      2.0260662
             80      101.60192     0.98011733      84.590622     0.85977487        123.664      1.5622416
             85      81.241788     0.97542096       67.51006     0.87751462      100.02096      1.1907872
             90      67.169198     0.82231546      55.790199     0.72462458      82.223627      1.0849735
             95      54.310275     0.66068064      44.901972     0.56744015      68.499858       1.242247
            100       45.32808     0.60774848      37.487621     0.52250457      56.249008      1.0414192
            105      37.239216     0.55612815      30.815366      0.4770452      46.076473     0.76454175
            110      31.660265     0.49437097      26.171491     0.42960537      39.787986     0.99369675
            115      26.716009     0.47014423      22.201169     0.41483469      33.311571      1.0789181
            120      22.429921     0.55048139      18.624131     0.52979817      27.433108     0.59645472
            125      20.252069     0.66943621      16.680417     0.59777179       25.18781      0.8996344
            130      16.799886     0.36503073      13.791787      0.3154412       20.72924      0.4655644
            135      14.716277     0.32834537      12.038485     0.27699101      18.284857     0.41505551
            140      11.942135     0.29341631      9.7685745      0.2445835      14.681988     0.44240565
            145      10.743174     0.34004085      8.7532479     0.29410864      13.447051     0.41840666
            150      9.4832576     0.26498005      7.7056257     0.22056743      11.871983     0.33945453
            155      7.8973364      0.2319007      6.4472913     0.19423479      9.8116749     0.29919444
            160      7.6323969     0.35508138      6.2861578     0.31042863      9.4290821     0.45880952
            165      5.9262772     0.21153819      4.8170562     0.17945465      7.4057578      0.2612515
            170      5.6069783     0.18896007      4.5797447     0.15538112      6.9380534     0.24382073
            175       4.708653     0.17398563      3.8222873      0.1427248      5.8733301        0.22636
            180      4.3313896      0.1758624      3.5313529     0.14616731      5.3790118     0.22301722
            185      3.9932991     0.17096422      3.2670883     0.14450401      4.9559777      0.2161875
            190      3.6119938     0.24949943      2.9345418     0.22839602      4.5186752     0.27950424
            195      2.9494737     0.14369216      2.3764155     0.11712118      3.7175695     0.18583887
            200      2.7237226     0.13404034      2.2174946     0.11221965      3.3986799     0.17270253
            205      2.3746789     0.12564503      1.9421797     0.10619332      2.9408409     0.16141907
            210      2.3961251     0.12649252      1.9264741      0.1057984      3.0370168     0.15877669
            215      2.0382147      0.1219808      1.6713616     0.10155262      2.5081035     0.15793874
            220      1.7465539     0.10759946      1.4349332    0.092067396      2.1361035     0.15741657
            225       1.760061     0.11327642      1.4115079    0.094230504      2.2333457       0.144622
            230      1.7461495     0.11303985      1.4291968    0.095888052      2.1629554     0.14111249
            235      1.4154415     0.10120308      1.1621732    0.087600034      1.7366844     0.12411196
            240      1.2686876    0.095741257      1.0137574    0.076326305       1.620425     0.12785268
            245      1.0609715    0.088195015     0.86590669     0.07489232      1.3110397     0.11166202
            250     0.94100177    0.078065002     0.77151733    0.064263214      1.1522556     0.10012691
            255      1.0131288    0.088537384     0.82240246    0.074209746      1.2689873     0.11035248
            260     0.86449172    0.084705314      0.7137514    0.073286635      1.0600823     0.10548781
            265     0.77475921    0.072446682     0.63195196    0.062980218     0.96384324    0.090335542
            270     0.72147518    0.065661154     0.57253218    0.051830085     0.92246112     0.08987209
            275     0.63453675     0.06353368     0.52100463    0.051146091     0.77372127    0.084193488
            280     0.69478859    0.074422452     0.56440402    0.065516226      0.8641619    0.088417223
            285     0.48427038    0.054446987     0.38863441    0.043579637     0.61139964    0.071999642
            290     0.55911865     0.05691611     0.43359195    0.045013609     0.73727497    0.074946636
            295     0.63141497    0.068852561     0.51126805    0.058104155     0.78930167    0.085417452
            300     0.42048312    0.049596686     0.33750492    0.038971633     0.52810946    0.066413045
            305     0.40729452    0.049705214      0.3272657    0.039250994     0.51043721    0.071022692
            310     0.43146558    0.049062904     0.34479709    0.039472501     0.54589162    0.063724644
            315     0.38537955    0.052124388     0.31012793    0.041555741     0.48324034    0.068444136
            320     0.27724469    0.037296881     0.21484816    0.028319137     0.36322123    0.051398547
            325     0.43077619    0.063871042     0.35864212     0.05756155     0.53372179    0.084895707
            330     0.23278826    0.037447564     0.18124469    0.029879882     0.30664045    0.049057737
            335     0.26918301    0.047413887     0.21956458     0.04200324     0.33514358    0.055648925
            340     0.27853508    0.056600108     0.22421117    0.049497156     0.35231564    0.066420289
            345     0.25422245    0.036051987     0.20380089    0.029000473     0.31884089    0.046392597
            350     0.21730614    0.035355268     0.16995128    0.027787169     0.28641475    0.047921152
            355      0.2001991    0.037597012     0.16359285    0.031434891     0.24727654    0.046310333
            360      0.1590067    0.029448882     0.12129754     0.02224922     0.21293955    0.040709644
            365     0.18079419    0.034168274     0.14742045    0.028236259     0.22281642    0.043024569
            370     0.18067609    0.036216349     0.14180872    0.030595334     0.23787978    0.045321046
            375     0.14498123    0.031360716     0.11459497    0.024245253     0.18466547     0.04248819
            380     0.19467597    0.043698543     0.15758089      0.0343888     0.24061847    0.061386002
            385    0.093362457    0.026153904    0.077366368    0.019926803     0.11112916    0.036790055
            390     0.13916871    0.025835485     0.10653966    0.020025049     0.18575218    0.036186148
            395     0.10438413    0.024419165    0.082957989    0.019404934     0.13284749    0.032057146
            400     0.10882882    0.026266534     0.08869553    0.021607897     0.13525721    0.033194946
            405     0.12097341    0.026438565    0.094390503    0.021442738     0.15848112    0.034018077
            410     0.10880681    0.023838682    0.083898548    0.018529341     0.14367207    0.031833147
            415      0.1022057    0.025595537     0.07943095     0.02048674     0.13413229    0.033151935
            420    0.077920558    0.020625084    0.059572737    0.015690875     0.10467877     0.02837026
            425    0.049224581    0.014855658    0.039738101    0.012068992    0.060574301      0.0185905
            430    0.096621339    0.027197557     0.07750581    0.024465605      0.1228724    0.031238717
            435    0.093642235    0.039134004    0.079388938    0.036067069     0.11083408    0.041784211
            440    0.058162122    0.017161094    0.045491732    0.012802562    0.075448156    0.024338968
            445    0.036068491    0.016888513    0.031322681    0.012405673    0.040519999    0.022954802
            450    0.058479887    0.017100956    0.043938212    0.012943262    0.079883016    0.023371846
            455    0.061230725    0.018292773    0.046083687    0.013736461    0.083240782    0.025267553
            460     0.04322324    0.015837157    0.035747709    0.012277039    0.052080783    0.022549238
            465    0.011655083    0.012282598    0.010096089   0.0089013228    0.013129051    0.017844005
            470    0.041246927    0.015643656    0.031729162     0.01244499    0.055164246    0.020394167
            475    0.035946704    0.012732605    0.027761117   0.0098704731    0.047127933    0.016736342
            480    0.027094189    0.012496147    0.021966816    0.010291447    0.033930614    0.015498898
            485    0.062203575    0.020374444    0.048134413    0.016552618    0.082952962    0.026253672
            490      0.0313181    0.020101234    0.026249274    0.016929973    0.037789051    0.024993821
            495     0.02399743     0.01264128    0.020091621      0.0100762    0.028162235     0.01699491
            500     0.02399743     0.01264128    0.020091621      0.0100762    0.028162235     0.01699491
