#         m_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      815.07332      3.1639782      678.81631      2.7481671      1280.4567      10.343711
            110       736.0453      2.8317643      616.48908      2.4786631      1107.0367      8.7088233
            120      599.64497      2.5661563      504.14061      2.2549838      873.49618      7.0662631
            130      479.13811      2.3178595      403.72558      2.0358799      671.62296      5.8835943
            140      386.45133       2.025202       325.5229       1.782972      539.75478       4.993572
            150      315.87496      1.7645312        265.953      1.5517173      432.25422      4.3448836
            160      263.47595      1.6565223      222.09967      1.4755916      362.09657      3.9349156
            170      221.34085      1.3913693      186.28338       1.215159       297.0295      3.2914015
            180      189.98746      1.3700131      159.91936      1.2006053      252.10246      2.9560291
            190      161.57461      1.2969774      135.79011      1.1331229      211.80555       2.852571
            200       141.2533      1.1581019      118.63566      1.0262956      182.09018       2.066138
            210      126.94609      1.2209254      106.41017      1.0716038      168.06733      2.3004822
            220      107.76962     0.88390847       90.15737     0.76225537      140.78074      1.8473825
            230      98.308659     0.89381916      82.110276     0.76209615      126.29458      1.5970559
            240      88.541575     0.90784652      74.056311      0.7983692      113.20901      1.5696417
            250      79.716686      1.0636852      66.517242     0.94749308      103.17546      1.6805435
            260      70.356983     0.73063895      58.579753      0.6316545      89.634342      1.1433802
            270      65.607546     0.86833845      54.663227     0.74540071      84.485711      1.3827637
            280      59.492956     0.81698062      49.606362     0.73352137      76.135003      1.3109674
            290      53.423357     0.77935197      44.514712     0.69691964      68.833766       1.275733
            300      50.086981     0.72177578      41.699444     0.62788413      65.260249      1.3138085
            310      44.772174     0.56507975      37.172431     0.48488487      57.145723     0.87533113
            320      42.402755     0.72090946      35.209181     0.62696386      54.724788      1.1200511
            330      37.844339     0.61091026      31.382067      0.5290484         49.363      1.0387085
            340       35.17272     0.58165403      29.097365     0.49646755      45.082646     0.83985384
            350      31.890846     0.46903891      26.394265     0.39740852      40.639525     0.71021739
            360      31.325316     0.63116148      26.008013     0.53197205      39.758378     0.86642543
            370      27.609106     0.51858521      22.825659     0.43820375      35.271177     0.93534378
            380      26.277465     0.50115971      21.837397      0.4499592      33.556754     0.71351154
            390      23.127946     0.41698332      18.984978     0.35410383      29.562688     0.57250066
            400      22.600994     0.43607712      18.646723     0.37408287      28.779715     0.63722355
            410      21.532224     0.44824227      17.774842     0.38148154      26.800507     0.59733187
            420      19.645866     0.40241969       16.16696      0.3430819      24.803536     0.51544043
            430      18.469097     0.48646946      15.164316     0.42138247      23.662001     0.69703509
            440      17.169844     0.38796634      14.072974     0.32997998      22.022207     0.54804203
            450      16.034775     0.44574447      13.121597     0.37613931      20.292914     0.56030822
            460      15.253694     0.38803815      12.516136     0.33215611      19.278102     0.48664148
            470      13.370013     0.27067221      10.896749      0.2254701      16.939341     0.35111162
            480      12.458051     0.27299565      10.144426      0.2283271      15.885149     0.36903049
            490      13.194389      0.6546985      10.821537     0.55427576      16.662261     0.79822012
            500      11.300854      0.2495637      9.2296871     0.21109415      14.352598     0.32228596
            510      11.305366     0.37872828       9.234829     0.32259338      14.277887     0.47383129
            520       10.28525     0.29677659      8.3390828     0.24257831      13.441845     0.53671444
            530      9.8532145     0.25379273      8.0332491     0.21552986      12.612713     0.34220709
            540      9.2380589     0.28404286       7.536352     0.23998186      11.685399     0.35289163
            550      8.4454927     0.21908143      6.8556211     0.18379797      10.806239     0.28714035
            560      7.8875668     0.21572705      6.3636913     0.17894293      10.228627     0.30378666
            570      8.4622165     0.34698703      6.9107793     0.29584112      10.846422     0.69260578
            580      7.3506846     0.27224327      5.9572681     0.22732999      9.3910989     0.34766301
            590      7.0985801     0.24717012      5.7430452     0.20965139      9.2314399     0.33362199
            600      6.5135067     0.24256405      5.2612026     0.20347628      8.3466759     0.30111665
            610      5.9445916     0.20300964      4.8220846     0.16877824      7.6988516     0.27741416
            620      6.0248145     0.21693381      4.8410225      0.1763667      7.8453718     0.32025364
            630      5.9970608     0.22242126      4.8368926     0.18780219      7.7225765     0.28087056
            640      5.0728648     0.20688379      4.0609652     0.17384428      6.6107186     0.27802212
            650      4.8894087     0.17686237       3.944939     0.15064796      6.3592214     0.23416652
            660      4.7070851     0.17723187      3.8134476     0.15064332      6.0040795     0.24195925
            670      4.6153792     0.22611586      3.7524387     0.20015543      5.9244302     0.29346282
            680      4.3998531     0.19553012      3.5495248      0.1632892      5.6741623     0.24911654
            690      3.9305288     0.14422488      3.1560577     0.11791175      5.0498208     0.18638175
            700      4.4453881     0.42115773      3.5548184      0.3378578       5.874353     0.57426633
            710      4.0164188     0.20301399      3.2435663     0.17048144      5.1755182     0.26592894
            720      3.5826001     0.14030943       2.867944     0.11497574      4.6296542     0.18069348
            730      3.3829909     0.13958091      2.7170649     0.11694426      4.4499891     0.19877484
            740      3.1435898     0.12607641      2.5159868     0.10258232      4.1008859     0.16915147
            750      3.0149884      0.1450974      2.4253706     0.11978159      3.8906724     0.18915194
            760      3.0081165     0.12461971        2.39185     0.10080325      3.9265419     0.16864725
            770      2.7905031     0.30749946      2.2578992     0.25050219      3.5520934     0.39086261
            780      2.7353201     0.13292485      2.1694773     0.10726528      3.6475581     0.18995075
            790      2.6424666     0.12387595      2.1202094     0.10220912      3.4079712     0.15904867
            800      2.6970596     0.15369438      2.1592874     0.12727105      3.5059235     0.20719602
            810      2.3342698     0.11755626      1.8772335    0.098007446      3.0126456     0.15073333
            820      2.1398314    0.096304066      1.7005335    0.077048046      2.8094135     0.13214519
            830       2.085815       0.105081      1.6612281    0.084578679      2.7658953     0.15952916
            840      2.1570536     0.16039589      1.7443786     0.14091566      2.7518095     0.19051313
            850      2.1596357     0.15159977      1.7374679     0.12728794      2.7779446     0.18678258
            860      1.7379398    0.087834634      1.3767433     0.07164742      2.2743945      0.1140632
            870      1.6450216    0.080880129      1.2927026    0.063797315      2.1771321     0.10997413
            880       1.821398     0.19382045      1.4450584     0.16018331        2.37553     0.23978697
            890      1.6803593     0.13202728       1.350336     0.10806527      2.1607637     0.16857174
            900      1.9530551     0.30926453      1.5655616     0.25066598      2.5576546     0.40415733
            910      1.5007797    0.099868047      1.1975554    0.083194564      1.9504882     0.12623467
            920      1.4648737     0.10724254      1.1942213    0.093782608      1.8518141      0.1305595
            930      1.4044213    0.092400163      1.0994059    0.073852084      1.8979002      0.1346503
            940      1.2943936    0.074764293      1.0134629     0.05866123      1.7201235     0.10297628
            950      1.3679324     0.12762564      1.0844171     0.10601565      1.8272318     0.18043404
            960      1.3025303    0.074402387      1.0136807    0.058816018      1.7406929    0.099299763
            970      1.2175753    0.096193166     0.96671849    0.080190387        1.58623     0.11997682
            980      1.2854945    0.092801773      1.0192328    0.075043877      1.6889951     0.12267025
            990      1.0534402     0.07257131     0.83282972    0.057329918       1.386078    0.099173906
           1000      1.0534402     0.07257131     0.83282972    0.057329918       1.386078    0.099173906
