# pt_Z-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      576.96462      4.6517444      470.91915      3.8832517       1091.131      16.373512
              5      1357.1904      6.3610649      1118.8152      5.3904897      2387.5722      22.047027
             10      1553.7266      6.4581991      1293.9352      5.5774293      2454.0258      19.832136
             15       1451.471      6.1927588      1218.0704      5.4013259      2116.6375      16.017371
             20      1245.2502      5.2395317      1049.3618      4.6219434      1736.6728      12.849872
             25      1043.8724      4.8340047      880.41849      4.2846477       1402.475      10.280592
             30      848.97607      3.7904443      715.43989      3.3479885      1110.4339      8.2893569
             35      708.94218       3.781277      598.40137      3.4058601       911.7704      7.2039943
             40      580.76061      3.1824423      489.09965      2.8406784      738.48634       6.008059
             45      477.41849      2.7737149      401.32304      2.4799892      594.38831      4.8201059
             50      393.47639      2.3607805      330.10271      2.0853732      495.61993      4.5423535
             55      330.26351      2.0947602      276.96014      1.8798752      412.56774      3.3275715
             60      276.09677      1.8117881      231.75412      1.6495037      339.82982      2.8395765
             65      230.31572      1.5481071      192.89516      1.3521351      281.58128      2.5940495
             70      194.80482      1.4228714      162.50659      1.2398034      239.98717      2.3133956
             75      165.46775      1.3252979      138.14474      1.1844977      202.11852      1.9017145
             80       142.6035      1.3675878      119.33363      1.2496505       174.4648      2.2598507
             85      122.60508      1.1389968      102.45843      1.0178738      150.87647      1.7432067
             90      105.31866      1.0576785       87.97378     0.95314782      128.45492      1.5447466
             95      89.171083      1.0165585      74.323349     0.90648025      108.95466      1.7585916
            100       77.50811     0.84749895      64.700855     0.74524378      94.862537      1.1800054
            105      66.631854     0.76317314       55.53374     0.67149774      82.571983      1.2501699
            110      57.887602     0.80061124      48.210639     0.73892592      71.222234      1.1712497
            115      50.179531     0.66234496      41.791916     0.59149296       61.25932      0.8246959
            120      43.111985     0.57238083      35.690972     0.49431006      52.894491     0.70281157
            125      40.241747     0.75227693      33.368533     0.63568856      49.320208     0.93118244
            130      33.575691     0.50848091      27.673929     0.43613858      41.559603     0.63532702
            135      29.432365     0.48920536      24.511998     0.40666819      36.482149      1.0252621
            140      26.351878     0.50529185      21.767906     0.44252988      32.267329       0.646315
            145      23.690365     0.53848013       19.65725     0.47757585      28.924757     0.69224705
            150      20.922205     0.41592658       17.29931     0.36621893      25.645299     0.50206558
            155      18.461831     0.37537485      15.185719     0.31735499      22.736268     0.47281841
            160      16.457762     0.37033225      13.453614     0.31720223      20.530653     0.46475007
            165      15.177935     0.33485799      12.474818     0.28581241      18.799935      0.4192969
            170      13.081083     0.30663605      10.768675     0.25784945      16.100883     0.38631823
            175      11.513288     0.30873319      9.4538919     0.27399989      14.237172     0.36827817
            180      10.747511     0.27412707      8.7899702     0.22904503      13.315087      0.3466457
            185      9.0768592     0.24617142      7.4275248     0.20697053      11.250829     0.31120114
            190      8.6116667     0.25428789      7.1137741     0.21971963      10.566219     0.32078467
            195      8.1396978     0.31689977      6.7354767      0.2886694      9.9801052     0.36402791
            200       7.178003     0.22363738      5.8536359     0.18795254      8.9232704     0.27947151
            205      6.3187598     0.23768788      5.1843636     0.21236011      7.8169032      0.2883316
            210      5.5849086     0.18885426      4.5371176     0.15637581      6.9763427      0.2411925
            215      5.5311902      0.1942115      4.5634472     0.16598216      6.7700682     0.24323319
            220      4.7963018     0.17811827      3.9114128     0.14852423      5.9684214     0.22719275
            225      4.2659386     0.17485146      3.4899741     0.14691752      5.2871904     0.22032273
            230      4.0801367     0.19796742      3.3559515     0.17751043      5.0406344     0.23583955
            235      3.7269224      0.1598371      3.0239025     0.13397696      4.6608508     0.20227785
            240      2.9828956     0.13100547      2.4106288     0.10586433      3.7356671      0.1756053
            245      2.9145789      0.1332223      2.3874705     0.11218317      3.5856877     0.18724272
            250      2.9107017     0.14931366      2.3899768     0.12883457      3.5896008     0.18315813
