#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      253.68792      4.3782152      207.84154      3.7559888      367.43615      10.586057
           -4.9      314.00491      4.9209598      257.05802      4.2565679      463.11398      13.095559
           -4.8      389.36799      6.0572846      319.94136      5.3784736      563.70741      14.238131
           -4.7      478.35718      6.0122781      391.89858       5.159886      707.60922      16.509626
           -4.6      580.05404      6.6200587       475.2704      5.6259611      858.85606      17.098069
           -4.5      723.21522      7.4921843      592.98337      6.4187984      1068.0992      19.121807
           -4.4      886.88703      8.4037076      727.53006      7.1492903      1324.3018      22.027745
           -4.3      1067.5273        8.21894      875.26182      6.9787321       1610.943      23.750669
           -4.2      1311.8483      10.271948      1079.4842      8.9021242      1951.8201      26.717517
           -4.1      1551.4747      10.782011       1275.596      9.2476928      2292.8512      29.233383
             -4      1843.7251      11.616479      1518.4624      10.006833      2729.2293      30.798207
           -3.9      2176.0396        11.9445      1791.6101      10.272566      3276.7953      35.044333
           -3.8      2525.3769      12.356921      2083.8433      10.573126      3743.8647      35.340461
           -3.7      2958.4417       14.33135       2445.185      12.495528      4336.7264      39.267389
           -3.6      3343.2052      14.789905      2761.2648      12.711943      5042.1521      43.910035
           -3.5       3791.568      15.187877      3134.6863      13.030065      5675.4957      45.566884
           -3.4       4244.556      16.505514      3511.7771      14.218405      6308.1046      46.915815
           -3.3      4672.2494      16.848397      3871.1852      14.578095      6889.1642      49.657064
           -3.2      5152.5522      17.094173      4268.6443      14.549328      7565.2376       50.81381
           -3.1      5613.2572      18.637347      4656.1877      16.020029      8233.0486      53.483302
             -3      6091.0275      19.069011      5056.9217      16.383594       8942.977      55.729256
           -2.9      6490.0474      19.025119      5397.2688      16.366476      9519.0685      57.477812
           -2.8      6893.8995      19.718267      5734.4501       16.93546      10049.565      58.164714
           -2.7      7332.8488      20.700626      6101.2143      17.889113      10709.261      60.640669
           -2.6      7614.7271      20.887776      6341.9106      17.899222      11055.997      60.587051
           -2.5      8018.3497      22.013822      6689.9008      19.152768       11600.71      62.066247
           -2.4      8299.6103      22.097446      6929.6302      19.132462      11902.839      61.618693
           -2.3      8520.4568      22.486074      7113.6106      19.451275      12265.067      63.801714
           -2.2      8780.3957      21.927692      7336.3726      18.979679       12588.75      63.239165
           -2.1      9043.3029      23.797985      7564.4875      20.751514       12879.52      64.028448
             -2      9174.4125      23.672483      7675.6874      20.667211      13156.474      65.214196
           -1.9      9316.6168      23.687926      7794.7458      20.547466      13386.207      65.724688
           -1.8      9451.1476      24.451971      7917.0752      21.413927      13531.187       66.94328
           -1.7      9561.4626      24.310271      8012.5145      21.147366      13604.673      65.476668
           -1.6      9596.7969      24.000363      8043.3893      20.825163      13728.525      67.178207
           -1.5      9697.9536      24.696975      8134.0514      21.553103      13862.299       66.42078
