#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      209.37534      5.4198847       170.4515      4.5856246       356.2188      19.366154
              1      618.08118       8.552976      502.50004       6.971399      1029.0962      30.528102
              2      988.54893      11.440326      805.76025      9.6065599      1626.9758      37.130692
              3      1322.8545      12.460933      1077.4891      10.282523      2215.0676      44.045178
              4      1617.9794      14.953734      1321.6086      12.641104      2662.4025      47.820462
              5      1816.4064      15.125957      1488.3298      12.859876       2957.306      49.771926
              6      1937.2304      14.995116      1587.0511      12.661125      3143.1172      51.046693
              7      2035.7711      14.869286      1674.2629      12.475557      3225.6899      49.748248
              8      2109.5822      16.024363      1739.2414      13.889297       3280.651      47.985679
              9      2138.9469      15.927359      1760.8078      13.455847      3374.3794      52.207974
             10      2099.0735      15.704956      1730.1007       13.40668      3281.8926      47.734064
             11      2080.6575      15.829534      1724.1204      13.564257      3152.9349      45.457376
             12      2001.9969      16.166244      1660.0512      14.436856      3048.8032      46.117695
             13      1952.2137      14.346781      1619.0719      12.180767      2910.6516      44.626616
             14      1886.1139       14.76851      1567.0775      12.669572       2757.031      41.465614
             15      1781.6576      14.599275      1482.4915      12.550659      2595.7091      38.686433
             16      1708.3862       14.08034      1428.5996      12.252664      2465.4055      36.910885
             17      1652.7694      14.719298      1381.7056      12.867421      2346.4872      34.318977
             18       1555.983      12.687141      1298.9694      10.900661      2228.8017      34.502715
             19      1479.4444      13.084973      1238.6372      11.487293       2063.098      32.233402
             20       1403.322       11.81377      1175.9318      10.363175       1983.854      31.604891
             21      1333.6965      12.111266      1118.6475      10.548879      1870.1295      30.571334
             22      1275.4186      12.120873      1070.5405       10.65323      1770.3287       29.12054
             23      1203.4294      11.070457      1012.1855      9.5663511      1672.9935      27.141777
             24      1120.9716      11.142559      942.94386      9.8820171      1559.7629      26.108803
             25      1090.5821      11.752435      922.26216      10.782011      1477.8383      25.713057
             26      1012.8744      10.699117      854.81381      9.5824908      1338.9302       22.04337
             27      954.89433      11.031587      806.09645      9.7809634      1282.8185      22.026174
             28      912.47761      9.6765671      769.80573      8.5305896      1241.5533      20.667101
             29      842.51046      8.6318903      709.95782      7.4729117      1145.8535      24.045639
             30      806.57155      9.5497249      683.83257      8.5346515       1035.397      16.956787
             31      777.78269      9.2191829      657.29988       8.027776      1016.6278      18.706077
             32      735.11989      9.2217234      621.45879      7.9693264      977.38945      19.213599
             33      702.61802      8.6773971      595.14535      7.6967446      922.34244      17.205117
             34      659.70116       8.200012      559.00478      7.2429595      859.41522      15.361655
             35      619.34512      7.6251601       526.0275      6.7878414      798.12903      16.743229
             36      594.56756      7.9223516      504.10494      6.9674503      762.17974      17.125725
             37      561.55419      7.4526092      475.89061      6.6480985      748.68603      16.815519
             38      541.21634      9.1484715      461.64777      8.5417581      696.65278      15.344586
             39      505.87758      6.5784325      429.96176      5.7966203      649.19726      13.267584
             40      484.49062      7.2262386      411.15116      6.3197932       609.9675      13.390618
             41        481.263      7.4286486      411.25493      6.7340239      602.97016      14.232901
             42      432.88151      5.5525457      368.41301      4.9199726      554.17933      11.081597
             43      413.81179      6.1498046      351.94593      5.4502686      531.63857      13.130598
             44      385.92524        5.51054      328.59622      4.8519571      490.43109      11.366771
             45      373.57291       7.972784      318.85851      7.4389804      470.68564      13.087203
             46      357.62096      6.4581434      305.70162       5.856931      444.89851      10.793871
             47      342.97057      5.7958033      292.49474      5.1991868      427.30061      8.2574091
             48      323.15144      4.8343186      275.73521      4.2741567      400.59918      8.0994657
             49      311.62895      5.8299836      266.62911      5.3103315      377.76907      11.741288
             50      311.62895      5.8299836      266.62911      5.3103315      377.76907      11.741288
