#  total-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      694.76279      5.0032381      534.96112      3.8104674      921.84695       6.938848
              1      694.76279      5.0032381      534.96112      3.8104674      921.84695       6.938848
