#total-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      62796.496      16.463302      52513.279      14.617391       90114.38      52.218262
              1      62796.496      16.463302      52513.279      14.617391       90114.38      52.218262
