# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      80.273144      1.5448171      64.568286      1.2694137      101.60764      2.0024879
              1      255.42958      3.6988327      207.29312      3.0919134       319.6265      4.7000288
            1.6      458.93046      6.6177511      375.90833      5.6595647      569.69018      8.3715841
              2      772.48569      9.8193176      643.74834      8.8709074      946.64625       12.00761
            2.4      1291.5419      18.348479      1096.7444      16.326656      1559.1569      27.810078
            2.6       1854.869      23.225663      1596.4523      21.688599      2198.4515      33.843778
            2.8      2896.8836      30.022959      2518.7927      26.913399      3472.2788      47.589627
              3      4271.1602      39.388282      3747.1607      35.792013      5227.9468      88.321107
            3.2      2335.3957      28.866538      2029.5867      25.449343      2952.6122      73.377801
            3.4      1528.2565      28.430916      1320.0364      26.821317      1851.3835      39.521259
            3.6      953.19675      13.511829      811.91147      11.977286      1216.1221      27.038976
              4      512.03048      9.5515716      429.99085      8.1666695      637.49303      13.311801
            4.4      248.67019      5.2289267      207.02251      4.4971848      311.53215      6.7278867
              5      86.221258      3.2796217      70.971779      2.8105237      110.07024      4.9700214
            5.6      86.221258      3.2796217      70.971779      2.8105237      110.07024      4.9700214
