#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      131.14189      5.6975787      107.68914      4.9691934      227.67363      17.390509
              1      367.52113      8.8781743      299.78238      7.3351261      696.97464      28.475328
              2      584.38543      10.161204      475.59252      8.3557471      1134.5758      39.179186
              3      805.64335      11.896824      657.50612      9.9208434      1525.5169      42.549096
              4      1000.8218      13.745886      818.06249      11.531747      1876.9427      47.515078
              5      1164.9871      15.015144      955.28277      12.737056      2189.1592       50.85101
              6      1269.5873      13.852847      1045.1213      11.573835      2164.4828      47.519286
              7       1381.727      14.351602      1139.8396      12.369282      2442.4017      49.417638
              8      1453.0273      13.786152      1198.1785       11.50609      2523.9799      49.788002
              9      1529.2288      14.823241      1266.3566      12.629272      2634.0678      49.519515
             10      1555.7696      15.585588      1291.7767      13.376808       2513.202      47.849712
             11      1554.4666      13.810017       1289.979      11.710604      2504.3985      44.895171
             12      1566.9766       14.77463      1306.5237      12.913034       2477.077       43.26306
             13      1568.0368      14.486392      1306.0412      12.438648      2494.0055      44.178407
             14      1540.8522      14.457945      1290.1271      12.634909      2303.5892      42.110513
             15      1537.7292      15.391079      1288.2315      13.356934      2336.3619      41.039068
             16      1499.4032       14.72762      1257.5633      12.683263      2178.4879      36.707986
             17      1462.5491      13.145758      1226.4598      11.603429      2126.0093      34.063528
             18      1407.5116      13.687294       1183.418      12.028259       2005.436      32.385922
             19      1367.8214      13.013198      1149.4695      11.315448      1959.1475      34.996674
             20      1316.4552      11.823806      1107.4667      10.374714      1865.5354      30.869552
             21      1292.5961       12.33655       1088.847       10.86843      1831.4734      30.097223
             22      1272.9385      12.921035      1074.1422      11.535545      1768.1108      29.903355
             23      1195.6364       10.90759      1009.1396      9.5019323      1630.7297      25.890919
             24      1168.1453      11.263512      983.65565      9.9017226      1612.2454      27.217427
             25      1112.9795      10.298636      938.88182      9.1007699      1504.8127      22.395198
             26      1080.5874      10.741381      909.89259      9.3135954      1489.7341       25.76146
             27      1061.5535      12.382976      896.07541      11.095307      1423.3616      23.945408
             28      995.03016      9.2868821      838.13649      8.0497731      1337.0832      23.055158
             29      987.80818      11.754833      834.65366      10.589039      1279.0842      20.014613
             30      915.43271      8.8327839      771.77508      7.8872629      1211.7869       21.29856
             31      877.14955      8.4156062      737.62572      7.3083277      1164.1438      19.541562
             32      860.56258      8.8969571       726.1288      7.9196052      1108.6811      18.243584
             33      826.58352      9.1223918       696.7261      7.9937477      1081.5952      18.243061
             34      781.55554      7.5296457      658.81427      6.6481766      1006.0491      15.215588
             35      770.76081      9.2689687      650.22822      8.4104847      1011.0195      18.356329
             36      743.66604      8.8391342      628.18399      7.9517978      956.32992      16.172404
             37      702.31059      7.7697049      590.76486      6.8251824      915.49059      17.628391
             38       676.8132      7.5942794      571.71407      6.8092587      858.84729      13.535958
             39      666.86331      9.1007382      564.26071      8.2673096      836.61492      14.733226
             40      622.32113      7.3792256      523.64738      6.4723308      793.02117      15.443478
             41      603.60129      6.5833087      508.70105      5.8937957      764.71431      13.680962
             42      598.82142      8.3945946      504.53573      7.6250488      766.30737      13.693082
             43      559.82279      7.0491286      471.59338       6.226857      707.29573      12.083637
             44      533.58152      6.3222673      449.00744      5.6173653      678.92329      12.279615
             45      517.27591      6.8401617      434.92077      6.0276046       645.6144      12.088697
             46      496.54387      6.4166796      417.26399      5.8144799      616.07027      9.1850413
             47      469.87824      5.2771735      394.52159       4.649174      586.56075      9.9300528
             48      457.82398      5.4401497      384.47148      4.7388747      568.42317       10.28257
             49      458.50168      7.0763427      386.25726      6.4615432      571.20618      12.283932
             50      458.50168      7.0763427      386.25726      6.4615432      571.20618      12.283932
