#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      819.83452       45.48138      677.61775      41.002713      1361.2902      132.37093
           -4.9      911.88821      28.304957      756.66968      22.901418      1376.8006      96.091938
           -4.8       1087.517      37.399874       900.6417      31.671197      1730.1827      117.53244
           -4.7      1330.9277      45.505598      1104.1132      37.874892      2133.7366      122.76702
           -4.6       1472.498      38.649815      1225.7123      32.229279      2240.1928        124.283
           -4.5      1667.6234      43.293574      1384.6577      35.996374      2444.6949      102.73793
           -4.4      1929.1971      61.431439      1606.5208      54.888694      2931.2981      129.04043
           -4.3      2135.2259      43.872632      1782.9275      35.928282      3450.3401      172.99021
           -4.2      2391.9524       52.64078      1994.0255      45.510853      3702.2311      157.07316
           -4.1      2660.6973       52.39271      2224.9971      43.686556      4019.5868       180.3737
             -4      2849.2452      55.689893      2382.0491      46.519626      4345.8833      178.38311
           -3.9      3066.8101      56.828873      2561.1921      47.156352      4720.5962      176.25245
           -3.8      3479.1964      69.376255      2902.3944      59.738849      5565.6343      221.81556
           -3.7      3638.2588      61.890653      3041.5474      51.113502      5581.1769      206.93923
           -3.6      3932.2832      64.501424      3306.5673      54.566812      5612.1047      169.40946
           -3.5      4275.8255      89.261871      3596.1033      77.287721      6079.8262      194.52163
           -3.4      4588.4006      75.296704      3844.0587      65.350672      7217.6748      245.42013
           -3.3      4744.6826      70.490195      3979.3146      60.252437       7150.625       223.3646
           -3.2      5090.8702      75.141224      4266.0006      63.313336      7626.0992      241.29207
           -3.1      5347.1698      79.180699      4480.3528      66.825594      7975.7701       238.7385
             -3      5584.6337      83.510781       4695.447      73.643416      8195.6272      227.93087
           -2.9      6120.5014      88.450721      5141.6119      77.130993      9049.3476      242.65714
           -2.8      6318.8419      85.313016      5302.1752      71.866505      9506.6755      254.64383
           -2.7      6391.2534      82.003467       5372.463      70.762232      9073.8109      211.14069
           -2.6      6647.7574      82.395827      5570.0746      71.152476      9941.4456      250.94939
           -2.5      6895.1439      83.016237      5794.1988      72.529399      9571.0693      231.53991
           -2.4      7252.8256       84.73573      6065.4703      72.396523      10678.334      258.56776
           -2.3      7341.3988      94.571769      6158.1059      82.050172      10411.133      250.84648
           -2.2      7576.6314      95.782194      6342.3247      82.430948      10856.819      268.72663
           -2.1      7769.7811      92.323555      6505.5331      79.265036      11013.367      243.43043
             -2      8122.5806      100.25647      6820.1038      88.808878      11656.559      257.07449
           -1.9      8200.2658      99.008057      6883.7026      87.755726      11583.819      244.82292
           -1.8      8362.3098      100.20413      7006.0087        88.2628       11644.05      241.77115
           -1.7      8567.3144       87.13893      7171.4616      76.435569      11904.757      240.15713
           -1.6      8832.8078      100.64019      7394.7003      89.776194      12109.312      241.26957
           -1.5      8915.3793      92.926015      7460.1076      82.016116      12446.465       244.3983
           -1.4      9009.1065      97.098159      7534.6065      84.097513      12393.821      234.53221
           -1.3      9241.5901      96.396182      7738.4329      86.087942      12803.354      244.81633
           -1.2      9373.7591      99.802267      7844.6598      87.940129      12757.691      247.83591
           -1.1      9548.6676      99.390795      7986.1648      86.798139      13416.485      257.73821
             -1      9232.6142      90.087786      7718.3243      77.728299      12931.676      242.89337
           -0.9      9619.9528      99.377136      8038.6548      87.086004      13233.783      226.54105
           -0.8      9674.3758      89.603228      8076.4922      79.339199      13318.743      223.44708
           -0.7      10067.119      118.87045      8433.6805      107.12979      13433.211      259.70384
           -0.6      9980.7251      107.42781      8344.1025      95.022425      14153.941      273.06458
           -0.5      10155.847      116.29719      8479.4658      103.52019      14093.626      268.76915
           -0.4      9931.6849      92.228066      8295.5696      80.488871      13596.259      250.23733
           -0.3      10097.903      107.76023      8460.9345      95.819012      13778.073      261.35841
           -0.2      9897.8004      94.059933      8250.2944      81.481883      13569.933      218.32353
           -0.1      10061.435      103.64252      8398.9781      91.444538      13838.976      248.07248
              0      10212.992      104.99872       8518.708      92.093041      14255.365      247.96815
            0.1      10081.587      100.10668      8404.2699      87.141046      13801.803      236.91678
            0.2      10176.116      99.747862      8505.8483      87.174832      14415.364      263.45547
            0.3      10107.039      96.887795      8439.2467      84.622884      14065.194      247.36556
            0.4      10140.278      108.34329      8467.9838      94.718567      14084.704      272.97232
            0.5      9966.5766      100.39256      8333.1867      89.058549      13639.145      235.99613
            0.6      9879.3753      106.66571      8250.2127      93.554144      13918.549      253.43631
            0.7      9658.2236      89.091577      8063.8171      77.856916      13380.119      240.92392
            0.8      9631.8487      96.932044      8034.1513      85.064832      13548.826      261.63726
            0.9      9596.5236      103.88886       8030.102      91.253362      13322.541      257.61756
              1      9604.2191      101.11217      8024.4095      88.557923      13453.444      259.60758
            1.1      9289.1892      92.072051      7770.4634      79.716791      12736.928      238.47568
            1.2      9091.6441      95.545514      7608.2546      84.163134      12502.546      246.23798
            1.3      9037.9221      102.66719      7570.1893      91.779187      12503.455      240.14556
            1.4      8879.5822      97.019869      7423.5915      85.949067      12492.439      238.01228
            1.5      8804.8284      113.80016      7364.9215      101.64721      12510.947      265.29748
            1.6      8572.6989      91.024394      7185.9755       80.05629      12184.014      258.49551
            1.7      8215.1484      87.310214      6905.4244      78.876199      11405.794      240.31006
            1.8      8317.2666      102.18079      6960.2001      88.734669      11986.515      289.38858
            1.9      8006.0737      84.650753      6698.3332      73.896139      11547.218       256.7237
              2       7734.495      88.555257      6479.2579      76.680113      10883.677      234.04144
            2.1      7634.6164        88.2826      6391.4532      76.212554      10915.998       247.7323
            2.2       7306.088      84.676728      6110.8428      73.185475      10511.859       241.3821
            2.3      7108.9554      85.256221      5949.9014      73.524764        10245.4      238.87347
            2.4      6836.5126      86.736982      5736.9907      74.465864      9925.0768      246.59299
            2.5      6832.0545      86.344297      5731.2436      75.089455      9865.6664      235.92757
            2.6      6461.1493      91.650314      5436.7818      83.467677      9016.2515       213.8845
            2.7      6135.0987      79.420678      5148.8082      69.093558      8757.5982      221.26894
            2.8       5898.172      85.366865       4954.111      74.337435      8447.0946      221.96566
            2.9      5598.9844      77.553435       4682.726       65.29919      8160.5357      233.12048
