#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      20.418978     0.24580302      17.319136     0.21803915      25.056994     0.38300651
             20      49.170184     0.57883295      41.946692     0.50558677      61.859455      1.1012417
             30      59.935188     0.69143092      51.559413     0.62400115      76.835799      1.5258512
             40      52.222246     0.66893512      45.123214     0.61870988      64.926161      1.4617873
             50      39.243949     0.44200047      33.764019        0.39732        48.9549     0.79965814
             65      28.640527     0.33148464      24.588815     0.29490858       33.72231     0.54283855
             80      21.587319     0.29123409      18.459915      0.2664137      26.106852     0.45526456
             95      15.918372     0.24855235      13.595526     0.22428016      18.955073     0.30272695
            110      10.852298     0.16339084      9.2324825     0.14587524      12.936245     0.19780275
            130      6.6404615    0.094966535      5.5913581    0.083776079      8.0700096     0.16123075
            165      3.6067305    0.068200209      3.0204044    0.060052397      4.3792005    0.082860493
            200      1.9772982    0.042834759      1.6319196    0.036685276      2.4321583    0.053545231
            240     0.97202143    0.026488948     0.81351452     0.02290156      1.1583643    0.040621064
            300       0.164531   0.0047705078     0.13560831    0.004045912     0.20150152   0.0063399354
            600       0.164531   0.0047705078     0.13560831    0.004045912     0.20150152   0.0063399354
