#          pt_b        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2548.2886      1.7584092      2102.5519      1.5123957      3991.5497      5.9050055
              5      3305.7119      2.0229473      2738.2791      1.7452206      4977.3429      6.1300861
             10      2161.5711      1.6642805      1805.5806      1.4534182       3091.566      4.4358265
             15      1348.0241      1.2897472      1133.6559      1.1352586      1859.6072      3.1913174
             20      872.14073      1.0287933      737.56738      0.9158003      1168.6498      2.3912809
             25      587.16029     0.83357565      498.53339     0.74512651      768.32826      1.8107351
             30      407.07703     0.66121547      346.58847     0.59044569      525.00234      1.4008857
             35      294.03906     0.56944338      251.00164     0.51263911      373.54655      1.1417226
             40       216.3023     0.47308473      184.89434     0.42527644      272.05793     0.91253062
             45      163.66568     0.39562622      140.06601     0.35943744      204.07637     0.76971233
             50      126.03702     0.34765196      107.94268     0.31042487      155.03416     0.64265229
             55      98.623379     0.29313545      84.505149     0.26295744      121.37249     0.53991322
             60      78.201161     0.27161482      67.193571     0.24703825      95.197682      0.4781052
             65      62.581415     0.23135464      53.708618     0.20810246       75.70456      0.3986407
             70      51.445706     0.20957206      44.183383     0.19440494      61.673638     0.34448166
             75      42.130204     0.18287072      36.056639     0.16493643      50.907931     0.30731668
             80       34.56664     0.16711996      29.604258     0.15180385      41.739738     0.26722892
             85      29.190262     0.15475527      24.959981     0.14583837      35.192146     0.23459158
             90      24.673564     0.14330688      21.107305     0.13103256      29.519912     0.24546614
             95      20.534779      0.1227765      17.534803     0.11072852      24.568814     0.17711357
            100      17.720751     0.11426413      15.137462     0.10499889      21.254828     0.16616405
            105      15.213891     0.10487787       12.93401    0.094878863      18.355209     0.16183773
            110      13.230894    0.098779655      11.266274    0.089274888      15.893701     0.12205006
            115      11.402849    0.093619712      9.7104184     0.08613813      13.584917     0.11460271
            120      9.8822532    0.081177419      8.4076833    0.072883189      11.838282    0.099329826
            125      8.5699724    0.077301127      7.2810897    0.069848489      10.272672    0.098519262
            130      7.5667956    0.075929707       6.447297    0.069320215      9.0562531    0.093900342
            135      6.5552597    0.067239537      5.5636438    0.060452826      7.8469593    0.081124055
            140      5.9444159    0.063153108      5.0271986    0.055588603      7.1569494    0.078304949
            145       5.220606    0.084544532      4.4229684    0.076117647      6.2731904     0.10006868
            150      4.5764045    0.054493582      3.8715659    0.048725252      5.5000262    0.065871692
            155      4.1013596    0.051527266      3.4575975    0.045843064      4.9347745     0.06332607
            160      3.6378536      0.0488172      3.0774183    0.043762836      4.3778227    0.061196254
            165      3.2156809    0.044810534      2.7159147    0.039871011      3.8646104    0.054967909
            170       2.992706    0.059421073      2.5475534    0.056371878      3.5693456    0.065891944
            175      2.6648874    0.041239776      2.2471213    0.036471006      3.2186009     0.05054754
            180      2.3856277    0.043861146      2.0155568    0.041365471      2.8642291    0.049844674
            185      2.1254972    0.036007833      1.7921261    0.031392191      2.5550438    0.044445253
            190      1.9904897    0.049753875      1.6931382     0.04683616      2.3829332      0.0618597
            195      1.7616009     0.03266521      1.4798679    0.028681194      2.1175678    0.041621728
            200      1.5985344    0.035074783      1.3485808    0.033065356      1.9221563    0.039764143
            205      1.4482806    0.034063881      1.2391341    0.030877444      1.7063466    0.041202713
            210       1.319588    0.028690416      1.1124986    0.024709231      1.5822959    0.036131929
            215      1.2391923    0.033686525      1.0497347    0.029175509      1.4774917    0.041024372
            220      1.1642699    0.034383686      0.9847585    0.031309079       1.394207    0.039472461
            225      1.0453916     0.02558227     0.87858722    0.022276733      1.2489622    0.032826632
            230     0.92210361    0.023732401     0.77978458     0.02100985      1.1002453    0.028643671
            235     0.84122863    0.022316112     0.70552083    0.019508315      1.0131701    0.027008681
            240     0.80434286    0.025257524     0.68312256    0.023004076     0.95707225    0.030125551
            245     0.66577221    0.018906324     0.56075375    0.016339287     0.80099112    0.023555592
            250     0.65215445    0.019523768     0.54569426    0.016785841     0.78662663    0.024266873
            255     0.64463431    0.020570637     0.55057043    0.018483565     0.75680004    0.024634427
            260     0.56076726      0.0189656     0.47596859    0.016624361     0.66384252    0.024197315
            265      0.5569638     0.02062572     0.47895538    0.018819741     0.64940643    0.024216307
            270     0.46871249    0.017117154     0.39105005    0.015010284     0.57342961     0.02158015
            275     0.44742361    0.018183044     0.37778169     0.01620699     0.53417658    0.021370596
            280     0.38500954    0.015592172     0.32303302    0.013595655     0.46150963    0.018895325
            285     0.39047635     0.01478615     0.32573961    0.012600299      0.4750792    0.018590945
            290     0.36522959    0.014605232     0.30363152    0.012602276     0.44555401    0.017824179
            295     0.31781793    0.013936118     0.26502937    0.012226207     0.43722125    0.064495671
            300     0.27109163    0.012641866     0.22554813    0.010612054     0.32874198     0.01626658
            305     0.28513111    0.016189791     0.23689331    0.014878787     0.35141618    0.018638575
            310     0.27417181    0.012817841     0.23055338    0.011083118     0.32961866     0.01610033
            315     0.23741597     0.01191144     0.20168383    0.010873134     0.28105958    0.013832258
            320     0.22484507    0.011490377     0.19301677    0.010216537     0.26081564    0.014080361
            325      0.2283252    0.012595533     0.19279528    0.010988926     0.27206738    0.015388995
            330     0.18196529   0.0092016259     0.14915201   0.0076721253     0.22553996    0.011805499
            335     0.18264185    0.010420329     0.15168265    0.008964747     0.22218668    0.012985732
            340     0.19067171     0.01244514     0.15996231    0.010393848     0.22993409    0.016220146
            345     0.16057232    0.011067007     0.13516872   0.0096542563     0.19126831    0.013254964
            350     0.16423548    0.010172077     0.13765011   0.0086991309     0.19779918    0.013030256
            355     0.14311792   0.0090806998      0.1184514   0.0076692078     0.17586811    0.011955896
            360     0.11709465   0.0088465904    0.097451574   0.0077681641     0.14268589    0.010555663
            365     0.13180078    0.018908884    0.087331523    0.044191127     0.14484003     0.01481924
            370     0.13055975    0.018870221      0.1125336    0.016342906     0.15063154    0.021944721
            375     0.11875116    0.008255682    0.098371915   0.0072813263     0.14601737   0.0099417234
            380     0.10904549   0.0085057293     0.09045923   0.0074519958     0.13291936    0.010657234
            385     0.11431384   0.0099536264    0.094735148   0.0086839374     0.13996593    0.011891332
            390    0.081638499   0.0065209337    0.068622137    0.005761151    0.097897799   0.0080771278
            395     0.09449158   0.0069908074    0.080268993   0.0060135584     0.11188483    0.008695907
            400    0.081302925   0.0060105476    0.069974109   0.0059768149     0.09266709    0.011278933
            405    0.084734696   0.0080880774    0.071548438   0.0073195106     0.10090031   0.0096386573
            410    0.074563739    0.006515057    0.061928374   0.0054918525    0.090363089   0.0082186312
            415    0.078033176    0.007507454    0.063989208   0.0064532572    0.097583072   0.0095007492
            420    0.053818795   0.0049735952    0.044976319   0.0042112942    0.064328051   0.0071244177
            425    0.048218461   0.0055010538    0.042014794   0.0047665463    0.054855447   0.0071972631
            430    0.064002289   0.0083148303    0.054895126   0.0075234504    0.074563137   0.0093896822
