#   pt_Z-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0     0.27570447     0.04190005     0.20347944    0.030397773     0.38632838    0.061514554
              5     0.68809552    0.067264024     0.51872525    0.048802619     0.93723073    0.099344361
             10      1.2076862    0.085509696     0.91629163    0.062211422      1.6342537     0.12532512
             15      1.7063393     0.11240097       1.285494    0.080769854      2.3290187     0.16591721
             20      2.2409085     0.13418817      1.6974489    0.097753716      3.0376657     0.19535329
             25      2.4671575     0.11249932      1.8816835     0.08500342      3.3168154      0.1582203
             30      2.8697659     0.12399825      2.1821063    0.093859531      3.8758422     0.17590954
             35      3.1715279     0.13814789      2.4035471     0.10791785      4.3036676     0.18970804
             40      3.0184021     0.12286221      2.2981023     0.09370745      4.0640376     0.17592107
             45      2.9916003     0.13616861      2.2762031     0.10111808      4.0333987       0.195691
             50      3.3628937     0.13256003      2.5425352     0.10059054      4.5740428     0.18644925
             55      3.2935356     0.13960399       2.528774     0.10561493      4.3929047     0.19956081
             60      3.2950558     0.13320338      2.4890752    0.098201137      4.4823561     0.19174017
             65      3.0227363     0.12368261      2.3001781    0.092774811      4.0709256     0.17604497
             70      3.0257643     0.12346496      2.2762165     0.09166842      4.1391765      0.1763446
             75      3.4088707     0.21609105      2.5560649     0.14564893      4.6866884     0.34168456
             80      3.2883678     0.13609482      2.4953883     0.10545291      4.4504401     0.18797789
             85      3.0462592     0.12916628      2.3386973    0.098551942      4.0618237     0.17967378
             90      2.9991359     0.13201584      2.2719199     0.10243327      4.0746771     0.18023121
             95      3.0102137     0.16392922      2.2879128     0.13724496      4.0768632      0.2067811
            100      2.9019659       0.132057      2.1755385    0.096469301       3.985458     0.19107627
            105      2.6062445     0.11824836      1.9812081    0.088569697      3.5193984     0.16758679
            110      2.6638327     0.11751412      2.0147124    0.088436699      3.6186591     0.16525172
            115      2.5302718     0.11445556      1.9102397    0.085356603      3.4509608     0.16234848
            120       2.495782     0.10973892      1.9038293    0.084653786       3.357243     0.15208947
            125      2.8768862     0.47059984      2.1894571     0.35279705      3.8463252     0.61438002
            130      2.1692753     0.10614421      1.6517655    0.081220229      2.9226969     0.14804047
            135      2.2537934     0.10681711      1.7423295    0.082997852      2.9764073     0.15130656
            140      2.1389945     0.10732747      1.6291088    0.081329557      2.8809271     0.14883606
            145      2.0893193     0.10779433      1.5976656    0.080499012      2.7970375     0.15388014
            150      1.9505987     0.10086952      1.5077417     0.07766481      2.5771329       0.139897
