# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0        1241.24       13.82094      1074.1254      12.377447      1520.6607      27.238761
            0.4      1080.2148      10.258262      930.22999      9.1099608      1316.9708      21.200756
              1       790.7649      10.073171      676.72079      9.1425957      979.92122      17.492386
            1.6      463.67804      6.5628322      389.99819       5.759661      571.61635      9.1313757
            2.3      183.64525      3.2497626      151.93398      2.8120559      227.73192      4.1338189
            3.4      26.923376      1.4273745      21.700239       1.226523      34.228345      1.7499634
            4.6      26.923376      1.4273745      21.700239       1.226523      34.228345      1.7499634
