#   pt_Z-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.22665296    0.042107783     0.17782035      0.0327666     0.29412335     0.05817322
            420     0.17941039    0.033819827     0.14442536    0.028776017     0.22563151    0.041550627
            425     0.23063005      0.0350836     0.18351698    0.027856226     0.29047162    0.047063043
            430     0.24393832    0.035298065     0.19002883    0.027006209     0.31731564    0.047936969
            435     0.23176704    0.034912133     0.18320223    0.027747954      0.2956181    0.045101252
            440     0.12383642    0.023996045    0.093893631    0.018317189     0.16663464    0.032578177
            445     0.11478883    0.023866854    0.090659888    0.018423333      0.1460905    0.032162059
            450     0.16792558    0.031364843     0.14285296    0.028194131     0.19381911    0.047976363
            455     0.20174201    0.071611025     0.16935285    0.070387179     0.24234917     0.07040934
            460    0.095990836    0.025044571    0.085146592    0.021232177     0.10240726    0.027138663
            465    0.089688154    0.022180939    0.068349944    0.017094286     0.12006938    0.029793999
            470     0.12089117    0.024127136    0.090968491    0.017648261     0.16470972    0.035032763
            475     0.10210246    0.021926291    0.079862347    0.017296919     0.13187832    0.028683694
            480     0.12965385    0.026025445    0.098939776    0.019374519     0.17347218    0.037060786
            485     0.12530581    0.058032827     0.10876436    0.056794586     0.14486168       0.056597
            490    0.090289942    0.020281691     0.06673743    0.015059042     0.12541207    0.028542671
            495    0.078851954    0.021695965    0.061097207    0.016725602     0.10368089    0.029232954
            500     0.10908223    0.029969048    0.087564581    0.026104288     0.13822827    0.035331874
            505    0.074835193    0.018150636    0.056156984    0.013684315     0.10108737    0.024720414
            510    0.084716982    0.020203335    0.065666369    0.015706085     0.11082659    0.026733229
            515    0.021884134    0.013237819    0.018267374   0.0099469698    0.025832737    0.019459985
            520    0.054070055    0.016649139    0.043322234    0.013688211    0.068050966    0.022041385
            525    0.068813965     0.02162858     0.05473486    0.017261371    0.087220001    0.028298824
            530    0.052830279    0.016384274    0.047450167    0.032778129     0.05494466    0.015167465
            535    0.071530614    0.019578177    0.058692067    0.015549568    0.086979954    0.026314869
            540    0.094363462    0.028549971    0.073868045    0.021514897     0.12286391    0.041748411
            545    0.071654078    0.018882024    0.061451285    0.016523784    0.080729274     0.02175308
            550    0.049816759     0.01505499    0.038099554     0.01156963     0.06630838     0.02004582
            555    0.067182793    0.017379855    0.051013296    0.013338067    0.090669721    0.023649562
            560    0.062488491     0.02311115    0.048731732    0.019073634    0.082423911    0.029145856
            565    0.057889944    0.024275766    0.048739105    0.021218745    0.067748044    0.028549302
            570    0.062172959    0.017721417    0.045475642     0.01287232     0.08766134    0.025770522
            575    0.031312178     0.01184711    0.023149944    0.008798055    0.043297989    0.016582568
            580    0.051324468    0.015639084    0.038047821    0.011653256    0.071063799    0.021710779
            585    0.027438547    0.011224677    0.020847486   0.0085401752    0.036726481     0.01503142
            590    0.070950502    0.019511444    0.058105263    0.014662112    0.084375866    0.027570634
            595    0.026984469    0.012282576      0.0213381   0.0098032517    0.034517877    0.015600839
            600    0.049951955      0.0175688    0.040409945    0.014006755     0.06211866    0.023051597
            605    0.019345475   0.0097960493    0.014404022   0.0072515839    0.026617318    0.013654733
            610    0.027681453    0.011361417    0.021608939   0.0089035761    0.035469833    0.014846518
            615    0.039506927    0.013168323     0.03033285    0.010182477    0.051615754    0.017475869
            620    0.020180671    0.012059901    0.017264022   0.0093863077     0.02242514    0.016308911
            625    0.029524245    0.012400501     0.02325229    0.009934089    0.037860335     0.01574908
            630     0.01862838   0.0093601852    0.014399777   0.0072853701    0.024460559    0.012326262
            635    0.017552625   0.0087758736     0.01333743   0.0067376976    0.023579106    0.011999588
            640     0.02140648    0.011210973    0.016066034   0.0086943985    0.029559554    0.015090918
            645   0.0090042459    0.010840771   0.0079898325    0.007182273   0.0093208939    0.012055622
            650    0.017552961   0.0087760417    0.012724357   0.0063735168    0.024807821    0.012437562
            655   0.0010984359   0.0070252169 -0.00040681508    0.010042717   0.0017007821   0.0052791655
            660    0.035995307    0.014453912    0.029966815    0.012339141    0.043059217    0.017037973
            665   0.0088208937   0.0062370831   0.0064223463   0.0046954572    0.013077318    0.009736378
            670    0.013216871   0.0076304843   0.0093299442   0.0053963389    0.019222458    0.011127384
            675   0.0043881563   0.0043879368   0.0033635754   0.0033634073   0.0057991061   0.0057988162
            680    0.021941005   0.0098118252    0.015111285    0.006781689    0.033056201    0.014848063
            685    0.027836424     0.01301442    0.025358547    0.009261174    0.028232737    0.015207441
            690    0.017554525   0.0087768238    0.012209162   0.0061327337    0.026191285    0.013170395
            695    0.026329162    0.010748298    0.021577095   0.0088911202    0.031171955    0.013070776
            700    0.013517877   0.0078093866    0.010279553   0.0059747543    0.018202347    0.010560771
            705   0.0087764246    0.006205559   0.0061597765   0.0043560733    0.012904916   0.0091261899
            710    0.024345363    0.016759223    0.022895531     0.01631584    0.024653295    0.016975125
            715   0.0043882683   0.0043880489   0.0033743018    0.003374133   0.0057513966   0.0057511089
            720    0.030707038    0.032174184    0.024138994    0.024396913    0.040022569    0.043943436
            725              0              0              0              0              0              0
            730   0.0087763125   0.0062054798   0.0067075979   0.0047592049    0.011610726   0.0082623901
            735   0.0072394408   0.0096366185   0.0064955308    0.006869972   0.0077345259    0.012542024
            740   0.0043882683   0.0043880489    0.003512514   0.0035123384   0.0054231283   0.0054228572
            745   0.0043882683   0.0043880489   0.0033880447   0.0033878753   0.0057355307   0.0057352441
            750    0.019011844    0.011969223    0.016566257    0.010517247    0.020788492    0.013152393
            755              0              0              0              0              0              0
            760   0.0043882683   0.0076001942   0.0033291614    0.013675926   0.0045919553   0.0088543267
            765   0.0043881563   0.0043879368   0.0032293855    0.003229224    0.006093743   0.0060934385
            770   0.0058644693    0.005864176   0.0039271507   0.0039269544   0.0090399994   0.0090395475
            775    0.012765475   0.0094565081   0.0097926258   0.0072515093    0.017062347    0.012683059
            780    0.010041229   0.0071559782   0.0066287151   0.0047267047    0.015788938    0.011241846
            785  0.00032770972    0.006441363 -5.3631285e-06    0.010036781  0.00043497207   0.0042723946
            790    0.013308827    0.007683924   0.0099834636   0.0057668151    0.018161564    0.010503648
            795    0.010253072   0.0073244653   0.0078251397   0.0055606505    0.013467262   0.0097445819
            800   0.0043881563   0.0043879368   0.0031422345   0.0031420774   0.0063374302   0.0063371134
            805    0.017552849   0.0087759857    0.013510391   0.0067869565    0.022887263    0.011554794
            810   0.0096365361   0.0068408133   0.0070689385   0.0049983096    0.013444581   0.0096744412
            815              0   0.0062054798  -0.0029928492    0.011590906   0.0011020113   0.0036033136
            820   0.0043881563   0.0043879368   0.0032129609   0.0032128003   0.0061275978   0.0061272911
            825    0.014077318   0.0081612395    0.010944357   0.0063298811     0.01808905    0.010543469
            830    0.013164469   0.0076001295   0.0088945253   0.0051467093     0.02032514     0.01177002
            835   0.0045475978   0.0045473704   0.0030197766   0.0030196256   0.0070797765   0.0070794223
            840    0.011876089   0.0086785665   0.0094105027   0.0067383067     0.01503229    0.011552029
            845              0              0              0              0              0              0
            850              0              0              0              0              0              0
            855   0.0043882683   0.0043880489   0.0028195531   0.0028194122   0.0070781006   0.0070777464
            860   0.0043881563   0.0043879368   0.0036846928   0.0036845085   0.0050416761    0.005041424
            865   0.0043882683   0.0043880489   0.0039018996   0.0039017044   0.0045757541   0.0045755253
            870   0.0043882683   0.0043880489   0.0037586592   0.0037584712   0.0049584356   0.0049581877
            875   0.0043881563   0.0043879368   0.0028648044   0.0028646612   0.0069769832   0.0069766346
            880   0.0043881563   0.0043879368   0.0030269273    0.003026776   0.0065677095    0.006567381
            885              0              0              0              0              0              0
            890              0              0              0              0              0              0
            895              0              0              0              0              0              0
            900              0              0              0              0              0              0
            905  -0.0043880446   0.0043878251  -0.0078562017   0.0078558089  -0.0025393296   0.0025392026
            910   0.0043881563   0.0043879368   0.0030210056   0.0030208545    0.006606257   0.0066059268
            915   0.0043881563   0.0043879368   0.0029910615    0.002990912   0.0066734078   0.0066730743
            920              0              0              0              0              0              0
            925              0              0              0              0              0              0
            930              0              0              0              0              0              0
            935    0.012236424   0.0089912812   0.0098334078   0.0073755069    0.015523128    0.011191158
            940   0.0087763125   0.0062054798   0.0055715084   0.0039401321    0.014407039    0.010188958
            945    -0.01257542    0.012574791    -0.06298324    0.062980095    0.011852514    0.011851922
            950              0              0              0              0              0              0
            955              0              0              0              0              0              0
            960   0.0043882683   0.0043880489   0.0033256983    0.003325532    0.005898324   0.0058980291
            965              0              0              0              0              0              0
            970              0              0              0              0              0              0
            975  -0.0003815643    0.006480891  -0.0023688268   0.0097432831   0.0005169833   0.0045011766
            980              0              0              0              0              0              0
            985              0              0              0              0              0              0
            990              0              0              0              0              0              0
            995   0.0043881563   0.0043879368   0.0030743016   0.0030741479   0.0064811173   0.0064807933
           1000   0.0043881563   0.0043879368   0.0030743016   0.0030741479   0.0064811173   0.0064807933
