# pt_bbZ-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    0.079065138    0.019474868    0.057610726    0.014240508     0.11262481    0.028244695
              5      0.2141067    0.033586114     0.16386581    0.028683534     0.28941564    0.052208651
             10     0.29983005    0.039116331     0.22229255    0.028237119      0.4184067    0.057819349
             15     0.49526714    0.048244967     0.36296447    0.035530062     0.70185207    0.069297668
             20     0.69060011    0.088606195     0.49639911    0.060552105     0.99984291     0.13664345
             25     0.70215909    0.058759158      0.5166629     0.04329596     0.98885821    0.087795641
             30     0.95107306    0.067727056     0.71068022    0.051119767      1.3155639     0.10061379
             35     0.96553574    0.072424696      0.6957705    0.052073103       1.392027     0.10649821
             40      1.1123905    0.096779911     0.81855073    0.068082759      1.5670212     0.14540272
             45      1.0450164    0.077197818     0.76312927    0.055248428      1.4824211     0.11404943
             50      1.4008143    0.086868618      1.0213593    0.062461028      1.9956057     0.12798411
             55      1.2308769    0.076994215      0.8999981     0.05624255      1.7464488     0.11144051
             60      1.5898547    0.088629782      1.1680537    0.064689703      2.2411663     0.12840314
             65      1.5121309    0.086861961      1.1114356    0.063517834      2.1297318     0.12739333
             70      1.4447622    0.086560623      1.0593304    0.063173707      2.0435817     0.12517095
             75      1.6792257    0.088847166      1.2581064    0.067242565      2.3112524      0.1270803
             80      1.7122218    0.094894773      1.2662803     0.06905269      2.3974313     0.13855814
             85       1.779845    0.093424486      1.3230435    0.068960958      2.4749539     0.13405744
             90      1.9931656     0.19946868      1.4521565     0.13102436      2.8401481     0.32091465
             95      1.6275041    0.093386512      1.2341531     0.07163664      2.2088834     0.12942871
            100      1.7775078    0.095198786      1.3198631    0.070263344      2.4755281     0.13672198
            105       1.964426     0.10239285       1.446748    0.075269997      2.7631032     0.14744166
            110      2.0060872     0.11160797      1.5232141    0.090344076      2.7239047     0.14819538
            115      1.9644644     0.11684869      1.4497563     0.08407064      2.7581237     0.17187158
            120      2.0403772     0.10004498      1.5006027    0.073921579      2.8698193     0.14244149
            125      2.1837896     0.11406378      1.6327021    0.084341674      3.0212773     0.16627632
            130      2.5932922     0.46935228      1.9345749     0.35169058      3.5562766     0.61275869
            135      2.0201762     0.10197019      1.5147211    0.076225869      2.7777715     0.14408462
            140      1.9294629    0.099945393      1.4578468    0.075862295       2.625327     0.14016409
            145      2.0443242     0.10143285      1.5477532    0.076280966      2.7781374      0.1437896
            150      2.1455673     0.10554661      1.6173741    0.079868289      2.9307388     0.14850695
            155      2.2252976     0.10797434      1.6709435     0.08045758      3.0502236     0.15205547
            160      2.2710878     0.11313833      1.7121371    0.084032902      3.0961942     0.16040281
            165       2.312043     0.10803155      1.7800347    0.084529414      3.0732899     0.15238757
            170      2.2190498      0.1112029      1.7102096    0.087015402      2.9509784     0.15115214
            175      2.3690011     0.11421072       1.787055    0.085019027      3.2306914     0.16173957
            180      2.5392353     0.11907638      1.9447407    0.093108375      3.4015238     0.16214499
            185      2.4157325     0.11196006      1.8500683    0.086025155      3.2291115     0.15354456
            190       2.608701     0.12408883      2.0304773    0.095819384      3.4197075       0.171306
            195      2.7081915     0.12062954      2.1157327    0.094159782      3.5285001     0.16271252
            200      3.2786587      0.1288775      2.5676224    0.099452392      4.2523247     0.17638156
            205      3.2433829     0.13141039      2.5670434     0.10222679      4.1495242     0.17858991
            210      3.2511269     0.14673736      2.5920523     0.11708378      4.1200483     0.19439872
            215      3.1585831     0.12910805      2.5148803     0.10018633      4.0065639      0.1782317
            220      3.2357095     0.13417382      2.5535522     0.10742256      4.1522808     0.19663843
            225      3.4962417     0.15276344      2.7826668     0.12308784      4.4397835     0.20397213
            230      2.9433902     0.13026726      2.3046158    0.098463652      3.8143903     0.18204798
            235      2.8814502     0.11974837      2.2750748    0.094452449       3.694517     0.16272621
            240      2.5357604     0.11621547      2.0314591     0.09228167      3.1871113     0.16068551
            245      2.5813081     0.11515273      2.0849853    0.094615112      3.1959544     0.17149804
            250      2.5528965     0.11319952      1.9985217    0.087283239      3.3101407     0.15471328
            255       2.168352     0.10489744      1.7271206    0.081147089      2.7431471     0.14491579
            260      2.2670438     0.10706629      1.7819958    0.083443024      2.9252765     0.14544217
            265      2.1702048     0.15749775      1.7358288     0.13538728      2.7401125     0.19999687
            270      1.8303422    0.098181327      1.4312579    0.075483237      2.3775266     0.13478431
            275      1.6789446     0.10404737      1.3397241    0.089203647      2.1241046     0.13336882
            280      1.7934584    0.095845478        1.39933    0.073596195      2.3306448     0.13115135
            285      1.5167355    0.090853454      1.1800181    0.069357141      1.9811561     0.12554314
