#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      4632.7352      9.6529479      3862.8291      8.4394698      6883.3162      29.621316
             15      2773.9957      7.5896443      2312.2543      6.5659339      4009.9415       21.34527
             20      1545.0058      5.7135118      1290.8726      4.9636416      2183.0413      14.805745
             25      930.45383      4.4873304      779.11074      3.9355957       1276.446      10.802994
             30      615.86743      3.6711095      516.51171      3.2176955      842.41313      8.3157608
             35      420.57813      3.0187214      353.47272      2.6755214      565.72719      6.3252822
             40      306.32759      2.4653356      258.24366      2.1711262      407.74339      5.3921022
             45      226.18947      2.0721207      190.31842      1.8068646      295.59668      4.4981452
             50      173.38029      1.7049916      146.59126      1.4726683       224.8905      3.5925489
             55      136.14274      1.4988522      114.88393      1.2913999      179.43379      3.1269506
             60      110.16365      1.4749117      93.473866      1.2928695      143.26921      2.9762369
             65      90.420691      1.5703553      76.691287      1.4015363      115.99195      2.6328977
             70      74.662017      1.0690355      63.350924     0.93491975      95.727304      2.2305879
             75      61.806369      1.4867047      52.559427      1.3930457      78.832905      2.2752874
             80      52.288522     0.91013988      44.553472     0.79576978      65.229917      1.5872523
             85      44.092087     0.89073508      37.550844     0.80193303      54.992075      1.5541459
             90      37.895593     0.81030461      32.160667     0.71546283      47.893218      1.2470683
             95       32.22041      0.6651387      27.391631     0.57985842      40.579388      1.2133065
            100       32.22041      0.6651387      27.391631     0.57985842      40.579388      1.2133065
