#  pt_bb-ptj120        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      10.965532    0.067176883      8.5542709    0.052454413      14.366461    0.094277092
              5      26.171063    0.091880846      20.374917    0.071462758       34.36374     0.12918042
             10      31.787143     0.10057237      24.772622    0.078841161      41.674131     0.13908325
             15      31.616463     0.10029407      24.640335     0.07867967      41.447609     0.13952444
             20      29.521508    0.097778203      22.980622    0.075931293      38.754918     0.13665114
             25       26.84474     0.10371906      20.891987    0.082111116      35.248403     0.13904739
             30      24.095373    0.089005398      18.769044    0.069678681      31.598437     0.12127499
             35       21.75689    0.091754574      16.942618    0.072736801      28.536882     0.12286187
             40      19.700166    0.088127992      15.341342    0.069048575      25.833506     0.12115601
             45      17.806359     0.07883386      13.884369    0.062425408      23.314763     0.10605211
             50      16.178396    0.077665887      12.612661    0.061546954       21.18358     0.10353642
             55      14.790694    0.076221027      11.530865    0.060469598      19.363918     0.10190363
             60       13.41485    0.069424943      10.471845    0.054990119      17.533815    0.092309267
             65      12.475942    0.070605518      9.7590009    0.056468235      16.258952    0.093627774
             70      11.523251    0.064409403      9.0279357    0.051041871      14.987548    0.087316677
             75      10.849853    0.093073516      8.4911574    0.074962827      14.130016     0.12031831
             80      9.9484385    0.070184832      7.7829883    0.057413541      12.960837    0.090874799
             85      9.2382189     0.05817673      7.2469216    0.046323548      11.991238    0.077265023
             90      8.7869742    0.059763667      6.8881994    0.047582062      11.417632    0.079058623
             95      8.2645989    0.056817116      6.4985117    0.045532858      10.695312    0.075046383
            100      7.8319143    0.062278081      6.1631161    0.051359305      10.124234    0.079836369
            105      7.2923036    0.053441078      5.7487463     0.04302367      9.4014136    0.070272755
            110      6.8460988    0.053435246      5.4025175    0.043377498      8.8148565    0.069658818
            115      6.5861095    0.048411533      5.1981971    0.038678744      8.4727886    0.064187467
            120       6.168111    0.046506169      4.8802593    0.038064244      7.9149949    0.063776975
            125      5.8894859    0.047533346       4.651791    0.038479328      7.5714671    0.063108427
            130      5.5857242    0.046177576      4.4182195     0.03703629      7.1654458      0.0608696
            135      5.2344797    0.041823224      4.1459517    0.033315787      6.7016382    0.055963261
            140       4.893401    0.041977907      3.8834926    0.033757612      6.2470429    0.055572919
            145      4.6665314    0.040824315      3.7013286    0.032747567      5.9625203    0.054208143
            150      4.4658373    0.051332257      3.5581251    0.042873678      5.6724537    0.064191384
            155      4.1854507    0.041856647      3.3383307    0.034330783      5.3068338    0.056895718
            160      3.9526095    0.040860039      3.1457465    0.033275626       5.026102    0.053400356
            165      3.6891284    0.040070299      2.9414501    0.032554504      4.6777076    0.052008919
            170      3.5238027    0.044746674      2.8130666     0.03512072      4.4638295    0.061602375
            175      3.2659888    0.034456487      2.6075057    0.027788463      4.1317316    0.046736715
            180      3.1133473    0.034731202      2.4852876    0.028149051      3.9424867    0.045533918
            185      2.8872203    0.032600337      2.3165352    0.026465269      3.6283424    0.044886855
            190      2.7130736    0.032513661      2.1649792    0.026027706      3.4353859    0.043292099
            195      2.5045737    0.030434757      2.0043041    0.024834481      3.1595851    0.040579702
            200      2.4028326    0.031739576      1.9207296    0.025522546      3.0351346    0.042250705
            205      2.2318644    0.027739836      1.7701505    0.021938447      2.8477229    0.037095011
            210      2.0731997    0.027520422      1.6523586    0.022184673      2.6294641    0.036383272
            215      1.9717246     0.02792522      1.5783428    0.022702028      2.4849406    0.036798291
            220      1.8591541    0.039105228      1.4936197    0.033795142      2.3323726    0.047128497
