#          pt_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.29330263    0.010922526     0.23400088   0.0088504594     0.37376974    0.014587909
            420     0.26424491    0.011135146     0.21610735   0.0096345717     0.32654977    0.014339451
            425     0.27299622    0.013606855     0.21793519    0.010420416      0.3468017    0.018804439
            430     0.25926049    0.011981021     0.21002635   0.0098557591     0.32288678     0.01571242
            435     0.23996552    0.019609256     0.19359416    0.015500061     0.28828937    0.016287222
            440      0.2233675   0.0094130625     0.17879948   0.0079305413     0.28335889    0.011981923
            445       0.188705   0.0084924717     0.15155389   0.0068761147     0.23637266    0.011332281
            450     0.21913164    0.014671144     0.17876901    0.012514394     0.27187306    0.018347188
            455     0.18671052   0.0093923932     0.15165611   0.0080604939     0.23273547    0.011613424
            460     0.18125597    0.012474615     0.14806591   0.0096552198      0.2233397    0.017136866
            465     0.17567677   0.0095096654     0.14058229   0.0075570546     0.22219723    0.012978237
            470     0.17485469   0.0095699206      0.1421033   0.0083258801     0.21762532    0.012191721
            475       0.160496    0.013892113       0.130927    0.011275357     0.20046473    0.018794853
            480     0.15408684   0.0078596098     0.12476724    0.006611511     0.19181545   0.0099484678
            485     0.13110874   0.0080608547     0.10670557   0.0070073962     0.16296127   0.0097347949
            490      0.1279843   0.0080836744     0.10369636   0.0064820386     0.15933841    0.010989489
            495     0.13469015   0.0073275387     0.10832138   0.0060737998     0.16963472   0.0093842103
            500     0.12248058   0.0092723391    0.097900914   0.0078444077     0.15540721    0.011685573
            505     0.11635222   0.0070282403    0.094413986   0.0058295099     0.14448108   0.0090683077
            510     0.11344995   0.0076854815    0.092610226   0.0067456426     0.14062744   0.0092309047
            515    0.096573576   0.0063048511    0.080428264   0.0056837942      0.1148121    0.010060215
            520    0.099062816   0.0068954158    0.081014281   0.0060438209     0.12221493   0.0083872689
            525    0.084989926   0.0058903865    0.068410794   0.0047509732     0.11223067   0.0098173978
            530    0.078866796   0.0058232362    0.063996992   0.0048057158    0.097234521   0.0076448202
            535     0.10106778    0.023342635    0.078350601    0.016224648     0.13289195    0.034515781
            540     0.07494779   0.0053187952     0.06092798   0.0043465758    0.092441458   0.0070473183
            545    0.082807509   0.0065714034      0.0672982   0.0058145379      0.1034371    0.007806997
            550    0.062447115    0.004805651    0.049367918   0.0036590068    0.078641049   0.0065878102
            555    0.067638238   0.0065001555    0.055025084   0.0056086085    0.083999432   0.0079586065
            560    0.060540069   0.0048726497    0.050067552   0.0042465358    0.072940685   0.0066636822
            565    0.059948171   0.0049841248    0.049393506   0.0040817446    0.072245859   0.0065992871
            570    0.075034841    0.015758213    0.050197026   0.0039785795    0.095053881    0.023813103
            575    0.049203822   0.0044729328    0.039276057   0.0036412306    0.062383294     0.00576989
            580    0.065533589   0.0075786269    0.053833196   0.0069845531    0.091027853    0.020229555
            585    0.050036006   0.0047760659    0.040536013   0.0041275303    0.062505272   0.0058723468
            590    0.054196419   0.0044210522    0.042866544   0.0035162874    0.069431591   0.0059289099
            595    0.049992941   0.0051669892    0.040978932   0.0043441108    0.061874509   0.0066349786
            600    0.045548947   0.0045633243    0.038443517   0.0040644793    0.053326169    0.005750254
            605    0.039978588    0.004279054    0.032490346   0.0036183639    0.049403764   0.0054757072
            610    0.037034696   0.0044932862    0.030130881   0.0037478698    0.045769526   0.0056999602
            615    0.041365717   0.0039797999     0.03363013   0.0033363329     0.05111249   0.0050138631
            620    0.034440706   0.0037687711    0.028381071   0.0031900846    0.041120343   0.0052967921
            625    0.039125055   0.0041639189    0.032558798   0.0035193937    0.046372301   0.0056523752
            630    0.032815854   0.0035636621     0.02704842   0.0029102253    0.039474586   0.0046424964
            635    0.033400502   0.0036871938    0.026705043   0.0030550306     0.04218585   0.0046856816
            640     0.02906241   0.0034719605     0.02344856    0.002837808    0.036458779   0.0044991141
            645    0.034225857       0.004198    0.027389486   0.0032458413    0.043066735   0.0058267392
            650    0.030375841   0.0035858145    0.024703084   0.0029769869    0.037715714   0.0045458167
            655    0.025917412   0.0031784035    0.021160439   0.0026310722     0.03187898   0.0040729295
            660    0.024855574   0.0044340743    0.020335014   0.0041325867    0.030659968   0.0048255962
            665    0.026331707   0.0034565491     0.02114082   0.0029065718    0.033450493   0.0044022416
            670    0.019903682   0.0026492643    0.016147027   0.0021338614    0.024485094   0.0034541487
            675    0.020354168   0.0026012812    0.015946009   0.0020034596    0.026354938   0.0035211992
            680    0.024511199    0.002904988    0.019532591   0.0023493854    0.030981622   0.0037660765
            685    0.019123726   0.0032333678    0.015849723   0.0026602087     0.02285951   0.0044289327
            690    0.020264057   0.0027143769    0.015917437   0.0021427086    0.026166105   0.0036207135
            695    0.020291097   0.0026747658    0.016533094   0.0022356336       0.024848    0.003326255
            700    0.014121195   0.0021704149     0.01112166   0.0016159712    0.018065323   0.0030723441
            705     0.01871193    0.002425697    0.014251409   0.0018514996    0.025139109   0.0033653963
            710    0.016516655   0.0024195245    0.013271599   0.0019621925    0.020687491   0.0031336543
            715    0.020738143   0.0095899718    0.015311065    0.006839681    0.028848681    0.013934759
            720    0.014458493   0.0037429841    0.012354798   0.0035616261    0.016820394   0.0040306655
            725   0.0094268998   0.0022607581   0.0083385081   0.0018996478    0.010100286   0.0027573053
            730    0.015258111   0.0022949863    0.012266168   0.0017676579    0.018947351   0.0031468775
            735    0.011065342   0.0022877154   0.0095165151   0.0016728675    0.012403962   0.0034891796
            740    0.013015599   0.0021557033    0.010204261   0.0017532144    0.017003682   0.0027671065
            745    0.011382067   0.0018740961   0.0089219332   0.0014855768    0.014761367   0.0024909255
            750   0.0052886995   0.0053348392   0.0034698823   0.0051881367     0.00775938   0.0051636477
            755   0.0077164641   0.0015707849   0.0059540731   0.0011902725    0.010150976   0.0021582998
            760    0.010432973   0.0019866106   0.0081778188   0.0014958007    0.013452878   0.0027850481
            765    0.010487885   0.0017169343   0.0089669888   0.0017199152    0.012211428   0.0025889699
            770    0.007763116   0.0016497014   0.0059507154   0.0012189481    0.010246868   0.0023635421
            775    0.011864146   0.0033931473     0.01016807   0.0031261217    0.014742836   0.0043806962
            780    0.010808801   0.0020893425   0.0083905756   0.0016566943    0.014212833   0.0027669142
            785   0.0076578633   0.0016370111   0.0062446169   0.0012260278   0.0092998537   0.0024173408
            790   0.0079346963   0.0017805457   0.0063288776   0.0014255512      0.0100578   0.0023530366
            795   0.0097653609   0.0026586385   0.0087967948   0.0028024459    0.010628226    0.002534993
            800   0.0069925086   0.0018055838   0.0056899212   0.0014895259   0.0086376025    0.002398277
            805   0.0093476565   0.0018250737   0.0072366741   0.0014447855    0.012346226   0.0024016215
            810   0.0084509316   0.0015672768   0.0071135389   0.0013993819   0.0099852591   0.0022609735
            815    0.005850938   0.0016005239   0.0048472985   0.0013198543   0.0071164197   0.0021451288
            820   0.0086224483   0.0018873855   0.0067502575   0.0015625487    0.011246677   0.0024126684
            825   0.0055639427   0.0013592439    0.004431434   0.0010544552    0.007009221   0.0018436483
            830   0.0067728902   0.0018601359   0.0052841717   0.0016123574   0.0088716757   0.0021961534
            835   0.0069093862   0.0021824672   0.0056010238    0.001784751   0.0086643371   0.0028481296
            840   0.0065872558   0.0016182437   0.0053428681   0.0013278479    0.008178639   0.0020389869
            845   0.0085535325   0.0020443694     0.00657055   0.0015759664    0.011308115   0.0028018756
            850   0.0074799046   0.0027049516   0.0066715358   0.0027847535   0.0081900929   0.0025285472
            855    0.006471364   0.0012978895   0.0047334372  0.00095525762   0.0090680254    0.001842568
            860   0.0079950715   0.0023673998   0.0068879427   0.0022077617   0.0092000318   0.0025670175
            865   0.0055206931   0.0015613255    0.004469946    0.001364373   0.0068304419   0.0018124323
            870   0.0028638538  0.00093646778   0.0025947854  0.00080852329   0.0029247187  0.00098840961
            875   0.0045526423   0.0012660913    0.003552337  0.00094559782   0.0058779332   0.0017776849
            880   0.0030360509   0.0010530019   0.0024891256  0.00080047519   0.0035943173    0.001488724
            885   0.0013940731  0.00082012925   0.0010979269  0.00056967963   0.0017524452    0.001239408
            890   0.0035918092   0.0011541658   0.0028754531  0.00099119923    0.004563008    0.001390128
            895   0.0033067599   0.0011123906   0.0029286741  0.00093489061   0.0034310461   0.0012978491
            900    0.005770919   0.0019775823   0.0050123816    0.001871066   0.0065029775   0.0020656444
            905    0.003015663   0.0010037778   0.0022798347  0.00071286916    0.004041895   0.0014855584
            910   0.0045507154   0.0013609928   0.0036440508   0.0010836225   0.0057081399   0.0017887877
            915   0.0055464927   0.0022171417   0.0044935581   0.0020215439   0.0069927059   0.0024774954
            920    0.003620089   0.0010216495    0.002678868  0.00078627144   0.0050968331   0.0014512188
            925   0.0036411701   0.0011471389   0.0033019904   0.0017406339    0.003727911   0.0012184135
            930   0.0040242035   0.0013870131   0.0031863721   0.0011795233   0.0052284197   0.0017283176
            935   0.0043162163   0.0026037667    0.003382919   0.0019123505   0.0055418125   0.0036362886
            940   0.0024111924   0.0010180611   0.0020639326   0.0006842456   0.0025927886   0.0014966958
            945   0.0021033068   0.0011130694 -4.1801593e-05   0.0037543907   0.0029030843   0.0009620264
            950   0.0034970429   0.0011804686   0.0027065755  0.00092429619   0.0046019141   0.0015711516
            955   0.0041845086   0.0017930798   0.0036213927   0.0017018433   0.0048171574   0.0018852731
            960   0.0020775962  0.00073655909   0.0016194785  0.00057443975   0.0026688458  0.00095452726
            965   0.0019416597  0.00075527755   0.0014498824  0.00056445801   0.0026627854   0.0010428089
            970   0.0025386009  0.00080367862   0.0019651192  0.00062921853    0.003308973   0.0010598449
            975   0.0030756629   0.0022163238   0.0021623021   0.0014127863   0.0045254312   0.0036367398
            980   0.0020822702  0.00074031619   0.0015718728  0.00056519658   0.0028020986  0.00099953158
            985   0.0021855517  0.00079068152   0.0015927568  0.00058428471   0.0030998665   0.0011182031
            990  0.00075417487  0.00066260871 -0.00026337046   0.0017275451   0.0010230137  0.00043253703
            995   0.0025631478  0.00097108981    0.001822849  0.00066514582   0.0037160064   0.0014937148
           1000   0.0025631478  0.00097108981    0.001822849  0.00066514582   0.0037160064   0.0014937148
