# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      21.552343      1.3734717       18.52148      1.2135091      25.726119      1.6598032
            0.6      78.101154      2.7043432       67.39137      2.4202966      93.498293      3.7264798
            1.2         151.62       3.916693      133.31049      3.6067721      177.40459      5.1617811
            1.8      241.11477      6.0851855      210.34983      5.8678243      290.50712      9.3675024
            2.4      271.21559      7.3009035       233.4609       6.537402      322.05158      8.6183416
            2.7      306.43026      8.1302274      263.85924      7.2084783      359.20671      10.733448
              3       209.0236      7.2833619      181.09592      6.5730635      251.67235      11.178895
            3.3      69.441334      2.6567802      57.491847      2.3342191      86.621941      3.1906651
              4      15.962337      1.1902247      12.870498      1.0222199      20.355894      1.4605306
              5      15.962337      1.1902247      12.870498      1.0222199      20.355894      1.4605306
