# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      363.64936       5.516102      286.43773      4.4087196      469.90176      7.6690715
     0.31415927      388.13783      5.6950346      305.95009       4.517542      501.13617      7.6445585
     0.62831853      404.39283      5.7936546      316.61108      4.5363084      526.94909      7.8261727
      0.9424778      425.59951      6.0222376        334.027      4.7567342      552.86879      8.1249205
      1.2566371      465.14997      6.3886788      363.46629      5.0290658       607.2257      9.1498286
      1.5707963      561.73075      7.0439331      438.42876      5.5578354      734.64403      9.5508314
      1.8849556      734.19294      8.7554601      572.70566      7.0980955      960.93698      11.456365
      2.1991149      991.64902       9.917927      771.30557      7.6598835      1302.1801      13.619107
      2.5132741      1442.6614      12.150137      1126.7879      9.6409266      1883.1817      16.267626
      2.8274334      2038.7053      15.627115      1612.0367      12.249294      2615.4629      21.069362
      3.1415927      2038.7053      15.627115      1612.0367      12.249294      2615.4629      21.069362
