#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      694.41428      8.8369216      574.16131      7.5186799      1086.4145      29.142388
              1       1995.207      15.667733      1652.5696      13.804387      3060.2494      46.800326
              2      2894.3601      17.120832        2385.94      14.594651      4489.9421       56.46544
              3      3493.4011      19.953815      2882.7213      17.136902      5478.6491      64.203166
              4      3693.5067      20.606206      3043.7622      17.598031      5796.7249      65.879318
              5      3682.2262      19.596627      3045.3298      16.876445      5563.9249      62.332916
              6      3557.4963      19.731358      2941.6762      16.818522      5358.3626      62.941808
              7      3356.4541      20.120976      2781.8969      17.261382       5029.157      56.605962
              8      3146.4661      19.480107      2613.3355      16.701189      4666.8071      53.297023
              9      2831.4241      18.135166      2353.4217      15.540481      4121.2935      49.020375
             10      2593.4751      17.896703      2162.2264       15.54236      3709.5733      45.750953
             11      2351.6934      17.470389      1964.4344      15.398765       3409.065      43.132414
             12      2135.5514      14.128763      1782.6195      12.140245      3019.2368      38.900365
             13       1955.592      14.800506      1637.4108       12.91917      2751.0102      36.938718
             14      1779.5739      14.853655      1493.3573      13.201245      2475.0835       35.02489
             15       1599.463      13.313829      1342.2613       11.71413      2209.3449      32.816263
             16      1456.5648       12.87026      1225.1184      11.394803      1964.1786       26.70816
             17      1332.3164      12.049993      1121.0889      10.515064      1841.2692      28.576435
             18      1213.1188       11.52366      1023.1674      10.239091      1633.2333      25.941202
             19      1110.6465      10.343369      935.38345      8.9704476      1488.5841      24.955761
             20      1009.2711      9.7255098      852.17421      8.4481947      1338.7649      22.163908
             21      952.55394      10.095483      804.55278      8.8581411      1258.6295      21.796445
             22      867.90734      10.862372       734.0227      9.5783896      1164.8117      22.426947
             23      794.11801      8.3791981      671.21272      7.2905762       1050.657      18.332046
             24       724.8132      8.8061067      613.12558      7.8947678      965.06604      17.355105
             25      679.49435      8.3369757      577.34936      7.4373588       894.4649      17.418277
             26      632.14106      9.3002668      537.87079      8.5906796      808.53648      14.411129
             27      583.38776      7.8022698      495.70489      6.8806285      769.95101      16.316397
             28      536.82971      7.4657717      456.57955      6.6716988      711.42966      15.466842
             29      503.54663      6.9642624      428.43905      6.3562092      628.91375      14.157198
             30      456.29539      5.7586492      387.44927      5.0237152      596.03761      13.073625
             31      437.71102      6.9136006      372.24228      6.1206606      557.29279      12.126308
             32      387.65805       5.482951      329.66873      4.9190224      489.73799      10.280864
             33      387.11775      6.2398048      330.21187      5.5518025      489.50731      12.205173
             34      352.02572      5.4173291      299.46841      4.7302358      446.79314      10.663252
             35      335.75813      6.8760161      287.25803      6.4116727      416.70592      8.9932364
             36      308.07978      4.8597234      262.73261      4.2766369      390.67681       10.16324
             37      288.42006      4.7408775      247.29139       4.434479      359.82385       8.155326
             38       276.3992      6.3465647       236.6715      5.7897864      347.13049      10.493741
             39      262.41668      4.3638213      224.09271      3.8836694       335.4587      8.8683796
             40      244.55748      5.8508876      208.36542      5.1046541      310.35818      9.8913376
             41      224.14233      4.7022044      191.76486      4.1752168      269.91483      7.6726073
             42      208.14322      3.9286184      177.04772      3.4799513      266.50273      8.8980568
             43      208.97197      4.2027477      179.37493      3.7286493      259.00341      7.1928247
             44      190.38101      4.3276517      163.08916      3.9012982      233.52113      8.1089382
             45      181.44088      3.8188308      156.06353      3.4751722      223.72814      7.6375574
             46       171.6722      3.3161019      146.38473      2.9099628      219.10801      7.0617009
             47      161.82541      4.4987643      138.65927      4.2267445      200.17222      7.8780024
             48      151.97149      3.3056935      130.65533      2.9556562      182.73935      5.1061344
             49      143.16056      3.5735877      122.91519      3.3174771      173.09054      5.5305304
             50      143.16056      3.5735877      122.91519      3.3174771      173.09054      5.5305304
