#    pt_j1-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      377.76179      8.1238411       289.9345      5.8865023      1839.7547      88.945001
              1      2423.8948      23.489295      1846.4997      17.500862      10387.932      153.92672
              2      3015.1754       25.47077      2448.4041      20.709864      5780.2894      63.384792
              3      2904.9817      23.930311      2429.9513      20.418114      4287.7189      41.096757
              4      2703.2863       22.42068      2291.6631      19.580641      3586.3757      31.699471
              5      2407.0991      19.734613      2057.7912      17.447246      3045.7764      25.615415
              6       2235.522      18.237137      1918.4488      16.394386      2751.4339      21.981414
              7      2052.0884      16.775297      1764.4818      15.188712      2484.8935      19.564226
              8      1918.1485      16.187525      1657.2908      14.804157      2284.8861       18.57266
              9      1782.2906       14.98884      1538.4462      13.482113      2118.6775      17.579176
             10      1653.8532      13.287389      1428.2379      11.985381       1953.505      15.298026
             11      1563.8461      12.981389      1352.2706      12.027637       1837.313      14.045738
             12       1450.846      12.692553      1253.1916      11.523312      1706.3658      14.391886
             13      1384.6601      12.345725      1197.8568      11.440804       1618.664      13.286249
             14      1330.6546      12.038517      1149.7786       11.14665      1555.1604      12.938752
             15      1232.2931      11.471748      1064.4589      10.523625      1439.5503      12.589086
             16      1184.4861       12.27473      1023.9942       11.43325      1379.7879      12.993087
             17      1118.9936       9.957024      965.53972      9.1762018      1306.4585      10.831549
             18      1061.1894      9.9925297      914.82994      9.4213505      1241.6675      10.667762
             19      1005.4964      8.9874188      866.13955      8.2930078      1174.9715      9.8039388
             20      958.30248      8.9753764      824.25385       8.311849       1122.236      9.7297207
             21      925.33219      9.6166847      794.98678      8.8503359      1084.8472      10.532956
             22      870.59742      7.5375594      744.77949      6.8362444      1025.6716      8.3842377
             23      845.30259      8.4491462       723.0153      7.9282885      996.00903      8.9397034
             24      779.73289      7.2763292      664.25036      6.7125986      923.14512      7.9644481
             25      738.19338       7.053135      626.56631      6.3393764      876.75745      8.1668221
             26      710.43477      7.5091636      600.39155      6.7972268      849.52771      8.3248943
             27       681.2657      6.6857571      574.94094      5.9888246      816.21046      7.6263509
             28       652.9497      8.2155873      548.73565      7.4684405      786.11694      9.0541551
             29      610.63889      6.1947947      513.13132      5.5859316      734.36954       7.059069
             30      601.82935      6.4848614      504.72467      5.9479033      726.31898      7.1574028
             31      572.48935      6.4280439      478.45687      5.8938518      693.23512      7.1191839
             32      536.35545      5.5162105      446.17596      4.8282069      653.74034      6.4561891
             33      522.80338      4.9361901       434.4623      4.2723805      637.05568      5.8867507
             34      494.32769      5.4259648      410.06495      4.7716385      603.74081       6.305236
             35      487.41106      6.6042696      403.51992      5.7940545      596.64639      7.6727164
             36      468.95571      6.0481619      388.89113      5.2706401       572.6152      7.1200292
             37      440.61064       4.733633      364.14525      4.3730327      540.55768      5.4084309
             38      427.34176      4.7044158      351.52106      4.0414485      527.19988      5.6297874
             39      410.66188      4.3436575      338.19415      3.7853935      505.72545      5.1341012
             40      395.28943      4.8284175      324.95605      4.2966417       487.6913      5.5608695
             41      381.46142      4.5953887      313.27834       4.026688      471.00446      5.3594005
             42      363.75662      4.2153261      298.33551      3.6909155      450.01097      4.9733011
             43       355.1262      3.9759971      290.26302      3.4138117      441.61664      4.8196777
             44       336.6612      4.3436059      274.21308      3.6645711      420.10729      5.3103335
             45      328.36673      3.6803966      268.10865       3.134244      408.23495       4.479387
             46      321.81195      5.0636562      262.69144      4.5349722      400.07497      6.2042944
             47      313.42289      3.8446159      256.08549      3.3232475      389.18712       4.604842
             48      299.07861      3.5805245      244.29094      3.0905298      371.47844      4.3400083
             49      292.39753      3.7788286      237.83465      3.1557781       365.0458      4.6780712
             50      292.39753      3.7788286      237.83465      3.1557781       365.0458      4.6780712
