#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      29.967156      3.1419736      23.838268      2.4804619      38.666497      4.2019586
           -4.9      42.317626      4.0741928      34.211737      3.2734031      53.221078      5.5081035
           -4.8      47.919441      4.1093838      38.820396      3.2058202      62.083548      5.9727361
           -4.7      59.153855       4.741521      47.828057      3.9196242      75.582061      6.1432665
           -4.6      66.531452      5.7133085       53.81714      4.7094925      85.437899      7.6236851
           -4.5      85.189322      6.8713996      69.656196      5.6567232      107.21037      8.7613452
           -4.4      93.673558      6.6737116      75.875658       5.494338      121.52276       9.144353
           -4.3      99.527754      7.1326012      81.715434      5.9803354      124.09302      9.2433328
           -4.2      130.05441      8.9925283      105.89605      7.3285638      183.44454        25.1796
           -4.1      139.07895      11.470367      112.37298      9.2719014      197.23306      29.223873
             -4      155.23379      7.8959928      125.93202       6.378982      193.55422      11.977511
           -3.9      190.79032      9.6166865      155.11997      7.9595414      245.24411      13.104709
           -3.8      231.08748      10.524893      188.97197      8.7025678      300.46082      14.957394
           -3.7      258.17486      12.574982      211.33486      10.427291      365.14009      34.484381
           -3.6      307.63546      13.710931      251.96104      11.123721      383.84781      22.128736
           -3.5      353.53808      14.937439      286.26697      11.909492      470.73786      48.065583
           -3.4      371.38779      15.415176      301.63535       12.38465      522.27361      40.717928
           -3.3      382.87428      13.337732      312.95599       10.88723      487.41587      20.867884
           -3.2      469.17042      16.192255      380.86738      13.073928      630.70057      30.087703
           -3.1      527.29655       17.56841      428.62226      14.320338      731.78856       42.15357
             -3      585.02813       17.60425      476.95603      14.444091       798.1084      31.674522
           -2.9      719.99613      24.398794      590.85011      20.082957       982.8842      51.905912
           -2.8      792.20723      32.000215      645.08677      24.930148      1147.7279      80.598031
           -2.7      910.82771      23.737279      747.79662       19.58382      1272.0338      61.359467
           -2.6      1040.8979       26.25128      856.58453      21.959059      1412.9487      59.893193
           -2.5      1250.2692      47.584892      1028.6946      43.694329      1739.4256      81.402705
           -2.4      1359.7223      32.619853      1116.3272      26.756437       1924.336      79.262911
           -2.3       1567.401      33.557802      1292.9967      27.817394      2146.8284      81.533155
           -2.2      1835.8792      37.656804      1513.8134      31.237897      2601.3532      106.16716
           -2.1      2038.0087      44.334539        1684.38      38.291926      2765.8755      80.174621
             -2      2459.8777      61.154412      2052.3697      58.238485      3272.4171      102.79651
           -1.9      2895.3982      49.970501      2398.3738      43.436333      4235.3138      145.21308
           -1.8      3347.1537      53.246962      2776.2263       45.15622      4881.6871      169.28655
           -1.7      4003.3144      65.589297      3330.4115      55.595734      5719.5739      168.56142
           -1.6      4626.9439      69.380019      3844.6035      58.997333      6696.1814      185.54128
           -1.5      5506.6777      74.271019      4584.7106      63.455534      7922.3014      214.23747
           -1.4       6471.351        81.9136      5421.8639      74.118954      9121.4487      242.16809
           -1.3      7659.3298      85.113792      6367.9973      73.047653      10945.476      233.65738
           -1.2      8951.6493      96.813353      7446.1994      82.198942      12980.931      273.19418
           -1.1      10414.856      93.569523      8658.7187      79.880644      15236.546      270.31771
             -1      12475.386      123.04759      10427.322      108.49462      17836.817      322.23489
           -0.9      14761.325      128.04004      12327.164      113.49923      21231.315      356.34125
           -0.8      16650.982      130.40396      13873.158       111.7901      23746.261      353.07455
           -0.7      19477.688        157.098      16284.686      135.75732      27995.687      410.49064
           -0.6      22203.249       157.3005      18580.462      137.35737      31442.606      414.83359
           -0.5      25345.419      171.77484      21223.129       150.0406      36076.586      445.33121
           -0.4      28510.629      169.50943      23904.009      147.57504      40635.689      444.86941
           -0.3      31607.199       178.0026      26498.131      154.08045      45350.266      490.92625
           -0.2      35002.878      198.32937       29467.37      174.32635      49066.766      523.96271
           -0.1      36710.268      202.83304      31009.193      179.98653      51198.846      520.95768
              0      36968.557       206.7008      31273.476       182.8431      50816.012       503.4432
            0.1      34821.319      196.89505       29292.92      172.32322      49437.501      521.08419
            0.2      31488.078      178.29209      26404.604      155.36853       45059.17      494.24232
            0.3      28437.978      180.37986      23831.196       157.5618       40291.78      472.43366
            0.4      25254.342      163.78544       21122.36      143.11841       36479.72      464.74688
            0.5      22342.855      164.56583      18673.224      143.91731      32480.223      431.55523
            0.6      19373.841      142.26045      16159.846      121.83813      27921.437      401.43023
            0.7      16788.328      139.73965      14012.197      121.90623      24741.345      407.56422
            0.8      14498.538      123.82988      12114.057      109.26267      21136.406      346.42949
            0.9      12381.676      114.46859      10318.146      98.646305      17620.953      319.78156
              1      10576.924      109.34746      8818.3301      95.341939       15167.17      283.87777
            1.1      9127.0445      108.58899      7614.4184      94.923122      13426.822      285.67079
            1.2      7745.0239      97.030505      6456.4474      85.429457      11365.011      263.04517
            1.3      6497.2362       89.83902      5411.7591       79.76458      9124.8739      211.66831
            1.4      5449.4875      76.815748      4546.3411      66.496101      7747.2049      212.12919
            1.5      4670.3114      70.790148      3878.9178      59.909704      6603.1776      192.31201
            1.6      4088.6835      71.648961      3386.6229      61.679743      5997.2335      183.65005
            1.7      3408.3857      58.430108      2818.2257      48.395132      5049.6155      160.21974
            1.8      2953.2745      47.681585      2438.5806      39.813888      4303.8094      152.16044
            1.9      2437.1401      53.124516      2017.6968      44.701729      3464.6648      130.57839
              2      2181.6867      47.774286      1808.0868      40.126237      3094.6374      117.38612
            2.1      1783.2013      37.005441      1471.4969      30.730276      2539.7175      89.409883
            2.2      1599.6756      46.922903      1321.4743      38.876234       2174.408      96.455562
            2.3      1372.1559      33.514703      1129.3034       27.72169      1817.6765      89.190697
            2.4      1206.5158      49.962269       991.1947      42.221147       1602.176      97.164582
            2.5      1025.1663      27.090851      841.27472      22.271466      1505.5858      79.512228
            2.6      927.38923      25.784305      761.30161      21.019625      1166.5833       54.13683
            2.7       802.9485      25.622068       657.7387      20.525106      1085.4981      68.491502
            2.8      661.09865      22.048832      545.46077      18.172006      889.20112      49.486702
            2.9      656.56578      30.553267      537.08826      25.126598      861.19195      47.720494
              3      521.03555      16.820115      425.93831       13.75695      672.95605      23.465294
            3.1      509.08542      25.061184       413.6426      18.497141      705.49551      51.364759
            3.2       420.5012      19.225078      343.37625      15.689805      548.99208      29.026188
            3.3      354.80437      12.567749      290.53837       10.49882      458.88681       27.50745
            3.4      331.55525      16.716673       273.9259      14.696737      427.58362      21.502748
            3.5      309.13155      19.497484      252.68839      16.104219      412.51216      36.021741
            3.6      229.14881      9.5596542      185.40256      7.7131159      306.89045      15.447985
            3.7      207.08743      9.6107441      170.17963      7.8199701      264.03282      19.555697
            3.8      178.49678       9.659887      147.85739      8.1763352      248.26578      28.741078
