# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      3467.1337      20.163327      2828.9466      17.382864      4312.6506      24.496418
     0.31415927      3715.2339       24.26371      3035.7301      21.772916      4613.0006      28.049519
     0.62831853      3874.4299      20.944163      3159.5909      17.818828      4822.8951      25.669598
      0.9424778      4144.1934      22.046391      3370.6645      18.667009      5177.9525      27.095466
      1.2566371      4614.4689      23.122443      3753.3184       19.67995      5764.5865      28.717277
      1.5707963       5372.328      25.315896      4365.6241      21.803495      6720.7066      30.900238
      1.8849556      6578.2731      30.742137      5355.5879      26.878252      8210.9415      36.566985
      2.1991149      8145.6155      33.376646         6618.3      28.616128       10191.31      40.555199
      2.5132741      10142.523      40.191807      8249.2383      34.460043      12670.245      49.175918
      2.8274334      11875.008      52.124724      9679.6941      44.468313      14786.848      62.760379
      3.1415927      11875.008      52.124724      9679.6941      44.468313      14786.848      62.760379
