# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0      5113.4252      29.200283      4226.5837      25.625404      6270.3661      34.234353
     0.31415927        5490.98      29.740704      4542.1851      26.776193      6726.1427      34.128648
     0.62831853      5739.8141      31.356828      4747.9221      28.195714      7033.7078       35.97237
      0.9424778      6086.1914      31.601156      5027.9399      27.903005      7469.1903      36.733919
      1.2566371      6714.9717      29.559085      5536.4279      25.625523      8264.5347      35.714002
      1.5707963      7768.0647      33.054219      6403.7491      29.227657       9563.442      38.888676
      1.8849556      9299.0375      38.480836      7670.8684      34.342678      11438.465      44.543633
      2.1991149      11259.145       42.97356      9269.6002      37.865086      13882.038      50.322604
      2.5132741      13630.342      52.267534       11218.54      46.091001      16797.512      61.292853
      2.8274334      15568.668      61.130431      12829.241      53.487763      19157.646      71.552344
      3.1415927      15568.668      61.130431      12829.241      53.487763      19157.646      71.552344
