#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      24.842633      2.9003063      20.926486      2.7427905      33.402796      4.2230107
              1      64.208322      2.8044018      53.383945      2.3975596      84.457271      5.0194505
              2      122.06751      5.5349793      103.62266      5.3974448      171.55555      9.6442882
              3      172.39291      5.1416847      144.31026      4.5483047      237.86373      10.688451
              4      198.28225      4.2246406      165.22162      3.6926501      271.19938      9.0431019
              5      251.56539      4.8679895      209.88454        4.28916       365.7703      15.555557
              6      308.42662       7.050976      258.05936      6.3773234      433.98577      18.694817
              7      354.14039      7.6010648      295.67398      6.7894284      502.41364      15.397511
              8      383.14794      5.8839591      319.09497      5.0308105      534.18203      15.241401
              9      454.81851      9.3880732      381.23586      8.6651406      647.43069      20.235571
             10      512.28132      9.2582493      427.62129       8.337896      716.09559      20.116111
             11      576.63834      10.603805      483.65129      9.5344164      847.42966      24.087472
             12      600.39625      8.4339839      501.11932      7.4981838      861.17823      21.197089
             13      661.69831      9.2356083       554.0458      8.3362024       990.5364      25.163174
             14      721.38529       11.86329       602.8783      10.527847      1043.3169      27.618826
             15      773.62151      12.085001      649.10976      10.750262      1137.5376      28.325263
             16      839.76868       11.94519      704.82588      10.798647        1220.62      27.436205
             17      893.86384      12.105048      747.90939      10.758311      1288.2109      28.588621
             18      951.39544      11.326878      795.00709      9.8345176      1367.6609      27.613173
             19      1009.2955      11.966674      847.42235      10.880266      1446.5483      28.721604
             20      1058.1366      12.003404      885.26395      10.539104      1506.9837      28.707094
             21      1131.1269      12.594373      949.46481      11.093839      1587.5988      28.582795
             22      1183.3674      12.602666      992.62016      10.972974      1705.0333      31.863917
             23      1255.3797      13.082364      1052.4217      11.464241        1798.35      34.417048
             24      1298.5546      12.270025      1087.6274       10.65502      1879.5206      33.316924
             25         1382.1      14.288359      1159.1914      12.329009      1987.9201      34.773646
             26      1427.3362      14.637294      1196.1824      13.008376       2079.277      37.028943
             27       1484.974      13.099309      1242.6829      11.269361      2248.0012      38.903184
             28      1529.4629      14.165539      1280.0783      12.160003      2182.5403      35.130082
             29      1567.2784      12.898696      1312.7109      11.003426      2297.9329      37.100837
             30      1643.8931      14.377488       1377.545      12.300627      2422.6284      39.064792
             31      1685.3443      14.462816       1411.814      12.484522      2527.6376       41.85602
             32      1696.1202      13.087457         1418.7      11.217865       2504.454      40.520774
             33      1757.4443      14.399087      1468.3224      12.266765      2651.7201      43.109122
             34      1745.0404      14.148354      1457.8348      11.948663      2633.4653      42.823402
             35      1780.0527      14.557432      1486.4835      12.697995      2759.1168      46.110227
             36      1723.8043      13.379427      1436.5599      11.287882      2622.4829      40.982866
             37      1672.4983      13.397382      1394.0569      11.564038      2524.2002      41.610594
             38      1638.2125      12.799516      1369.6791      11.165237      2449.1713      40.023847
             39      1583.9595      13.083906      1323.0697      11.298704      2356.6177      38.147182
             40      1513.1401      12.481269      1261.2951      10.541675      2287.1828      40.550974
             41      1435.2927      12.294028      1198.0224       10.45123      2148.1286      35.795623
             42      1330.0121      11.403259      1109.9101      9.6090936      1990.9961      35.776779
             43       1220.392      10.573599      1023.0628       9.037692      1782.2244      32.687218
             44      1121.7643      9.5140101      939.28678      8.0690777      1588.1979      29.019225
             45      1025.7706      9.8912172      859.94567      8.6302765      1453.8673      25.431244
             46      933.48272      8.1109139      783.15423      6.9280211      1261.3439      23.017764
             47      868.95623      8.4082519      730.36135      7.2065956      1174.2602      23.503649
             48      786.95709      7.8749327      661.07337      6.7525809      1064.9806      21.206304
             49      731.46843      7.1308295      612.85197      6.1352609      977.49544      17.222938
             50      672.04854      6.9401931      564.05714      5.9579032      896.82776      17.081269
             51       625.2332      6.4785736      524.64512      5.5426015       835.2947      17.448832
             52      565.89282      6.2830266      475.84165      5.5081785      735.16104      13.330486
             53      520.29523      6.1358948        436.234      5.3055003      679.92774      13.915483
             54      499.58596      6.7468617      419.99631      6.0413004      640.35849      13.389533
             55      456.11715      5.0967514      381.23393      4.3547209      603.64646       14.68117
             56      417.58182      4.8359762      349.95037      4.1881285       530.5549      9.9455393
             57      400.36492      5.2370447      335.29864      4.5750767      508.96243      9.2311708
             58      370.05926      4.7444478      309.99666      4.1411765      462.35469      7.5344603
