#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      33.009308     0.53359832      27.311556     0.45304675      46.749668      1.4962489
             60      97.810553     0.90693291      81.400655      0.7675469      142.08127      2.7502061
             70      2267.6907      4.6630097      1895.9187      4.0739585      3238.1434      13.182009
             80      3687.2331      5.7826182      3085.6745      5.0896884      5240.0081      16.329399
             90      107.85186      1.1310646      90.716778     0.99812959      152.86263       2.844875
            100      34.248724     0.61046615      28.776812     0.53618055      48.656472      1.5564087
            110      16.804341     0.42744231      14.188624     0.37098359      23.188258     0.93764895
            120       9.622264     0.28883371      8.1487223     0.24769572      12.633848      0.8647581
            130      6.0547029     0.32276085      5.0994114     0.27449094      8.2979228     0.57646474
            140      3.7713137     0.18068497      3.1853125     0.15602067      4.7108783     0.38573424
            150      3.7713137     0.18068497      3.1853125     0.15602067      4.7108783     0.38573424
