#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      4.8905452    0.087918416      4.0881202    0.077261758      5.9675962     0.10703167
             50      4.3017471     0.10437209      3.6365306    0.091745088      5.3423881     0.16426719
             75      4.0280335     0.11073504      3.5059749    0.099966346      4.7726393     0.16769917
            100       2.894497    0.094662106      2.5423857    0.084172471       3.447444     0.13153082
            125      1.7237304    0.068627569      1.5134327    0.061838626      2.1372745     0.14594465
            150      1.0609569    0.053574976     0.94718934    0.054515215      1.1935881    0.051587975
            200     0.51381971    0.027860215     0.45785678    0.026635565     0.59043319    0.031893834
            250     0.26137054    0.018950074     0.23060154     0.01699591     0.30057943    0.021951554
            300     0.13996656   0.0098565051     0.12559595   0.0090930593     0.15861338    0.011190869
            400    0.063086662    0.007093668    0.056256375    0.006436731    0.071410626   0.0080211364
            500    0.063086662    0.007093668    0.056256375    0.006436731    0.071410626   0.0080211364
