# left-edge scale-central central-error scale-min min-error scale-max max-error
0 96569.140 375.152 72143.646 278.507 133712.78 523.616
5 1199.3304 0.341689 899.85277 0.257351 1652.0221 0.468739
10 651.89134 0.191012 490.32277 0.144180 895.28119 0.261365
15 448.90009 0.137466 338.26985 0.103953 615.11608 0.187701
20 339.23763 0.109948 255.99194 0.0832747 464.05750 0.149860
25 268.67438 0.0927599 202.96509 0.0702801 367.04326 0.126374
30 218.97289 0.0812985 165.56602 0.0616385 298.82023 0.110670
35 181.31609 0.0725076 137.20122 0.0549949 247.19447 0.0986541
40 151.71023 0.0654136 114.87856 0.0496359 206.65509 0.0889539
45 128.25263 0.0596728 97.178360 0.0452997 174.56395 0.0811028
50 109.06855 0.0545968 82.695804 0.0414624 148.33493 0.0741675
55 93.133712 0.0502574 70.655647 0.0381951 126.57154 0.0682148
60 79.946389 0.0462971 60.685231 0.0352012 108.57454 0.0628057
65 68.978943 0.0426887 52.390839 0.0324538 93.612171 0.0579127
70 59.597233 0.0394378 45.291452 0.0299979 80.822569 0.0534681
75 51.725547 0.0365797 39.330221 0.0278343 70.101632 0.0495697
80 45.083147 0.0339179 34.246086 0.0257868 61.057338 0.0459378
85 39.372777 0.0315157 29.864663 0.0239267 53.287822 0.0426622
90 34.428212 0.0292973 26.077197 0.0222112 46.565372 0.0396336
95 30.211041 0.0272893 22.852079 0.0206618 40.833098 0.0368605
100 26.606714 0.0255806 20.099581 0.0193433 36.014955 0.0346037
105 23.498205 0.0237926 17.727681 0.0179658 31.855510 0.0322366
110 20.740952 0.0221917 15.628993 0.0167407 28.155698 0.0301005
115 18.433152 0.0207923 13.872763 0.0156660 25.058157 0.0282405
120 16.310606 0.0194436 12.261858 0.0146358 22.200578 0.0264383
125 14.577337 0.0182761 10.946003 0.0137391 19.867894 0.0248880
130 13.017883 0.0171843 9.7640816 0.0129014 17.765131 0.0234391
135 11.630794 0.0160949 8.7147689 0.0120733 15.890754 0.0219723
140 10.373835 0.0151005 7.7650550 0.0113169 14.189704 0.0206350
145 9.3615053 0.0142742 7.0001340 0.0106862 12.820014 0.0195310
150 8.3983882 0.0134989 6.2737391 0.0100937 11.514012 0.0184956
155 7.5873408 0.0126796 5.6627404 0.00947678 10.412782 0.0173814
160 6.8328290 0.0119649 5.0947861 0.00893342 9.3873988 0.0164202
165 6.2031339 0.0114078 4.6209769 0.00850743 8.5312786 0.0156773
170 5.6130343 0.0106998 4.1779333 0.00797491 7.7269220 0.0147136
175 5.0776029 0.0101402 3.7759773 0.00755070 6.9970100 0.0139592
180 4.6185371 0.00957365 3.4316894 0.00712418 6.3705432 0.0131890
185 4.2108619 0.00920644 3.1260624 0.00683211 5.8139291 0.0127285
190 3.8530332 0.00866420 2.8584297 0.00643811 5.3240086 0.0119554
195 3.4890887 0.00830993 2.5861463 0.00616275 4.8259683 0.0114925
200 3.1843771 0.00832030 2.3585482 0.00613725 4.4081755 0.0115739
205 2.9104700 0.00736100 2.1541845 0.00545583 4.0322050 0.0101871
210 2.6786184 0.00705237 1.9810558 0.00522340 3.7142147 0.00976755
215 2.4724073 0.00676475 1.8273088 0.00500631 3.4308924 0.00937741
220 2.2652586 0.00647076 1.6730324 0.00478786 3.1459710 0.00897260
225 2.0792520 0.00616547 1.5345598 0.00455972 2.8899183 0.00855342
230 1.9114032 0.00587585 1.4097573 0.00433895 2.6585869 0.00816582
235 1.7694417 0.00559362 1.3041459 0.00412912 2.4630786 0.00777650
240 1.6368704 0.00546818 1.2056937 0.00403208 2.2801102 0.00761191
245 1.5046526 0.00514569 1.1075481 0.00379406 2.0975630 0.00716340
250 1.3926909 0.00506209 1.0244340 0.00371761 1.9430037 0.00708368
255 1.2805317 0.00465335 0.94144143 0.00342811 1.7875413 0.00648370
260 1.1948660 0.00453355 0.87791747 0.00333607 1.6691263 0.00632532
265 1.1054897 0.00434376 0.81173056 0.00319535 1.5453723 0.00606285
270 1.0301474 0.00420839 0.75593540 0.00308741 1.4410674 0.00589136
275 0.95005014 0.00395969 0.69679901 0.00290771 1.3297821 0.00553756
280 0.88451652 0.00421043 0.64844252 0.00308365 1.2387060 0.00590062
285 0.82702659 0.00383255 0.60589656 0.00280691 1.1590384 0.00537766
290 0.76371741 0.00350683 0.55912734 0.00256954 1.0711311 0.00491638
295 0.71486679 0.00335213 0.52311678 0.00245777 1.0031623 0.00469607
300 0.66923082 0.00329591 0.48949160 0.00241557 0.93962291 0.00461928
305 0.62147762 0.00310794 0.45439754 0.00227755 0.87291466 0.00435594
310 0.58374615 0.00302502 0.42660272 0.00221347 0.82038481 0.00424849
315 0.55095625 0.00297679 0.40235676 0.00217893 0.77490511 0.00417730
320 0.50765661 0.00277470 0.37048417 0.00202748 0.71454164 0.00390197
325 0.47889346 0.00271162 0.34948779 0.00198447 0.67407861 0.00380685
330 0.44601458 0.00264410 0.32516720 0.00192878 0.62851122 0.00372620
335 0.41602681 0.00257502 0.30322587 0.00187626 0.58641849 0.00363404
340 0.39010760 0.00246494 0.28414630 0.00179638 0.55028334 0.00347734
345 0.36668986 0.00237126 0.26698522 0.00172922 0.51748725 0.00334258
350 0.34472047 0.00226770 0.25087731 0.00165236 0.48671976 0.00319979
355 0.32733458 0.00228823 0.23808337 0.00166869 0.46248043 0.00322537
