# left-edge scale-central central-error scale-min min-error scale-max max-error
-5 505.71558 2.21849 428.56415 1.68946 605.46876 3.02637
-4.9 602.37003 2.41255 509.95331 1.83265 722.15712 3.30101
-4.8 692.22534 2.63754 587.07201 2.00040 827.88586 3.61522
-4.7 804.65531 2.91378 681.88818 2.20517 963.35596 4.00293
-4.6 928.13965 3.04663 786.15047 2.30811 1111.8986 4.18111
-4.5 1052.8004 3.11033 892.54327 2.36159 1259.6823 4.25941
-4.4 1188.5021 3.33766 1007.2965 2.53059 1422.5921 4.57828
-4.3 1334.0466 3.75728 1130.8974 2.83876 1596.3336 5.17161
-4.2 1485.6921 3.96659 1259.6383 2.99610 1777.3990 5.46110
-4.1 1646.9494 3.96391 1395.4361 2.99971 1972.0030 5.44848
-4 1806.1458 4.06224 1531.1274 3.07751 2161.1084 5.57793
-3.9 1983.5115 4.69205 1680.0412 3.54743 2376.0699 6.44882
-3.8 2154.1926 6.45623 1825.0391 4.84464 2579.5766 8.93102
-3.7 2324.3129 6.54104 1968.9120 4.90002 2783.8126 9.06912
-3.6 2509.0503 5.25174 2123.8070 3.95466 3008.0840 7.25435
-3.5 2695.0566 5.07304 2279.7982 3.83258 3233.7357 6.98498
-3.4 2870.6766 5.17634 2427.6366 3.91217 3445.7951 7.12428
-3.3 3048.0982 5.27559 2576.6508 3.98871 3660.6423 7.25804
-3.2 3228.1234 5.84004 2727.6046 4.40197 3879.1293 8.05654
-3.1 3400.8481 6.00599 2871.8895 4.52507 4089.7217 8.28902
-3 3559.1359 5.71014 3004.2926 4.31342 4282.4136 7.86266
-2.9 3749.0725 5.86813 3160.4983 4.43438 4518.6071 8.07530
-2.8 3900.2463 5.86267 3287.2233 4.43209 4702.1505 8.06594
-2.7 4062.2072 6.01975 3421.2611 4.54529 4901.9385 8.29345
-2.6 4218.2567 6.51633 3550.2736 4.90535 5094.7092 9.00403
-2.5 4374.6473 6.44479 3679.0728 4.85810 5288.8369 8.89307
-2.4 4520.4300 6.09239 3799.1060 4.60799 5469.7474 8.37919
-2.3 4659.3748 6.22428 3912.8189 4.70367 5643.4738 8.56870
-2.2 4802.6220 6.61892 4029.0205 4.99070 5824.6376 9.13096
-2.1 4918.8854 6.64805 4124.8801 5.01384 5968.6036 9.16886
-2 5045.6593 6.29951 4227.8669 4.76539 6128.5477 8.66245
-1.9 5148.5833 6.43399 4312.7829 4.87089 6255.9136 8.83644
-1.8 5275.4070 6.48424 4414.3787 4.91049 6418.6429 8.90182
-1.7 5369.8801 6.63284 4491.3990 5.01369 6537.1964 9.12483
-1.6 5476.4027 6.77026 4576.8497 5.11260 6673.5669 9.32327
-1.5 5563.1985 6.53927 4647.4061 4.94788 6782.8872 8.98858
-1.4 5661.7311 6.30552 4726.5361 4.78104 6908.8610 8.65056
-1.3 5739.5303 6.19852 4789.0318 4.70296 7008.2829 8.50090
-1.2 5813.0695 6.47701 4848.6082 4.90453 7101.2506 8.89840
-1.1 5889.5588 7.13216 4909.5190 5.38002 7200.0147 9.83145
-1 5933.5070 6.93509 4945.2544 5.23718 7255.2129 9.55009
-0.9 6010.8658 7.03539 5006.5241 5.29566 7355.7126 9.73128
-0.8 6048.4784 7.31749 5037.4092 5.50240 7402.4219 10.1293
-0.7 6092.5805 6.64978 5072.2656 5.03286 7459.8211 9.13904
-0.6 6143.5096 7.51716 5112.1852 5.66507 7526.7976 10.3673
-0.5 6165.5187 7.55546 5130.3641 5.69478 7553.8660 10.4181
-0.4 6185.6960 6.58805 5146.0669 4.99407 7580.6150 9.03862
-0.3 6208.5869 6.79691 5163.9959 5.14369 7610.6324 9.34009
-0.2 6218.9785 6.87093 5173.3121 5.19624 7622.0936 9.44811
-0.1 6229.4886 6.76775 5180.8282 5.12392 7637.3179 9.29508
0 6229.4886 6.76775 5180.8282 5.12392 7637.3179 9.29508
0.1 6218.9785 6.87093 5173.3121 5.19624 7622.0936 9.44811
0.2 6208.5869 6.79691 5163.9959 5.14369 7610.6324 9.34009
0.3 6185.6960 6.58805 5146.0669 4.99407 7580.6150 9.03862
0.4 6165.5187 7.55546 5130.3641 5.69478 7553.8660 10.4181
0.5 6143.5096 7.51716 5112.1852 5.66507 7526.7976 10.3673
0.6 6092.5805 6.64978 5072.2656 5.03286 7459.8211 9.13904
0.7 6048.4784 7.31749 5037.4092 5.50240 7402.4219 10.1293
0.8 6010.8658 7.03539 5006.5241 5.29566 7355.7126 9.73128
0.9 5933.5070 6.93509 4945.2544 5.23718 7255.2129 9.55009
1 5889.5588 7.13216 4909.5190 5.38002 7200.0147 9.83145
1.1 5813.0695 6.47701 4848.6082 4.90453 7101.2506 8.89840
1.2 5739.5303 6.19852 4789.0318 4.70296 7008.2829 8.50090
1.3 5661.7311 6.30552 4726.5361 4.78104 6908.8610 8.65056
1.4 5563.1985 6.53927 4647.4061 4.94788 6782.8872 8.98858
1.5 5476.4027 6.77026 4576.8497 5.11260 6673.5669 9.32327
1.6 5369.8801 6.63284 4491.3990 5.01369 6537.1964 9.12483
1.7 5275.4070 6.48424 4414.3787 4.91049 6418.6429 8.90182
1.8 5148.5833 6.43399 4312.7829 4.87089 6255.9136 8.83644
1.9 5045.6593 6.29951 4227.8669 4.76539 6128.5477 8.66245
2 4918.8854 6.64805 4124.8801 5.01384 5968.6036 9.16886
2.1 4802.6220 6.61892 4029.0205 4.99070 5824.6376 9.13096
2.2 4659.3748 6.22428 3912.8189 4.70367 5643.4738 8.56870
2.3 4520.4300 6.09239 3799.1060 4.60799 5469.7474 8.37919
2.4 4374.6473 6.44479 3679.0728 4.85810 5288.8369 8.89307
2.5 4218.2567 6.51633 3550.2736 4.90535 5094.7092 9.00403
2.6 4062.2072 6.01975 3421.2611 4.54529 4901.9385 8.29345
2.7 3900.2463 5.86267 3287.2233 4.43209 4702.1505 8.06594
2.8 3749.0725 5.86813 3160.4983 4.43438 4518.6071 8.07530
